time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.245,6.412,6.16,6.466,5.756,6.91,37.949
125,6.312,6.316,5.978,6.548,5.545,6.997,37.696
250,6.273,6.467,6.245,6.575,5.952,6.858,38.37
375,6.19,6.424,6.042,6.412,5.869,6.789,37.726
500,6.254,6.136,6.003,6.556,5.715,6.923,37.587
625,6.269,6.322,6.106,6.398,5.709,6.783,37.587
750,6.234,6.486,6.106,6.519,5.759,7.0,38.104
875,6.205,6.356,6.014,6.373,5.79,7.169,37.907
1000,6.291,6.276,5.964,6.398,5.647,6.817,37.393
1125,6.195,6.364,6.072,6.714,5.839,6.791,37.975
1250,6.143,6.185,6.11,6.524,5.622,6.993,37.577
1375,6.039,6.294,6.086,6.591,5.874,6.897,37.781
1500,6.072,6.522,5.843,6.447,5.942,6.981,37.807
1625,6.227,6.339,5.914,6.598,5.616,6.873,37.567
1750,6.317,6.493,6.045,6.61,5.477,6.9,37.842
1875,6.2,6.321,6.101,6.469,5.705,6.756,37.552
2000,6.093,6.306,5.926,6.448,5.729,6.997,37.499
2125,6.105,6.131,6.058,6.469,5.603,7.13,37.496
2250,6.394,6.321,6.0,6.445,5.595,6.973,37.728
2375,6.037,6.418,6.108,6.524,5.755,6.933,37.775
2500,6.411,6.15,6.007,6.585,5.793,7.092,38.038
2625,6.182,6.304,6.214,6.587,5.675,7.026,37.988
2750,6.121,6.29,6.372,6.527,5.495,7.109,37.914
2875,6.268,6.193,6.07,6.363,5.739,6.882,37.515
3000,6.044,6.247,6.17,6.725,5.907,6.906,37.999
3125,5.96,6.216,6.042,6.445,5.549,6.631,36.843
3250,6.021,6.434,5.784,6.451,5.734,6.967,37.391
3375,6.123,6.026,6.191,6.42,5.587,7.039,37.386
3500,6.18,6.341,6.224,6.525,5.74,6.949,37.959
3625,5.97,6.312,5.997,6.494,5.789,6.989,37.551
3750,6.31,6.314,6.036,6.449,5.598,6.733,37.44
3875,5.908,6.433,6.084,6.569,5.603,6.95,37.547
4000,5.419,6.291,6.07,6.524,5.6,6.891,36.795
4125,6.182,6.214,5.844,6.563,5.517,6.867,37.187
4250,6.101,6.221,6.098,6.485,5.71,6.917,37.532
