time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.352,6.371,6.28,6.408,6.127,6.476,38.014
125,6.393,6.081,6.157,6.311,6.144,6.51,37.596
250,6.342,6.338,6.128,6.303,6.447,6.584,38.142
375,6.483,6.056,6.056,6.393,6.155,6.573,37.716
500,6.345,6.21,6.243,6.344,5.864,6.426,37.432
625,6.469,6.221,6.349,6.472,5.874,6.49,37.875
750,6.444,6.251,6.201,6.354,6.225,6.402,37.877
875,6.421,6.173,6.066,6.321,6.134,6.484,37.599
1000,6.332,6.347,6.185,6.451,6.104,6.609,38.028
1125,6.203,6.239,6.193,6.315,5.909,6.414,37.273
1250,6.338,6.148,6.322,6.481,6.053,6.656,37.998
1375,6.463,6.248,6.124,6.457,5.783,6.706,37.781
1500,6.219,6.231,6.138,6.329,5.877,6.588,37.382
1625,6.506,6.209,6.34,6.379,5.866,6.614,37.914
1750,6.241,6.168,6.136,6.434,6.146,6.632,37.757
1875,6.491,6.046,6.213,6.467,6.004,6.722,37.943
2000,6.263,6.148,6.201,6.497,6.001,6.399,37.509
2125,6.359,6.098,6.131,6.448,6.206,6.384,37.626
2250,6.393,6.103,6.061,6.489,5.953,6.588,37.587
2375,6.379,6.243,6.202,6.371,6.02,6.567,37.782
2500,6.263,6.215,6.118,6.353,5.875,6.443,37.267
2625,6.382,6.194,6.129,6.307,6.049,6.551,37.612
2750,6.339,6.256,6.103,6.35,6.072,6.488,37.608
2875,6.444,6.283,6.082,6.355,6.031,6.51,37.705
3000,6.404,6.13,6.117,6.383,5.857,6.603,37.494
3125,6.306,6.239,6.019,6.364,5.877,6.644,37.449
3250,6.424,6.226,6.215,6.551,6.141,6.519,38.076
3375,6.319,6.307,6.153,6.457,5.825,6.539,37.6
3500,6.218,6.147,6.151,6.426,6.129,6.588,37.659
3625,6.298,6.008,6.111,6.347,5.857,6.552,37.173
3750,6.522,6.269,6.181,6.442,5.936,6.575,37.925
3875,6.423,6.158,6.155,6.258,5.988,6.609,37.591
4000,6.214,6.132,6.097,6.252,5.799,6.423,36.917
4125,6.266,6.152,6.22,6.439,5.924,6.731,37.732
4250,6.374,6.234,5.928,6.373,5.959,6.865,37.733
4375,6.392,6.205,6.255,6.348,5.948,6.773,37.921
4500,6.377,6.2,6.017,6.42,6.184,6.673,37.871
4625,6.188,5.897,6.205,6.397,6.022,6.634,37.343
4750,6.282,6.158,6.077,6.556,5.954,6.429,37.456
4875,6.29,6.284,6.104,6.142,6.006,6.422,37.248
5000,6.421,6.154,6.222,6.406,5.921,6.7,37.824
5125,6.26,6.249,6.118,6.393,6.188,6.635,37.843
5250,6.375,6.098,6.019,6.272,6.056,6.63,37.45
5375,6.294,6.184,6.319,6.388,5.896,6.496,37.577
5500,6.25,6.307,6.378,6.106,5.988,6.683,37.712
5625,6.087,6.193,6.191,6.245,6.011,6.635,37.362
5750,6.357,6.025,6.045,6.315,5.902,6.509,37.153
5875,6.212,6.1,6.166,6.29,5.801,6.587,37.156
6000,6.36,6.145,6.041,6.488,5.97,6.772,37.776
6125,6.145,6.147,6.215,6.249,6.234,6.438,37.428
6250,6.217,6.343,6.013,6.364,6.072,6.69,37.699
6375,6.386,6.246,6.116,6.362,5.725,6.824,37.659
6500,6.325,6.004,6.188,6.396,5.806,6.5,37.219
6625,6.192,6.205,6.202,6.492,6.033,6.709,37.833
6750,6.263,6.155,6.249,6.086,6.202,6.516,37.471
6875,6.295,6.128,6.376,6.305,6.113,6.794,38.011
7000,6.612,6.177,6.072,6.288,6.099,6.695,37.943
7125,6.261,6.209,6.136,6.239,5.921,6.74,37.506
7250,6.326,6.185,6.291,6.34,6.044,6.558,37.744
7375,6.445,6.324,6.176,6.447,5.979,6.534,37.905
7500,6.122,6.141,6.127,6.495,6.002,6.737,37.624
7625,6.338,6.105,6.179,6.411,6.115,6.764,37.912
7750,6.393,6.175,6.332,6.461,6.196,6.482,38.039
7875,6.247,6.236,6.354,6.087,5.959,6.623,37.506
8000,6.461,6.228,6.148,6.423,5.961,6.46,37.681
8125,6.294,6.136,6.085,6.188,6.12,6.489,37.312
8250,6.226,6.206,6.058,6.489,5.98,6.568,37.527
8375,6.258,6.109,6.15,6.443,5.795,6.692,37.447
8500,6.375,6.092,6.296,6.513,5.849,6.765,37.89
8625,6.309,6.241,6.283,6.345,5.9,6.379,37.457
8750,6.419,5.947,6.172,6.279,6.046,6.497,37.36
8875,6.461,5.979,5.941,6.334,6.112,6.831,37.658
9000,6.085,6.148,6.1,6.535,6.029,6.411,37.308
9125,6.34,5.937,6.258,6.428,6.013,6.719,37.695
9250,6.226,5.966,6.218,6.458,5.968,6.516,37.352
9375,6.314,5.898,6.297,6.339,5.868,6.811,37.527
9500,6.354,6.096,6.065,6.339,5.9,6.658,37.412
9625,6.268,6.06,6.269,6.236,6.067,6.709,37.609
9750,6.213,6.174,6.141,6.343,5.898,6.58,37.349
9875,6.223,6.008,6.128,6.339,5.98,6.614,37.292
10000,6.234,6.07,6.222,6.417,6.137,6.75,37.83
10125,6.35,6.176,6.248,6.395,6.052,6.677,37.898
10250,6.274,6.188,6.209,6.337,5.895,6.474,37.377
10375,6.302,6.126,6.153,6.159,5.97,6.692,37.402
10500,6.361,6.055,6.328,6.536,5.954,6.551,37.785
10625,6.172,6.048,6.288,6.21,6.107,6.545,37.37
10750,6.277,5.999,6.276,6.3,6.288,6.583,37.723
10875,6.293,6.134,6.067,6.339,6.063,6.471,37.367
11000,6.466,6.022,6.35,6.441,6.024,6.551,37.854
11125,6.02,6.103,6.305,6.566,6.036,6.608,37.638
11250,6.226,5.878,5.928,6.473,5.907,6.645,37.057
11375,6.111,5.922,6.046,6.302,6.004,6.698,37.083
11500,6.257,6.006,6.214,6.231,6.188,6.587,37.483
11625,6.268,6.088,6.331,6.124,6.048,6.717,37.576
11750,6.426,6.167,6.105,6.457,6.016,6.632,37.803
11875,6.318,6.075,5.833,6.367,6.121,6.532,37.246
12000,6.194,6.13,6.122,6.324,6.174,6.692,37.636
12125,6.131,6.235,6.386,6.095,6.047,6.836,37.73
12250,6.461,5.944,6.095,6.509,6.062,6.676,37.747
12375,6.157,5.96,6.094,6.365,6.34,6.747,37.663
12500,6.198,5.988,6.055,6.122,6.247,6.846,37.456
12625,6.303,6.15,6.201,6.401,5.991,6.77,37.816
12750,6.121,5.836,6.267,6.259,6.129,6.772,37.384
12875,6.27,6.058,6.169,6.464,6.07,6.583,37.614
13000,6.07,6.01,6.415,6.233,5.919,6.703,37.35
13125,6.177,6.12,5.974,6.598,5.879,6.623,37.371
13250,6.225,5.976,6.138,6.503,5.981,6.637,37.46
13375,6.183,5.918,6.269,6.306,5.851,6.737,37.264
13500,6.122,6.034,6.268,6.251,5.984,6.719,37.378
13625,6.13,6.159,6.297,6.388,5.812,6.634,37.42
13750,6.292,6.165,6.075,6.309,5.986,6.632,37.459
13875,6.262,6.093,6.254,6.409,6.087,6.708,37.813
14000,6.107,5.971,6.074,6.31,6.011,6.633,37.106
14125,6.189,5.856,6.223,6.243,6.143,6.686,37.34
14250,6.24,6.109,6.067,6.294,6.028,6.571,37.309
14375,6.191,6.016,5.969,6.439,5.871,6.779,37.265
14500,6.044,6.066,6.326,6.268,6.171,6.657,37.532
14625,6.02,6.132,6.089,6.376,5.926,6.722,37.265
14750,6.138,6.138,6.204,6.422,6.05,6.731,37.683
14875,6.201,6.217,6.004,6.565,5.983,6.727,37.697
15000,6.186,6.064,5.841,6.334,5.929,6.691,37.045
15125,6.163,6.098,6.072,6.339,6.071,6.631,37.374
15250,6.042,5.931,6.17,6.331,5.983,6.822,37.279
15375,6.05,5.919,6.042,6.255,6.011,6.698,36.975
15500,6.314,6.07,6.191,6.288,6.011,6.692,37.566
15625,6.352,6.225,6.12,6.563,6.019,6.561,37.84
15750,6.296,5.779,6.298,6.427,5.89,6.618,37.308
15875,6.171,6.171,6.229,6.229,6.049,6.666,37.515
16000,5.971,6.007,6.231,6.319,6.201,6.675,37.404
16125,6.274,6.067,6.283,6.35,6.086,6.733,37.793
16250,6.164,6.115,6.183,6.202,6.211,6.688,37.563
16375,6.271,5.947,6.209,6.409,5.864,6.573,37.273
16500,6.186,6.08,6.011,6.394,6.094,6.638,37.403
16625,5.981,6.026,6.024,6.183,6.11,6.724,37.048
16750,6.157,5.877,6.057,6.218,5.919,6.714,36.942
16875,5.986,6.007,6.097,6.432,5.899,6.768,37.189
17000,6.232,6.039,6.221,6.25,5.939,6.694,37.375
17125,6.227,5.944,6.116,6.246,5.955,6.671,37.159
17250,6.293,5.961,5.992,6.257,6.12,6.722,37.345
17375,6.415,6.279,6.322,6.46,6.256,6.64,38.372
17500,6.025,5.949,6.061,6.252,6.218,6.605,37.11
17625,6.215,6.123,6.012,6.504,5.812,6.55,37.216
17750,6.046,6.105,5.999,6.5,6.078,6.709,37.437
17875,6.017,6.003,6.128,6.117,5.991,6.63,36.886
18000,6.174,5.93,6.114,6.224,5.983,6.861,37.286
18125,6.027,6.147,6.13,6.295,6.137,6.694,37.43
18250,6.23,5.814,5.935,6.346,5.782,6.771,36.878
18375,6.137,5.982,5.962,6.275,5.895,6.747,36.998
18500,6.065,5.992,6.207,6.378,6.137,6.822,37.601
18625,6.026,6.04,6.083,6.61,6.07,6.734,37.563
18750,6.235,5.865,6.221,6.226,6.184,6.78,37.511
18875,6.061,5.983,6.016,6.415,6.143,6.74,37.358
19000,6.304,6.005,6.037,6.306,5.971,6.728,37.351
19125,6.173,5.783,6.063,6.469,5.961,6.736,37.185
19250,6.382,6.227,6.237,6.393,6.162,6.846,38.247
19375,6.142,5.868,5.889,6.218,6.067,6.758,36.942
19500,5.862,5.822,5.993,6.24,5.942,6.721,36.58
19625,6.059,5.994,6.051,6.256,6.074,6.704,37.138
19750,6.095,6.114,5.843,6.443,6.101,6.656,37.252
19875,6.081,5.817,6.213,6.365,5.913,6.855,37.244
20000,6.148,5.926,6.08,6.336,6.1,6.734,37.324
20125,5.958,5.916,6.063,6.254,6.089,6.737,37.017
20250,5.816,5.82,6.221,6.239,6.115,6.54,36.751
20375,5.79,5.9,6.288,6.248,6.096,6.641,36.963
20500,6.064,5.83,6.142,6.298,6.153,6.606,37.093
20625,5.82,5.876,6.005,6.259,6.131,6.577,36.668
20750,6.005,5.925,6.286,6.238,6.092,6.603,37.149
20875,6.204,5.998,5.984,6.29,6.191,6.691,37.358
21000,5.815,5.862,6.109,6.383,6.08,6.713,36.962
21125,6.053,5.706,6.106,6.379,6.031,6.594,36.869
21250,6.093,5.876,5.939,6.29,6.244,6.561,37.003
21375,6.108,5.794,6.041,6.195,6.142,6.848,37.128
21500,6.059,5.954,6.036,6.367,6.12,6.831,37.367
21625,6.003,5.93,6.09,6.224,5.931,6.681,36.859
21750,6.148,5.947,5.974,6.243,6.072,6.532,36.916
21875,5.894,5.698,6.004,6.306,6.218,6.722,36.842
22000,6.053,5.894,6.172,6.367,6.09,6.826,37.402
22125,6.204,5.756,6.323,6.319,6.101,6.806,37.509
22250,5.925,5.803,6.08,6.149,6.063,6.894,36.914
22375,5.852,5.73,6.002,6.308,6.104,6.682,36.678
22500,6.112,5.716,6.148,6.097,6.017,6.685,36.775
22625,5.861,5.881,6.238,6.284,6.149,6.842,37.255
22750,6.078,6.007,6.03,6.258,6.084,6.66,37.117
22875,5.999,5.755,6.045,6.238,6.041,6.839,36.917
23000,5.986,5.673,5.995,6.231,6.202,6.63,36.717
23125,6.023,5.949,6.036,6.367,6.085,6.797,37.257
23250,6.197,5.828,6.29,6.237,5.959,6.616,37.127
23375,5.825,5.689,6.124,6.267,6.127,6.713,36.745
23500,5.955,6.004,6.011,6.45,5.829,6.749,36.998
23625,6.038,5.738,6.319,6.203,5.989,6.739,37.026
23750,6.01,5.893,6.01,6.257,6.135,6.884,37.189
23875,6.077,5.88,6.045,6.458,6.205,6.646,37.311
24000,6.135,5.929,6.098,6.216,6.04,6.762,37.18
24125,5.899,5.83,6.086,6.232,6.121,6.791,36.959
24250,6.09,5.748,6.019,6.458,6.171,6.786,37.272
24375,5.83,5.841,6.031,6.159,6.311,6.764,36.936
24500,5.986,5.96,6.041,6.298,6.035,6.736,37.056
24625,6.094,5.889,6.203,6.309,6.097,6.738,37.33
24750,6.109,6.024,5.944,6.272,6.156,6.731,37.236
24875,5.994,5.863,6.145,6.286,6.124,6.638,37.05
25000,6.066,5.926,6.122,6.507,6.185,6.514,37.32
25125,6.151,5.684,6.037,6.415,5.994,6.608,36.889
25250,5.846,5.782,6.131,6.179,6.185,6.817,36.94
25375,5.851,5.688,5.871,6.354,6.19,6.788,36.742
25500,5.882,5.727,6.096,6.232,6.262,6.562,36.761
25625,5.904,5.886,6.084,6.369,6.094,6.846,37.183
25750,6.11,5.911,6.108,6.191,6.106,6.669,37.095
25875,6.07,5.586,5.961,6.284,6.085,6.451,36.437
26000,6.023,5.679,6.032,6.27,5.971,6.738,36.713
26125,5.988,5.779,6.1,6.324,6.273,6.828,37.292
26250,6.205,5.781,5.991,6.193,6.231,6.744,37.145
