time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.376,6.391,6.175,6.378,5.624,6.762,37.706
125,6.302,6.215,6.053,6.628,5.698,6.794,37.69
250,6.126,6.347,6.026,6.112,5.767,6.863,37.241
375,6.366,6.276,6.044,6.561,5.632,6.62,37.499
500,6.346,6.325,6.034,6.391,5.816,6.888,37.8
625,6.257,6.461,6.088,6.553,5.714,6.775,37.848
750,6.186,6.278,6.239,6.533,5.682,6.83,37.748
875,6.151,6.166,5.985,6.498,5.884,6.939,37.623
1000,6.227,6.194,6.091,6.432,5.742,6.725,37.411
1125,6.119,6.202,6.041,6.641,5.713,6.805,37.521
1250,6.025,6.377,6.166,6.542,5.948,6.751,37.809
1375,6.261,6.366,6.227,6.557,5.924,6.724,38.059
1500,6.239,6.317,6.172,6.35,5.9,6.659,37.637
1625,6.361,6.338,6.001,6.579,5.823,6.817,37.919
1750,6.32,6.195,6.156,6.686,5.576,6.886,37.819
1875,6.091,6.397,6.064,6.417,5.832,6.733,37.534
2000,6.149,6.297,5.925,6.532,5.834,6.736,37.473
2125,6.144,7.023,6.101,6.6,5.778,6.791,38.437
2250,6.038,6.102,6.077,6.447,5.535,6.739,36.938
2375,6.249,6.15,6.178,6.364,5.687,7.022,37.65
2500,6.177,6.357,6.279,6.365,5.909,6.954,38.041
2625,6.247,6.098,6.106,6.492,5.727,6.644,37.314
2750,6.167,6.339,6.145,6.297,5.826,6.875,37.649
2875,6.193,6.436,5.948,6.597,5.811,6.765,37.75
3000,6.172,6.263,6.045,6.543,5.701,6.716,37.44
3125,6.234,6.43,6.083,6.566,5.951,6.755,38.019
3250,6.235,6.211,5.863,6.498,5.872,6.897,37.576
3375,6.307,6.224,6.275,6.691,5.728,6.96,38.185
3500,6.048,6.275,6.195,6.521,5.89,6.823,37.752
3625,6.188,6.323,6.259,6.784,5.782,6.96,38.296
3750,6.12,6.279,6.2,6.555,5.928,6.807,37.889
3875,6.099,6.257,6.181,6.436,5.681,6.744,37.398
4000,5.907,6.226,6.057,6.417,5.858,6.868,37.333
4125,6.123,6.266,6.2,6.27,5.934,6.755,37.548
4250,6.014,6.292,6.122,6.669,5.753,6.815,37.665
4375,6.211,6.375,6.107,6.283,5.773,6.838,37.587
4500,6.229,6.401,6.131,6.642,5.794,6.613,37.81
4625,6.22,6.138,6.227,6.61,5.769,6.837,37.801
4750,6.008,6.094,6.178,6.489,5.794,6.962,37.525
4875,6.023,6.179,5.977,6.544,5.885,6.962,37.57
5000,6.338,6.142,6.176,6.374,5.794,6.952,37.776
5125,6.353,6.324,6.065,6.432,6.118,6.806,38.098
5250,6.114,6.173,6.312,6.537,5.831,6.988,37.955
5375,6.159,6.054,6.274,6.56,5.976,6.909,37.932
5500,6.04,6.47,6.03,6.238,5.936,6.703,37.417
5625,6.125,6.387,6.014,6.513,5.827,6.802,37.668
5750,6.093,6.359,6.197,6.459,6.043,6.782,37.933
5875,6.174,6.208,6.147,6.425,5.832,6.998,37.784
6000,6.221,6.156,6.185,6.562,5.837,6.777,37.738
6125,6.231,6.175,6.319,6.497,5.883,6.574,37.679
6250,6.167,6.166,6.151,6.346,5.797,6.814,37.441
6375,6.118,6.213,5.937,6.345,5.665,6.87,37.148
6500,6.143,6.317,6.161,6.506,5.943,6.748,37.818
6625,6.342,6.314,6.241,6.517,5.817,6.76,37.991
6750,6.148,6.257,6.112,6.422,5.77,6.921,37.63
6875,5.965,6.291,5.949,6.578,5.664,6.952,37.399
7000,6.03,6.118,6.034,6.246,5.693,6.743,36.864
7125,5.906,6.201,6.151,6.471,5.623,6.904,37.256
7250,6.209,6.075,6.213,6.493,5.713,6.924,37.627
7375,5.936,6.28,6.267,6.42,5.906,6.928,37.737
7500,6.039,6.316,6.102,6.465,5.857,6.666,37.445
7625,6.186,6.316,6.167,6.583,5.815,6.906,37.973
7750,6.102,6.149,6.281,6.403,5.844,6.736,37.515
7875,6.116,6.151,5.916,6.267,5.818,6.943,37.211
8000,6.15,6.081,6.272,6.395,5.816,6.86,37.574
8125,6.056,6.266,6.177,6.455,5.893,6.747,37.594
8250,6.014,6.141,5.931,6.52,5.894,7.017,37.517
8375,6.189,6.139,6.261,6.368,5.811,6.942,37.71
