time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.354,6.176,6.469,6.062,6.79,5.737,37.588
125,6.337,6.467,6.391,6.259,6.893,5.66,38.007
250,6.144,6.086,6.519,6.09,6.952,5.685,37.476
375,6.268,6.412,6.416,5.995,6.795,5.711,37.597
500,6.296,6.26,6.322,6.013,7.091,5.749,37.731
625,6.282,6.307,6.425,6.178,7.032,5.661,37.885
750,6.186,6.157,6.467,6.255,6.876,5.729,37.67
875,6.278,6.282,6.544,5.915,6.993,5.684,37.696
1000,6.317,6.292,6.507,6.152,6.814,5.662,37.744
1125,6.282,6.191,6.559,5.996,6.793,5.766,37.587
1250,6.306,6.287,6.472,6.329,6.831,5.598,37.823
1375,6.141,6.149,6.433,6.144,6.894,5.644,37.405
1500,6.199,6.269,6.491,6.173,6.757,5.61,37.499
1625,6.27,6.241,6.463,6.12,6.711,5.733,37.538
1750,6.286,5.93,6.279,6.252,6.877,5.841,37.465
1875,6.164,6.302,6.29,6.045,6.965,5.711,37.477
2000,6.246,6.216,6.419,6.06,6.863,5.769,37.573
2125,6.224,6.407,6.294,6.187,6.757,5.875,37.744
2250,6.022,6.11,6.322,5.94,6.962,5.695,37.051
2375,6.115,6.239,6.649,6.258,6.814,5.808,37.883
2500,6.158,6.184,6.503,6.01,7.024,5.615,37.494
2625,6.36,6.379,6.63,6.177,6.74,5.65,37.936
2750,6.242,6.333,6.572,6.169,6.892,5.658,37.866
2875,6.184,6.075,6.493,6.109,6.964,5.929,37.754
3000,6.254,6.394,6.527,6.246,6.986,5.829,38.236
3125,6.21,6.207,6.453,5.964,6.449,5.844,37.127
3250,6.309,6.223,6.415,6.109,6.874,5.626,37.556
3375,6.44,6.127,6.407,6.224,6.945,5.689,37.832
3500,6.233,6.407,6.535,6.163,6.992,5.778,38.108
3625,6.072,6.28,6.473,5.933,7.2,5.756,37.714
3750,6.268,6.019,6.457,5.998,7.113,5.61,37.465
3875,6.043,6.276,6.561,6.229,7.052,5.602,37.763
4000,6.188,6.342,6.507,5.896,6.993,5.701,37.627
4125,6.284,6.098,6.584,6.341,6.81,5.701,37.818
4250,6.255,6.205,6.649,6.102,7.001,5.912,38.124
4375,6.225,6.184,6.248,6.063,6.836,5.639,37.195
4500,6.238,6.211,6.476,6.282,6.902,5.896,38.005
4625,6.304,6.252,6.398,6.261,6.812,5.741,37.768
4750,6.118,6.228,6.669,6.132,7.097,5.701,37.945
4875,6.103,6.09,6.328,6.042,6.934,5.687,37.184
5000,6.213,6.278,6.379,5.967,6.918,5.797,37.552
5125,6.221,6.184,6.473,6.234,6.931,5.872,37.915
5250,6.45,6.05,6.37,6.058,6.963,5.833,37.724
5375,6.177,6.083,6.472,6.129,6.925,5.795,37.581
5500,6.228,6.004,6.437,5.985,7.02,5.927,37.601
5625,6.177,6.266,6.49,6.04,7.171,5.604,37.748
