time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.239,6.225,6.262,6.501,5.844,6.736,37.807
125,6.263,6.179,6.003,6.481,5.786,6.685,37.397
250,6.133,6.181,6.25,6.598,5.8,6.735,37.697
375,6.323,5.949,5.913,6.273,5.876,6.846,37.18
500,6.399,6.139,6.124,6.404,5.655,7.015,37.736
625,6.466,6.297,6.048,6.607,5.524,6.704,37.646
750,6.318,6.186,6.023,6.392,5.808,7.089,37.816
875,6.344,6.21,6.112,6.45,5.719,6.95,37.785
1000,6.275,6.14,6.138,6.434,5.666,6.759,37.412
1125,6.177,6.272,6.26,6.445,5.664,6.699,37.517
1250,6.222,6.048,5.966,6.704,5.929,6.75,37.619
1375,6.262,6.249,6.122,6.35,5.836,6.899,37.718
1500,6.396,6.356,6.102,6.387,5.734,6.743,37.718
1625,6.419,6.298,6.164,6.67,5.586,6.857,37.994
1750,6.4,6.299,5.975,6.39,5.656,6.948,37.668
1875,6.356,6.341,6.164,6.466,5.757,6.587,37.671
2000,6.452,6.298,6.129,6.612,5.866,6.756,38.113
2125,6.338,6.293,6.113,6.576,5.779,6.976,38.075
2250,6.26,5.947,6.211,6.548,5.796,6.893,37.655
2375,6.357,6.255,6.046,6.489,5.687,6.981,37.815
2500,6.18,6.15,6.114,6.216,5.843,6.717,37.22
2625,6.204,6.126,5.979,6.367,5.747,6.857,37.28
2750,6.197,6.107,6.136,6.611,5.605,7.064,37.72
2875,5.886,6.115,6.213,6.209,5.796,6.909,37.128
3000,6.431,6.111,6.151,6.551,5.74,6.84,37.824
3125,6.202,6.385,6.128,6.448,5.635,6.72,37.518
3250,6.51,6.387,6.11,6.419,5.693,6.737,37.856
3375,6.495,5.957,6.112,6.384,5.792,6.912,37.652
3500,6.262,6.216,6.256,6.251,5.694,6.784,37.463
3625,6.479,6.125,6.07,6.468,5.856,6.747,37.745
3750,6.485,6.009,6.184,6.386,5.86,6.866,37.79
3875,6.431,5.985,6.154,6.591,5.678,6.76,37.599
4000,6.366,6.111,5.952,6.377,5.864,6.834,37.504
4125,6.368,6.118,6.049,6.451,5.795,6.821,37.602
4250,6.256,6.151,6.196,6.535,5.955,6.817,37.91
4375,6.357,6.203,6.098,6.418,5.984,6.906,37.966
4500,6.239,6.235,5.983,6.637,5.75,6.866,37.71
4625,6.489,6.105,6.054,6.572,5.865,6.872,37.957
4750,6.405,6.095,5.999,6.356,5.94,6.744,37.539
4875,6.236,6.047,5.972,6.687,5.806,6.872,37.62
5000,6.234,6.076,6.222,6.593,5.833,6.812,37.77
5125,6.243,6.186,6.107,6.389,5.772,7.051,37.748
5250,6.171,6.202,6.13,6.4,5.72,6.831,37.454
5375,6.218,6.327,6.102,6.34,5.761,7.073,37.821
5500,6.305,6.091,5.964,6.598,5.758,6.963,37.679
5625,6.475,6.152,5.996,6.512,5.874,6.772,37.781
5750,6.478,6.16,6.09,6.48,5.866,6.864,37.938
5875,6.333,6.109,6.154,6.444,5.74,6.951,37.731
6000,6.589,6.309,6.109,6.528,5.815,6.731,38.081
6125,6.426,6.213,6.082,6.499,5.718,6.812,37.75
6250,6.181,6.137,6.237,6.499,5.706,6.802,37.562
6375,6.175,6.054,6.067,6.501,5.784,6.803,37.384
6500,6.306,6.252,5.984,6.489,5.807,6.878,37.716
6625,6.158,5.991,6.122,6.54,5.836,6.881,37.528
6750,6.123,6.234,6.186,6.326,5.956,6.85,37.675
6875,6.172,6.161,6.156,6.521,5.708,6.768,37.486
7000,6.229,6.128,5.907,6.47,6.056,6.811,37.601
7125,6.14,6.27,6.098,6.328,5.669,6.946,37.451
7250,6.125,6.018,6.004,6.371,5.909,6.872,37.299
7375,6.166,6.042,6.123,6.674,5.759,7.006,37.77
7500,6.198,6.17,6.071,6.549,5.905,6.664,37.557
7625,6.801,5.986,6.184,6.575,5.707,6.788,38.041
7750,6.397,6.097,5.952,6.424,5.885,6.85,37.605
7875,6.435,5.982,6.197,6.304,5.75,6.95,37.618
8000,6.265,6.173,6.076,6.459,5.901,6.907,37.781
8125,6.313,6.177,6.073,6.236,6.013,6.888,37.7
8250,6.372,5.878,6.128,6.407,5.722,7.052,37.559
8375,6.044,6.127,6.23,6.507,5.75,6.788,37.446
8500,6.373,6.014,6.179,6.569,5.905,7.021,38.061
8625,6.419,5.999,6.099,6.372,5.842,6.807,37.538
8750,6.17,5.946,5.914,6.308,5.883,6.931,37.152
8875,6.239,6.011,6.046,6.457,5.523,7.019,37.295
9000,6.098,6.072,6.043,6.626,6.085,6.796,37.72
9125,6.258,6.007,6.154,6.365,5.79,6.881,37.455
9250,6.339,6.144,6.079,6.351,5.617,6.861,37.391
9375,6.065,6.045,6.129,6.37,5.892,6.865,37.366
9500,6.064,6.005,5.955,6.27,5.671,6.877,36.842
9625,6.182,6.064,6.049,6.37,5.807,6.847,37.319
9750,5.999,6.095,6.065,6.442,6.01,7.035,37.646
9875,6.183,5.972,6.084,6.434,5.825,6.809,37.307
10000,6.36,6.017,6.184,6.469,5.796,6.983,37.809
10125,6.101,6.002,6.127,6.571,5.789,7.123,37.713
10250,6.143,6.024,5.853,6.466,5.775,6.727,36.988
10375,6.227,6.173,6.031,6.458,5.922,6.929,37.74
10500,6.181,6.19,6.205,6.318,5.828,6.929,37.651
10625,6.402,6.141,6.063,6.485,5.75,7.094,37.935
10750,6.216,5.951,6.215,6.58,5.975,6.977,37.914
10875,6.186,6.01,6.18,6.313,5.819,6.871,37.379
11000,6.179,6.092,6.115,6.417,6.103,6.905,37.811
11125,6.266,5.828,5.947,6.517,5.795,6.625,36.978
11250,6.249,6.181,6.152,6.55,6.068,6.985,38.185
11375,6.009,5.92,5.843,6.571,5.908,7.075,37.326
11500,6.381,6.057,6.155,6.49,5.79,6.96,37.833
11625,6.141,5.816,5.998,6.572,5.825,6.881,37.233
11750,6.218,6.054,6.324,6.527,5.861,7.173,38.157
11875,5.989,5.87,6.147,6.51,5.925,6.777,37.218
12000,6.246,5.97,6.115,6.294,5.86,6.933,37.418
12125,6.122,5.88,6.182,6.436,5.764,7.057,37.441
12250,6.015,6.193,5.98,6.203,6.118,6.931,37.44
12375,6.051,5.999,5.935,6.486,5.966,6.966,37.403
12500,6.205,6.099,6.149,6.379,5.839,6.908,37.579
12625,5.884,6.087,6.04,6.431,5.797,6.905,37.144
12750,6.198,5.992,5.96,6.43,5.815,6.954,37.349
12875,6.105,5.918,6.003,6.577,5.929,6.924,37.456
13000,5.987,6.029,5.967,6.534,5.967,7.025,37.509
13125,6.118,5.921,5.859,6.614,5.987,6.96,37.459
13250,6.044,5.864,6.084,6.579,6.058,7.004,37.633
13375,6.14,6.015,5.86,6.253,6.069,6.901,37.238
13500,6.099,5.904,6.063,6.35,5.836,7.081,37.333
13625,6.031,5.824,6.037,6.478,5.85,6.905,37.125
13750,5.958,6.037,6.112,6.619,5.883,6.952,37.561
13875,6.092,5.978,5.89,6.352,5.914,6.835,37.061
14000,5.858,6.003,6.095,6.35,5.905,7.02,37.231
14125,6.226,5.966,6.252,6.506,6.008,6.9,37.858
14250,6.064,6.197,5.897,6.416,6.046,6.945,37.565
14375,6.135,5.924,5.921,6.508,5.758,7.118,37.364
14500,5.958,5.814,6.095,6.444,5.943,7.04,37.294
14625,6.011,5.752,6.213,6.451,5.989,7.062,37.478
14750,6.011,5.799,5.897,6.512,5.953,7.017,37.189
14875,5.97,5.868,6.074,6.459,6.027,6.934,37.332
15000,5.954,5.754,6.159,6.405,5.752,6.981,37.005
15125,6.066,5.85,6.196,6.262,5.905,6.994,37.273
15250,6.038,5.882,6.256,6.473,5.717,7.071,37.437
15375,6.136,5.869,6.161,6.371,5.935,7.067,37.539
15500,5.967,5.752,5.972,6.605,5.939,6.982,37.217
15625,6.046,5.72,6.272,6.49,5.909,6.935,37.372
15750,6.072,5.912,6.092,6.431,6.196,6.85,37.553
15875,5.999,5.928,6.002,6.337,5.947,7.127,37.34
16000,6.051,5.945,5.979,6.583,5.973,7.008,37.539
16125,5.889,5.841,6.015,6.353,6.044,6.991,37.133
16250,6.026,5.734,6.018,6.424,5.776,7.09,37.068
16375,5.981,5.869,6.044,6.595,6.064,6.886,37.439
16500,6.204,5.868,6.046,6.396,5.757,6.888,37.159
16625,6.07,5.838,5.963,6.453,6.101,7.161,37.586
16750,6.057,5.733,5.964,6.338,5.832,7.105,37.029
16875,6.048,5.895,6.02,6.522,5.785,7.007,37.277
17000,5.991,5.892,6.017,6.324,5.931,7.014,37.169
17125,5.939,6.014,6.032,6.436,6.106,6.929,37.456
17250,5.975,5.827,5.972,6.445,6.054,7.275,37.548
17375,6.003,5.915,5.799,6.367,5.913,6.805,36.802
17500,5.886,5.816,6.084,6.597,6.092,7.137,37.612
17625,5.853,5.949,5.909,6.427,5.91,6.827,36.875
17750,6.073,5.765,6.056,6.412,5.871,6.969,37.146
17875,6.025,5.807,6.118,6.121,5.938,7.081,37.09
18000,6.058,6.036,6.014,6.394,5.883,7.14,37.525
18125,5.853,5.793,6.073,6.42,6.102,7.126,37.367
18250,5.905,5.724,6.119,6.352,6.08,6.945,37.125
18375,6.007,5.876,6.045,6.55,5.812,7.058,37.348
18500,6.05,5.906,6.122,6.373,5.803,7.181,37.435
18625,5.983,5.98,6.175,6.586,5.971,7.123,37.818
18750,6.181,5.647,5.934,6.439,5.891,7.139,37.231
18875,5.977,5.822,6.168,6.528,6.022,7.144,37.661
19000,5.941,5.911,5.941,6.55,6.095,7.151,37.589
19125,5.966,5.906,5.811,6.31,6.216,7.221,37.43
19250,5.785,5.904,6.06,6.504,6.13,7.115,37.498
19375,5.988,5.772,6.252,6.317,6.04,7.126,37.495
19500,6.064,5.861,6.004,6.194,5.902,7.225,37.25
19625,6.077,5.962,6.095,6.519,6.017,7.126,37.796
19750,6.007,5.937,5.829,6.481,6.014,7.084,37.352
19875,5.869,5.948,5.841,6.417,5.917,7.052,37.044
20000,5.748,5.75,5.874,6.417,6.182,7.073,37.044
20125,5.872,5.59,6.168,6.567,5.836,7.006,37.039
20250,5.818,5.714,6.217,6.273,6.043,7.078,37.143
20375,5.797,5.631,5.976,6.426,6.069,7.053,36.952
20500,5.867,5.882,6.044,6.425,6.155,6.969,37.342
20625,6.062,5.96,5.958,6.353,6.027,7.178,37.538
20750,5.791,5.752,6.216,6.495,5.982,6.849,37.085
20875,5.989,5.774,5.937,6.328,5.997,7.102,37.127
21000,6.069,5.721,5.934,6.251,6.106,6.999,37.08
21125,5.843,5.775,5.778,6.284,6.124,7.069,36.873
21250,5.811,5.639,6.141,6.411,5.889,7.038,36.929
21375,5.929,5.957,6.079,6.382,5.939,7.153,37.439
21500,6.007,5.947,6.066,6.372,5.957,7.055,37.404
21625,5.721,5.78,5.947,6.45,5.931,7.221,37.05
21750,5.983,5.867,6.064,6.511,6.118,7.254,37.797
21875,5.849,5.542,6.063,6.301,6.054,6.892,36.701
22000,5.915,5.968,5.925,6.359,6.029,7.107,37.303
22125,5.879,5.416,5.999,6.399,6.17,7.045,36.908
22250,5.733,5.745,6.143,6.475,6.124,7.281,37.501
22375,5.926,5.855,6.051,6.605,6.132,7.275,37.844
22500,5.754,5.495,5.987,6.324,6.082,7.032,36.674
22625,5.929,5.477,6.269,6.416,6.128,7.056,37.275
22750,5.983,5.724,6.105,6.439,6.12,6.911,37.282
22875,5.914,5.671,6.077,6.469,5.417,7.267,36.815
23000,5.495,5.828,6.069,6.387,6.044,7.256,37.079
23125,6.112,5.624,6.136,6.302,5.991,7.244,37.409
23250,5.83,5.767,6.015,6.295,5.906,7.099,36.912
23375,5.85,5.73,5.941,6.205,5.77,7.078,36.574
23500,5.792,5.763,5.892,6.326,5.987,7.091,36.851
23625,5.917,5.779,6.186,6.269,6.052,6.912,37.115
23750,5.754,5.869,6.121,6.43,5.911,7.058,37.143
23875,5.847,5.642,6.185,6.224,6.192,7.347,37.437
24000,5.863,5.731,6.023,6.538,6.039,6.946,37.14
24125,5.596,5.712,5.821,6.348,6.054,7.025,36.556
24250,5.866,5.573,5.903,6.305,6.277,7.327,37.251
24375,5.897,5.732,6.111,6.372,6.166,7.027,37.305
24500,5.7,5.672,6.068,6.357,6.034,7.003,36.834
24625,5.742,5.788,6.083,6.416,6.312,7.226,37.567
24750,5.844,5.581,5.888,6.364,5.981,7.172,36.83
24875,5.635,5.698,5.989,6.473,6.14,7.262,37.197
25000,5.883,5.676,5.84,6.31,6.033,7.115,36.857
25125,5.717,5.657,6.097,6.232,6.021,7.154,36.878
25250,5.689,5.71,6.118,6.215,6.293,7.199,37.224
25375,5.648,5.709,6.166,6.404,6.067,7.091,37.085
25500,5.814,5.709,5.877,6.453,6.222,7.212,37.287
25625,5.731,5.58,5.903,6.27,6.033,7.245,36.762
25750,5.925,5.498,5.916,6.42,6.059,7.03,36.848
25875,5.833,5.71,5.997,6.422,6.054,7.174,37.19
26000,5.785,5.522,5.917,6.413,6.087,7.265,36.989
26125,5.716,5.794,5.955,6.364,6.166,7.121,37.116
26250,5.777,5.588,6.0,6.484,5.987,7.1,36.936
26375,5.716,5.631,6.164,6.367,6.17,7.391,37.439
26500,5.642,5.793,6.031,6.277,6.089,7.191,37.023
26625,5.792,5.533,6.176,6.316,6.189,7.275,37.281
26750,5.668,5.38,6.147,6.25,6.133,7.318,36.896
26875,5.741,5.805,5.962,6.33,6.245,7.279,37.362
27000,5.739,5.64,5.857,6.297,6.109,7.055,36.697
27125,5.876,5.648,6.069,6.42,6.233,7.108,37.354
27250,5.75,5.669,6.028,6.346,6.249,7.283,37.325
27375,5.66,5.579,6.082,6.256,6.238,7.397,37.212
27500,5.996,5.676,5.934,6.375,6.341,7.337,37.659
27625,5.759,5.583,6.026,6.212,6.124,7.103,36.807
27750,5.569,5.623,5.914,6.46,6.234,7.123,36.923
27875,5.689,5.488,5.932,6.374,6.309,7.407,37.199
28000,5.727,5.716,5.916,6.415,6.092,7.125,36.991
28125,5.647,5.551,5.959,6.474,6.196,7.306,37.133
28250,5.793,5.692,5.931,6.307,6.075,7.125,36.923
28375,5.726,5.617,5.956,6.237,6.132,7.066,36.734
28500,5.638,5.551,6.068,6.347,6.185,7.307,37.096
28625,5.874,5.535,6.031,6.187,6.162,7.351,37.14
28750,5.751,5.563,6.036,6.04,6.107,7.258,36.755
28875,5.745,5.528,5.922,6.357,6.102,7.266,36.92
29000,5.705,5.418,5.921,6.309,6.272,7.424,37.049
29125,5.788,5.603,5.999,6.41,6.091,7.208,37.099
29250,5.748,5.449,6.131,6.262,6.085,7.318,36.993
29375,5.594,5.358,5.887,6.506,6.137,7.341,36.823
29500,5.624,5.661,5.977,6.441,6.242,7.221,37.166
29625,5.396,5.373,6.067,6.268,6.21,7.021,36.335
29750,5.707,5.499,6.111,6.212,5.921,7.149,36.599
29875,5.617,5.695,5.921,6.432,6.09,7.259,37.014
