time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.234,6.283,6.741,6.052,6.622,5.545,37.477
125,6.349,6.166,6.479,6.014,6.798,5.592,37.398
250,6.191,6.267,6.634,6.141,6.713,5.622,37.568
375,6.446,6.206,6.311,6.002,6.851,5.695,37.511
500,6.349,6.374,6.317,6.07,7.032,5.643,37.785
625,6.413,6.137,6.164,5.914,6.81,5.579,37.017
750,6.291,6.196,6.467,5.971,6.904,6.017,37.846
875,6.371,6.15,6.686,6.064,6.894,5.682,37.847
1000,6.321,6.156,6.544,6.18,7.019,5.869,38.089
1125,6.369,6.192,6.304,6.071,6.833,5.657,37.426
1250,6.386,6.31,6.376,6.124,6.767,5.73,37.693
1375,6.336,6.093,6.593,5.944,6.927,5.667,37.56
1500,6.32,6.18,6.436,6.333,7.017,5.702,37.988
1625,6.332,6.149,6.469,6.071,6.803,5.722,37.546
1750,6.403,5.944,6.425,6.067,6.81,5.657,37.306
1875,6.407,6.133,6.41,6.113,7.017,5.688,37.768
2000,6.361,6.248,6.527,6.107,6.912,5.703,37.858
2125,6.424,6.111,6.559,6.095,7.067,5.708,37.964
2250,6.321,6.113,6.424,6.055,6.842,5.634,37.389
2375,6.411,6.217,6.634,6.269,6.885,5.857,38.273
2500,6.284,6.221,6.599,6.091,6.742,5.68,37.617
2625,6.234,6.141,6.537,5.983,6.9,5.67,37.465
2750,6.442,6.095,6.409,6.085,6.924,5.897,37.852
2875,6.238,6.109,6.576,6.044,6.892,5.468,37.327
3000,6.454,6.057,6.512,6.224,6.969,5.753,37.969
3125,6.307,6.234,6.456,6.088,6.756,5.699,37.54
3250,6.264,5.998,6.389,6.218,6.798,5.846,37.513
3375,6.235,6.068,6.533,6.301,6.888,5.861,37.886
3500,6.347,6.045,6.377,6.112,6.843,5.672,37.396
3625,6.476,6.149,6.653,6.208,6.802,5.777,38.065
3750,6.36,6.095,6.433,6.037,6.786,5.632,37.343
3875,6.298,6.12,6.45,6.05,6.829,5.722,37.469
4000,6.366,6.08,6.299,6.025,6.969,5.667,37.406
4125,6.228,6.064,6.435,6.256,7.039,5.75,37.772
4250,6.183,6.189,6.536,6.127,7.03,5.796,37.861
4375,6.302,6.251,6.639,5.98,6.879,5.82,37.871
4500,6.272,6.306,6.577,6.161,6.897,5.6,37.813
4625,6.125,5.968,6.508,6.124,7.139,5.673,37.537
4750,6.443,6.162,6.341,6.001,6.882,5.881,37.71
4875,6.22,6.116,6.392,6.26,7.058,5.709,37.755
5000,6.11,6.174,6.571,6.178,6.911,5.785,37.729
5125,6.237,6.041,6.291,6.065,6.991,5.697,37.322
