time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.318,6.156,6.555,6.312,6.944,5.599,37.884
125,6.476,6.223,6.504,6.104,6.835,5.857,37.999
250,6.271,6.299,6.426,6.193,6.979,5.645,37.813
375,6.293,6.126,6.462,5.98,6.869,5.626,37.356
500,6.423,6.168,6.63,6.176,6.754,5.801,37.952
625,6.321,6.136,6.485,6.08,6.9,5.786,37.708
750,6.013,6.196,6.577,5.98,7.008,5.638,37.412
875,6.389,6.269,6.533,6.043,6.866,5.945,38.045
1000,6.24,6.136,6.455,5.983,6.943,5.834,37.591
1125,6.319,6.259,6.375,5.899,7.007,5.783,37.642
1250,6.476,6.23,6.35,6.146,6.937,5.925,38.064
1375,6.485,6.205,6.356,6.021,6.868,5.751,37.686
1500,6.288,6.08,6.492,6.174,6.887,5.672,37.593
1625,6.296,6.159,6.388,6.095,7.046,5.581,37.565
1750,6.364,6.041,6.625,6.03,6.71,5.801,37.571
1875,6.433,6.146,6.737,6.226,6.755,5.681,37.978
2000,6.394,6.242,6.383,6.103,6.903,5.776,37.801
2125,6.319,6.203,6.478,5.999,6.821,5.693,37.513
2250,6.327,6.109,6.571,6.015,6.926,5.649,37.597
2375,6.283,6.234,6.613,6.068,6.952,5.829,37.979
2500,6.178,6.289,6.461,6.023,6.831,5.793,37.575
2625,6.362,6.218,6.403,6.051,6.787,5.651,37.472
2750,6.184,6.283,6.465,6.032,6.827,5.58,37.371
2875,6.291,6.261,6.604,5.799,6.196,5.732,36.883
3000,6.27,6.299,6.383,6.038,6.765,5.9,37.655
3125,6.172,6.316,6.295,6.03,7.011,5.716,37.54
3250,6.571,6.053,6.48,6.215,6.967,5.849,38.135
3375,6.349,6.231,6.476,6.175,6.846,5.696,37.773
3500,6.353,6.221,6.393,6.083,6.827,5.829,37.706
3625,6.267,6.285,6.493,6.145,6.951,5.756,37.897
3750,6.29,6.248,6.572,6.109,6.914,5.785,37.918
3875,6.077,6.129,6.457,6.171,6.932,5.903,37.669
4000,6.304,6.056,6.56,6.13,7.03,5.861,37.941
4125,6.251,6.321,6.301,5.899,6.921,5.765,37.458
4250,6.255,6.133,6.482,5.932,6.915,5.8,37.517
4375,6.195,6.211,6.419,6.059,7.103,5.882,37.869
4500,6.388,6.199,6.354,5.949,6.964,5.827,37.681
4625,6.279,6.055,6.354,6.186,6.897,5.818,37.589
4750,6.278,6.15,6.631,6.17,6.961,5.778,37.968
4875,6.268,6.137,6.601,5.985,7.04,5.739,37.77
5000,6.321,6.218,6.503,6.059,7.03,5.808,37.939
5125,6.287,6.215,6.413,6.146,6.816,5.761,37.638
5250,6.208,6.143,6.406,6.107,6.857,5.756,37.477
5375,6.134,6.197,6.361,5.984,6.874,5.647,37.197
5500,6.123,6.007,6.385,6.2,6.947,5.881,37.543
5625,6.209,6.19,6.393,6.0,7.07,5.654,37.516
5750,6.337,6.228,6.549,6.074,6.832,5.867,37.887
5875,6.311,6.136,6.397,6.214,6.824,5.858,37.74
6000,6.409,6.252,6.382,5.848,6.926,5.852,37.669
6125,6.352,6.149,6.435,6.056,6.723,5.785,37.5
6250,6.181,6.15,6.313,6.008,6.829,5.901,37.382
