time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.228,6.292,6.469,6.257,6.557,6.203,38.006
125,6.243,6.188,6.467,6.251,6.521,5.971,37.641
250,6.368,6.303,6.293,5.978,6.419,6.171,37.532
375,6.189,6.271,6.391,6.113,6.464,5.941,37.369
500,6.189,6.398,6.421,6.373,6.443,6.094,37.918
625,6.152,6.286,6.418,6.19,6.625,6.004,37.675
750,6.158,6.452,6.357,6.078,6.517,6.022,37.584
875,6.505,6.173,6.478,6.197,6.613,6.121,38.087
1000,6.305,6.239,6.336,6.224,6.433,6.008,37.545
1125,6.054,6.327,6.228,6.222,6.505,6.002,37.338
1250,6.393,6.407,6.588,6.102,6.651,6.03,38.171
1375,6.289,6.192,6.493,6.277,6.613,6.042,37.906
1500,6.246,6.315,6.412,6.155,6.527,5.962,37.617
1625,6.299,6.11,6.449,6.206,6.651,6.137,37.852
1750,6.334,6.321,6.535,6.331,6.744,5.86,38.125
1875,6.213,6.28,6.501,6.2,6.466,6.109,37.769
2000,6.229,6.207,6.269,6.03,6.645,6.387,37.767
2125,6.27,6.182,6.232,6.077,6.461,6.027,37.249
2250,6.21,6.189,6.294,6.268,6.353,5.934,37.248
2375,6.393,6.311,6.267,6.229,6.619,6.026,37.845
2500,6.278,6.254,6.478,6.14,6.701,5.876,37.727
2625,6.476,6.481,6.342,6.128,6.454,6.041,37.922
2750,6.293,6.243,6.277,6.049,6.668,5.994,37.524
2875,6.254,6.398,6.456,6.094,6.592,5.976,37.77
3000,6.198,6.389,6.408,6.086,6.764,6.038,37.883
3125,6.214,6.325,6.539,6.081,6.647,5.842,37.648
3250,6.236,6.249,6.369,6.222,6.526,5.96,37.562
3375,6.145,6.367,6.428,6.172,6.593,5.845,37.55
3500,6.365,6.2,6.44,6.013,6.591,5.867,37.476
3625,6.422,6.144,6.217,6.195,6.642,6.103,37.723
3750,6.304,6.321,6.537,6.199,6.574,6.164,38.099
3875,6.088,6.336,6.436,6.133,6.617,5.906,37.516
4000,6.338,6.236,6.39,6.001,6.716,5.905,37.586
4125,6.135,6.173,6.445,6.047,6.762,6.068,37.63
4250,6.272,6.385,6.253,6.332,6.615,5.852,37.709
4375,6.396,6.251,6.352,6.173,6.779,6.021,37.972
4500,6.337,6.415,6.349,6.161,6.424,6.041,37.727
4625,6.116,6.196,6.488,6.136,6.604,5.924,37.464
4750,6.189,6.15,6.423,6.029,6.542,5.948,37.281
4875,6.134,6.1,6.498,6.234,6.515,5.959,37.44
5000,6.194,6.181,6.491,6.268,6.56,5.827,37.521
5125,6.47,6.344,6.428,6.123,6.463,5.822,37.65
5250,6.157,6.219,6.298,6.136,6.539,6.218,37.567
5375,6.288,6.437,6.582,6.05,6.671,6.109,38.137
5500,6.187,6.334,6.383,6.165,6.805,6.162,38.036
5625,6.208,6.274,6.582,6.157,6.792,5.98,37.993
5750,6.247,6.117,6.455,6.325,6.624,5.855,37.623
5875,6.133,6.132,6.31,6.155,6.526,6.09,37.346
6000,6.217,6.195,6.278,6.18,6.529,6.031,37.43
6125,6.107,6.22,6.4,6.339,6.711,5.945,37.722
6250,6.515,6.106,6.327,6.012,6.623,6.028,37.611
6375,6.017,6.243,6.64,6.19,6.641,6.364,38.095
6500,6.182,6.201,6.374,6.14,6.642,6.092,37.631
6625,6.229,6.118,6.267,6.296,6.604,5.913,37.427
6750,6.391,6.182,6.355,6.319,6.699,6.179,38.125
6875,6.31,6.202,6.364,6.099,6.424,6.178,37.577
7000,6.385,6.333,6.435,6.131,6.683,5.91,37.877
7125,6.318,6.163,6.227,6.131,6.494,6.152,37.485
7250,6.345,5.963,6.351,6.237,6.654,6.053,37.603
7375,6.334,6.317,6.468,6.095,6.493,6.006,37.713
7500,6.276,6.153,6.271,6.201,6.49,5.981,37.372
7625,6.355,6.165,6.395,6.354,6.582,5.991,37.842
