time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.513,6.196,6.14,6.316,6.078,6.355,37.598
125,6.373,6.42,6.33,6.387,6.084,6.417,38.011
250,6.45,6.132,6.12,6.195,6.128,6.223,37.248
375,6.495,6.339,6.194,6.256,6.301,6.507,38.092
500,6.405,6.109,6.373,6.474,6.189,6.519,38.069
625,6.251,6.268,6.107,6.366,6.044,6.621,37.657
750,6.394,6.139,6.13,6.262,6.036,6.319,37.28
875,6.43,6.206,6.186,6.1,5.912,6.518,37.352
1000,6.243,6.302,6.031,6.255,6.039,6.55,37.42
1125,6.181,6.342,6.215,6.55,6.03,6.419,37.737
1250,6.391,6.147,6.296,6.456,6.109,6.52,37.919
1375,6.338,6.208,6.405,6.2,6.171,6.51,37.832
1500,6.427,6.095,6.172,6.339,6.244,6.627,37.904
1625,6.491,6.262,6.144,6.358,6.191,6.538,37.984
1750,6.646,6.274,6.218,6.24,6.072,6.45,37.9
1875,6.497,6.143,6.386,6.218,6.182,6.453,37.879
2000,6.469,6.293,6.183,6.58,6.114,6.412,38.051
2125,6.315,6.141,6.441,6.34,5.939,6.558,37.734
2250,6.368,6.136,6.134,6.232,6.178,6.394,37.442
2375,6.408,6.134,6.233,6.221,6.1,6.58,37.676
2500,6.224,6.171,6.188,6.346,6.034,6.488,37.451
2625,6.425,6.237,6.093,6.193,6.193,6.541,37.682
2750,6.552,6.124,6.193,6.444,6.007,6.423,37.743
2875,6.364,6.173,6.31,6.4,6.124,6.454,37.825
3000,6.322,6.27,6.291,6.239,6.131,6.614,37.867
3125,6.383,6.24,6.055,6.322,6.226,6.395,37.621
3250,6.246,6.284,6.03,6.438,6.208,6.54,37.746
3375,6.359,6.227,6.215,6.365,6.067,6.416,37.649
3500,6.422,6.239,6.31,6.307,6.264,6.512,38.054
3625,6.367,6.168,6.274,6.204,6.143,6.511,37.667
3750,6.243,6.216,6.085,6.32,6.243,6.391,37.498
3875,6.205,6.012,6.177,6.305,6.243,6.608,37.55
4000,6.452,6.161,6.277,6.428,6.068,6.442,37.828
4125,6.271,6.081,6.094,6.284,5.971,6.477,37.178
4250,6.415,6.043,6.221,6.309,6.028,6.407,37.423
4375,6.201,6.109,6.108,6.432,6.2,6.536,37.586
4500,6.44,6.057,6.212,6.436,5.952,6.332,37.429
4625,6.176,6.165,6.227,6.325,6.071,6.405,37.369
4750,6.478,6.09,6.331,6.283,6.191,6.414,37.787
4875,6.324,6.102,6.295,6.315,5.927,6.413,37.376
5000,6.257,6.264,6.302,6.346,6.214,6.485,37.868
5125,6.435,5.917,6.015,6.319,6.069,6.42,37.175
5250,6.368,6.143,6.062,6.293,5.974,6.643,37.483
5375,6.259,5.885,6.207,6.184,6.124,6.507,37.166
5500,6.356,6.103,6.177,6.34,6.121,6.808,37.905
5625,6.393,6.042,6.224,6.232,6.203,6.565,37.659
5750,6.118,5.983,6.242,6.35,6.072,6.535,37.3
5875,6.337,5.941,6.202,6.285,6.172,6.528,37.465
6000,6.349,5.886,6.239,6.439,5.957,6.575,37.445
6125,6.245,6.035,6.121,6.35,6.125,6.317,37.193
6250,6.125,6.067,6.113,6.424,6.258,6.32,37.307
6375,6.221,6.009,5.955,6.445,6.26,6.468,37.358
6500,6.376,5.971,6.361,6.211,6.144,6.426,37.489
6625,6.389,6.033,6.229,6.357,6.155,6.677,37.84
6750,6.216,6.098,6.186,6.359,6.152,6.482,37.493
6875,6.337,6.078,6.028,6.3,6.16,6.683,37.586
7000,6.142,5.938,6.214,6.179,6.329,6.616,37.418
7125,6.369,6.105,6.303,6.369,6.165,6.643,37.954
7250,6.213,6.221,6.053,6.383,6.241,6.731,37.842
7375,6.347,5.972,6.26,6.278,6.137,6.426,37.42
7500,6.228,5.946,6.272,6.476,6.08,6.705,37.707
7625,6.28,5.971,6.087,6.578,6.224,6.448,37.588
7750,6.111,5.985,6.101,6.32,6.287,6.446,37.25
7875,6.189,6.073,6.141,6.174,6.319,6.486,37.382
8000,6.21,6.051,6.295,6.437,6.239,6.553,37.785
8125,6.116,5.905,6.117,6.387,6.09,6.455,37.07
8250,6.205,6.244,6.346,6.279,5.989,6.388,37.451
8375,6.146,6.034,6.093,6.311,6.308,6.606,37.498
8500,6.21,5.847,6.115,6.21,6.407,6.666,37.455
8625,6.248,6.081,6.222,6.24,6.076,6.702,37.569
8750,6.184,6.125,6.291,6.436,6.22,6.584,37.84
8875,6.344,6.076,5.91,6.351,6.025,6.531,37.237
9000,6.352,6.126,6.146,6.422,6.097,6.662,37.805
9125,6.21,6.163,6.175,6.246,6.135,6.679,37.608
9250,6.337,5.922,6.317,6.373,6.177,6.629,37.755
9375,6.404,5.919,6.209,6.277,6.141,6.603,37.553
9500,6.11,5.931,6.339,6.186,6.223,6.509,37.298
9625,6.196,5.989,6.196,6.135,6.277,6.522,37.315
9750,6.403,6.005,6.246,6.309,6.19,6.674,37.827
9875,6.06,6.036,6.118,6.365,6.346,6.622,37.547
10000,6.504,6.081,6.117,6.241,6.215,6.513,37.671
10125,6.104,6.036,6.172,6.471,6.178,6.391,37.352
10250,6.288,6.069,6.252,6.537,6.153,6.666,37.965
10375,6.538,5.797,6.252,6.257,6.189,6.575,37.608
10500,6.357,5.853,6.185,6.418,6.26,6.506,37.579
10625,6.055,6.061,6.398,6.278,6.234,6.64,37.666
10750,5.99,6.208,6.212,6.383,6.329,6.802,37.924
10875,6.277,5.99,6.139,6.273,6.256,6.5,37.435
11000,6.031,6.203,6.247,6.241,6.214,6.516,37.452
11125,6.06,5.954,6.226,6.339,6.261,6.378,37.218
11250,6.394,6.06,6.232,6.319,6.322,6.592,37.919
11375,6.196,5.971,6.169,6.489,6.256,6.628,37.709
11500,6.288,6.157,6.202,6.24,6.39,6.769,38.046
11625,6.058,5.884,6.099,6.173,6.391,6.661,37.266
11750,5.962,5.893,6.351,6.389,6.351,6.637,37.583
11875,6.107,5.927,5.97,6.293,6.324,6.806,37.427
12000,6.005,6.098,5.985,6.141,6.379,6.841,37.449
12125,6.311,5.906,6.116,6.459,6.216,6.578,37.586
12250,6.245,5.998,5.964,6.161,6.299,6.826,37.493
12375,6.123,5.779,6.161,6.414,6.272,6.53,37.279
12500,6.159,5.987,6.084,6.375,5.958,6.675,37.238
12625,6.28,5.867,6.191,6.459,6.198,6.54,37.535
12750,6.152,5.851,6.096,6.369,6.12,6.879,37.467
12875,6.065,6.064,6.065,6.252,5.955,6.684,37.085
13000,5.971,6.009,6.131,6.408,6.399,6.705,37.623
13125,6.125,5.93,6.019,6.349,6.156,6.662,37.241
13250,6.087,6.0,6.286,6.396,6.074,6.522,37.365
13375,6.071,6.121,6.257,6.18,6.252,6.871,37.752
13500,6.039,5.786,6.265,6.321,6.353,6.522,37.286
13625,6.173,5.916,6.098,6.225,6.129,6.573,37.114
13750,6.283,5.946,6.042,6.426,6.294,6.776,37.767
13875,6.104,5.807,6.027,6.356,6.203,6.525,37.022
14000,6.157,5.786,6.276,6.425,6.234,6.654,37.532
14125,5.979,5.969,6.117,6.307,6.151,6.789,37.312
14250,6.252,5.879,6.145,6.12,6.194,6.729,37.319
14375,5.941,5.779,6.241,6.281,6.175,6.71,37.127
14500,6.214,5.909,6.273,6.394,6.205,6.823,37.818
14625,6.211,5.919,6.342,6.312,6.26,6.589,37.633
14750,6.169,5.988,6.146,6.381,6.202,6.691,37.577
14875,6.25,5.947,6.152,6.402,6.305,6.813,37.869
15000,6.034,5.882,6.088,6.254,6.406,6.844,37.508
15125,6.03,5.965,6.215,6.379,6.333,6.735,37.657
15250,6.23,5.896,6.21,6.334,6.184,6.648,37.502
15375,5.957,5.793,6.142,6.118,6.262,6.689,36.961
15500,6.155,5.86,6.126,6.194,6.229,6.544,37.108
15625,6.126,5.78,6.131,6.235,6.208,6.738,37.218
15750,6.191,5.857,6.151,6.23,6.21,6.821,37.46
15875,6.058,5.986,6.048,6.309,6.34,6.757,37.498
16000,6.011,5.957,6.881,6.083,6.315,6.649,37.896
16125,5.982,5.911,6.164,6.275,6.224,6.682,37.238
16250,6.056,6.061,5.961,6.451,6.144,6.788,37.461
16375,6.067,5.767,6.343,6.344,6.198,6.645,37.364
16500,6.039,5.916,6.325,6.134,6.2,6.786,37.4
16625,5.95,5.865,6.053,6.307,6.297,6.628,37.1
16750,6.149,5.948,6.24,6.207,6.262,6.605,37.411
16875,6.004,5.723,6.334,6.144,6.157,6.669,37.031
17000,6.055,5.801,5.897,6.206,6.278,6.641,36.878
17125,6.03,5.81,6.072,6.199,6.224,6.756,37.091
17250,6.102,5.926,6.048,6.385,6.374,6.578,37.413
17375,6.396,5.795,6.168,6.208,6.498,6.82,37.885
17500,6.057,5.996,6.182,6.226,6.264,6.717,37.442
17625,6.123,5.825,5.997,6.26,6.335,6.664,37.204
17750,5.95,5.789,6.161,6.267,6.375,6.77,37.312
