time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.358,6.144,6.319,6.153,6.446,6.091,37.511
125,6.428,6.277,6.342,6.153,6.413,6.181,37.794
250,6.437,6.355,6.36,6.268,6.383,6.192,37.995
375,6.5,6.44,6.494,6.244,6.47,6.221,38.369
500,6.329,6.249,6.464,6.14,6.632,6.173,37.987
625,6.224,6.166,6.479,6.2,6.546,6.081,37.696
750,6.264,6.287,6.326,6.271,6.559,6.254,37.961
875,6.388,6.323,6.557,6.134,6.372,5.913,37.687
1000,6.196,6.293,6.329,6.295,6.393,6.157,37.663
1125,6.304,6.383,6.441,6.165,6.7,6.199,38.192
1250,6.101,6.086,6.307,6.179,6.531,6.116,37.32
1375,6.149,6.147,6.445,6.372,6.499,6.094,37.706
1500,6.422,6.557,6.229,6.412,6.399,6.198,38.217
1625,6.32,6.311,6.518,6.319,6.417,6.044,37.929
1750,6.225,6.256,6.318,6.166,6.472,5.755,37.192
1875,6.133,6.205,6.304,6.346,6.396,6.162,37.546
2000,6.287,6.303,6.372,6.139,6.522,6.164,37.787
2125,6.14,6.346,6.3,6.428,6.688,6.004,37.906
2250,6.159,6.268,6.331,5.475,6.45,6.03,36.713
2375,6.174,6.336,6.456,6.059,6.627,6.012,37.664
2500,6.375,6.319,6.386,6.206,6.646,6.116,38.048
2625,6.236,6.231,6.323,6.243,6.507,6.168,37.708
2750,6.192,6.371,6.214,6.278,6.475,5.853,37.383
2875,6.229,6.09,6.535,6.125,6.571,6.124,37.674
3000,6.286,6.481,6.346,6.417,6.596,6.162,38.288
3125,6.131,6.176,6.31,6.205,6.577,6.336,37.735
3250,6.487,6.477,6.44,6.325,6.404,6.379,38.512
3375,6.41,6.128,6.477,6.223,6.524,6.18,37.942
3500,6.458,6.12,6.153,6.392,6.415,5.926,37.464
3625,6.252,6.062,6.446,6.394,6.401,6.119,37.674
3750,6.467,6.182,6.214,6.339,6.628,6.26,38.09
3875,6.139,6.301,6.29,6.3,6.772,6.053,37.855
4000,6.397,6.255,6.454,6.226,6.505,6.098,37.935
4125,6.229,6.238,6.412,6.247,6.51,6.254,37.89
4250,6.437,6.222,6.326,6.125,6.405,6.167,37.682
4375,6.42,6.291,6.305,6.144,6.651,6.01,37.821
4500,6.486,6.169,6.323,6.176,6.722,6.071,37.947
4625,6.233,6.24,6.381,6.055,6.551,6.155,37.615
4750,6.192,6.197,6.413,6.417,6.456,5.984,37.659
4875,6.266,6.294,6.281,6.218,6.679,5.971,37.709
5000,6.317,6.027,6.255,6.278,6.622,6.123,37.622
5125,6.262,6.186,6.448,6.08,6.757,6.021,37.754
5250,6.328,6.356,6.054,6.2,6.451,6.391,37.78
5375,6.15,6.346,6.228,6.161,6.586,6.154,37.625
5500,6.451,6.149,6.333,5.967,6.544,6.257,37.701
5625,6.192,6.254,6.313,6.22,6.516,6.226,37.721
5750,6.29,6.13,6.331,6.254,6.525,6.082,37.612
5875,6.247,6.147,6.326,6.275,6.541,6.37,37.906
6000,6.221,6.211,6.456,6.24,6.572,6.261,37.961
6125,6.103,6.087,6.392,6.333,6.631,5.972,37.518
6250,6.265,6.197,6.247,6.261,6.438,6.362,37.77
6375,6.259,6.01,6.331,6.127,6.515,6.082,37.324
6500,6.238,6.138,6.252,6.356,6.637,6.119,37.74
6625,6.258,6.3,6.332,5.937,6.536,5.965,37.328
6750,6.209,6.104,6.318,6.182,6.502,6.112,37.427
6875,6.283,6.35,6.215,6.027,6.778,6.113,37.766
7000,6.119,6.253,6.552,6.177,6.673,5.959,37.733
7125,6.254,6.019,6.316,6.302,6.353,6.132,37.376
7250,6.142,6.106,6.414,6.165,6.561,6.15,37.538
7375,6.334,6.189,6.231,6.276,6.517,6.116,37.663
7500,6.279,6.206,6.211,6.212,6.543,5.997,37.448
7625,6.214,6.069,6.207,6.274,6.551,6.222,37.537
7750,6.416,6.172,6.329,6.191,6.538,6.085,37.731
7875,6.149,6.207,6.212,6.298,6.476,5.814,37.156
8000,6.228,6.274,6.446,6.255,6.544,6.184,37.931
8125,6.319,5.863,6.378,6.335,6.537,6.283,37.715
8250,6.123,6.278,6.407,6.319,6.54,6.004,37.671
8375,6.329,6.121,6.386,6.209,6.71,6.362,38.117
8500,6.347,6.193,6.282,5.98,6.599,6.212,37.613
8625,6.152,6.153,6.395,6.161,6.491,6.124,37.476
8750,6.03,6.092,6.443,6.225,6.376,6.372,37.538
8875,6.264,6.073,6.262,5.978,6.561,6.188,37.326
9000,6.233,6.121,6.153,6.175,6.519,6.195,37.396
9125,6.036,6.158,6.259,6.16,6.53,6.161,37.304
9250,6.299,6.177,6.372,6.164,6.675,6.201,37.888
9375,6.123,6.177,6.376,6.248,6.722,6.274,37.92
9500,6.099,6.164,6.51,6.122,6.454,6.163,37.512
9625,6.056,6.11,6.264,6.253,6.677,6.241,37.601
9750,5.984,6.149,6.378,6.081,6.568,6.218,37.378
9875,6.302,6.089,6.472,6.16,6.597,6.177,37.797
10000,6.165,6.121,6.308,6.026,6.625,6.277,37.522
10125,5.95,6.238,6.308,6.117,6.7,6.038,37.351
10250,5.991,5.943,6.491,6.107,6.65,6.204,37.386
10375,6.141,6.082,6.301,6.275,6.505,6.25,37.554
10500,6.06,6.017,6.32,6.265,6.585,6.139,37.386
10625,6.144,6.181,6.245,6.376,6.553,6.216,37.715
10750,6.061,6.159,6.409,6.133,6.565,6.026,37.353
10875,5.967,5.919,6.237,6.199,6.726,6.222,37.27
11000,6.211,6.043,6.503,6.223,6.478,6.019,37.477
11125,6.085,6.18,6.403,6.13,6.601,6.247,37.646
11250,5.952,6.182,6.183,6.173,6.701,6.357,37.548
11375,6.043,6.109,6.287,6.188,6.692,6.255,37.574
11500,5.99,6.165,6.418,6.136,6.673,6.221,37.603
11625,6.055,6.038,6.443,6.142,6.664,6.177,37.519
11750,6.244,6.058,6.2,6.21,6.489,6.119,37.32
11875,6.172,5.891,6.2,6.223,6.55,6.055,37.091
12000,6.072,6.1,6.158,6.373,6.654,6.22,37.577
12125,6.075,5.896,6.126,6.154,6.407,6.173,36.831
12250,5.948,6.201,6.272,6.133,6.81,6.222,37.586
12375,6.179,6.072,6.345,6.128,6.633,6.19,37.547
12500,5.998,5.889,6.276,6.225,6.531,6.175,37.094
12625,6.073,6.207,6.22,5.998,6.664,6.161,37.323
12750,6.025,5.936,6.195,6.235,5.822,6.236,36.449
12875,6.013,5.938,6.223,6.036,6.419,6.043,36.672
13000,6.137,6.004,6.262,6.395,6.686,6.159,37.643
13125,5.787,6.109,6.384,6.126,6.56,6.2,37.166
13250,5.921,5.872,6.279,6.272,6.68,6.133,37.157
13375,5.947,6.078,6.27,6.16,6.661,6.239,37.355
13500,6.23,5.954,6.211,6.197,6.519,6.225,37.336
13625,6.104,6.22,6.388,6.173,6.563,6.505,37.953
13750,6.099,6.13,6.23,6.297,6.56,6.174,37.49
13875,6.15,6.138,6.15,5.968,6.503,6.279,37.188
14000,6.205,6.11,6.336,6.082,6.607,6.264,37.604
14125,6.139,6.165,6.126,6.065,6.718,6.147,37.36
14250,6.271,5.97,6.351,6.327,6.833,6.278,38.03
14375,6.087,6.051,6.103,6.044,6.648,6.399,37.332
14500,5.901,5.899,6.366,6.195,6.583,6.123,37.067
14625,6.281,5.873,6.255,6.268,6.535,6.322,37.534
14750,6.095,5.949,6.597,6.144,6.676,6.213,37.674
14875,6.104,6.032,6.283,6.117,6.55,6.179,37.265
15000,6.094,6.124,6.373,6.047,6.647,6.3,37.585
15125,6.078,5.94,6.316,6.135,6.4,6.126,36.995
15250,6.04,5.878,6.319,6.125,6.699,6.311,37.372
15375,6.035,5.975,6.407,6.336,6.886,6.214,37.853
15500,6.036,5.904,6.412,6.092,6.609,6.31,37.363
15625,5.9,5.908,6.343,6.077,6.575,6.256,37.059
15750,6.029,6.059,6.262,6.142,6.784,6.372,37.648
15875,6.032,5.794,6.329,6.093,6.701,6.432,37.381
16000,5.953,6.088,6.359,6.293,6.619,6.237,37.549
16125,6.251,6.062,6.174,6.513,6.901,6.292,38.193
16250,5.937,6.056,6.451,6.251,6.611,6.208,37.514
16375,5.932,6.001,6.225,6.377,6.616,6.23,37.381
16500,6.348,6.083,6.163,5.993,6.594,6.28,37.461
16625,6.196,5.783,6.189,5.973,6.652,6.296,37.089
16750,6.154,6.006,6.345,5.883,6.554,6.32,37.262
16875,5.901,5.928,6.227,6.038,6.563,6.465,37.122
17000,6.247,5.98,6.302,6.24,6.691,6.218,37.678
17125,5.954,5.875,6.581,6.261,6.631,6.19,37.492
17250,6.157,5.883,6.32,6.123,6.586,6.236,37.305
17375,5.924,5.826,6.346,6.163,6.687,6.157,37.103
17500,6.13,5.814,6.319,6.19,6.655,6.242,37.35
17625,5.947,5.869,6.468,6.093,6.727,6.257,37.361
17750,5.839,5.944,6.416,6.17,6.467,6.457,37.293
17875,5.887,5.819,6.359,6.159,6.581,6.209,37.014
18000,5.965,5.807,6.353,6.091,6.781,6.145,37.142
18125,5.956,5.892,6.351,6.123,6.695,6.25,37.267
18250,5.903,5.847,6.298,6.177,6.599,6.406,37.23
18375,6.05,5.893,6.332,5.998,6.575,6.193,37.041
18500,5.929,5.912,6.262,6.323,6.641,6.35,37.417
18625,5.637,5.629,6.283,5.93,6.631,6.291,36.401
18750,5.877,5.766,6.174,6.062,6.787,6.273,36.939
18875,6.046,5.968,6.272,6.086,6.683,6.374,37.429
19000,5.896,5.939,6.34,6.18,6.691,6.102,37.148
19125,5.838,5.888,6.354,6.135,6.922,6.229,37.366
19250,5.999,5.777,6.247,6.139,6.653,6.27,37.085
19375,5.848,5.962,6.344,6.111,6.82,6.346,37.431
19500,5.917,5.721,6.236,6.003,6.695,6.233,36.805
19625,6.004,5.891,6.27,5.969,6.652,6.43,37.216
19750,5.823,5.681,6.118,5.942,6.852,6.232,36.648
19875,5.981,5.881,6.281,5.989,6.602,6.155,36.889
20000,5.832,5.887,6.348,6.158,6.789,6.243,37.257
20125,5.908,5.686,6.293,6.032,6.697,6.206,36.822
20250,5.98,5.793,6.382,6.133,6.646,6.311,37.245
20375,6.152,5.867,6.246,6.133,6.563,6.333,37.294
20500,6.005,5.897,6.072,5.883,6.933,6.239,37.029
20625,5.678,5.888,6.163,6.17,6.764,6.232,36.895
20750,6.042,5.973,6.301,6.259,6.646,6.209,37.43
20875,6.01,5.825,6.287,6.267,6.578,6.21,37.177
21000,5.893,5.82,6.398,6.119,6.734,6.302,37.266
21125,5.905,5.763,6.254,6.195,6.458,6.324,36.899
21250,5.869,5.892,6.25,6.143,6.606,6.322,37.082
21375,5.982,5.845,6.174,6.006,6.879,6.177,37.063
21500,6.033,5.835,6.328,6.228,6.655,6.378,37.457
21625,5.754,5.862,6.229,6.149,6.746,6.446,37.186
21750,5.915,5.751,6.407,6.058,6.68,6.304,37.115
21875,5.674,5.73,6.065,6.007,6.708,6.546,36.73
22000,5.899,5.811,6.027,6.08,6.738,6.304,36.859
22125,5.835,5.763,6.351,6.16,6.61,6.155,36.874
22250,5.909,5.692,6.333,5.919,6.627,6.289,36.769
22375,5.797,5.716,6.199,6.258,6.673,6.283,36.926
22500,5.8,5.745,6.333,6.186,6.732,6.388,37.184
22625,6.013,5.806,6.252,6.233,6.952,6.414,37.67
22750,5.804,5.958,6.243,6.165,6.699,6.174,37.043
22875,5.757,5.961,6.162,6.102,6.725,6.312,37.019
23000,6.142,5.991,6.358,6.02,6.877,6.519,37.907
23125,5.884,5.81,6.196,6.046,6.843,6.436,37.215
23250,5.776,5.831,6.351,5.935,6.736,6.341,36.97
23375,5.983,5.629,6.297,6.153,6.826,6.216,37.104
23500,5.879,5.871,6.231,6.182,6.611,6.382,37.156
23625,5.771,5.829,6.142,6.198,6.637,6.45,37.027
23750,5.914,6.003,6.49,6.023,6.881,6.33,37.641
23875,5.906,5.88,6.075,6.062,6.789,6.368,37.08
24000,5.951,5.716,6.238,5.93,6.639,6.166,36.64
24125,5.85,5.601,6.147,6.217,6.602,6.244,36.661
24250,5.666,5.665,6.175,6.274,6.827,6.284,36.891
24375,5.763,5.757,6.261,6.195,6.698,6.359,37.033
24500,5.886,5.739,6.351,6.106,6.727,6.322,37.131
24625,5.653,5.828,6.042,6.159,6.794,6.286,36.762
24750,5.712,5.679,6.2,6.018,6.922,6.232,36.763
24875,5.864,5.707,6.2,5.895,6.776,6.414,36.856
25000,5.813,5.691,6.177,6.076,6.722,6.45,36.929
25125,5.72,5.774,6.193,6.27,6.73,6.376,37.063
25250,5.921,5.545,6.492,5.97,6.688,6.26,36.876
25375,5.68,5.694,6.221,6.333,6.561,6.521,37.01
25500,5.985,5.686,6.26,6.059,6.681,6.207,36.878
25625,5.775,5.654,6.241,6.182,6.82,6.351,37.023
25750,5.923,5.768,6.197,5.992,6.875,6.413,37.168
25875,5.848,5.772,6.172,6.299,6.619,6.298,37.008
26000,5.627,5.59,6.402,6.133,6.902,6.374,37.028
26125,5.826,5.406,6.237,6.059,6.674,6.225,36.427
26250,5.795,5.634,6.205,5.953,6.715,6.332,36.634
26375,5.604,5.759,6.336,6.169,6.738,6.185,36.791
26500,5.666,5.55,6.302,6.146,6.766,6.22,36.65
26625,5.744,5.614,6.263,6.152,6.812,6.467,37.052
26750,5.681,5.753,6.13,6.111,6.783,6.189,36.647
26875,5.888,5.865,6.359,6.072,6.661,6.392,37.237
27000,5.587,5.782,6.302,6.016,6.402,6.258,36.347
27125,5.716,5.641,6.181,6.102,6.691,6.077,36.408
