time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.236,6.32,6.409,6.36,6.343,6.3,37.968
125,6.327,6.205,6.294,6.209,6.266,6.279,37.58
250,6.361,6.376,6.077,6.302,6.064,6.29,37.47
375,6.364,6.26,6.224,6.123,6.209,6.252,37.432
500,6.394,6.303,6.293,6.34,6.251,6.263,37.844
625,6.332,6.199,6.281,6.335,6.388,6.308,37.843
750,6.265,6.062,6.153,6.476,6.381,6.254,37.591
875,6.183,6.119,6.346,6.416,6.233,6.332,37.629
1000,6.2,6.343,6.27,6.327,6.347,6.41,37.897
1125,6.2,6.396,6.375,6.162,6.136,6.22,37.489
1250,6.245,6.165,6.351,6.263,6.315,6.176,37.515
1375,6.181,6.32,6.395,6.187,6.432,6.078,37.593
1500,6.241,6.38,6.201,6.244,6.403,6.471,37.94
1625,6.379,6.273,6.227,6.336,6.305,6.395,37.915
1750,6.24,6.268,6.35,6.247,6.198,6.291,37.594
1875,6.246,6.161,6.194,6.374,6.509,6.424,37.908
2000,6.228,6.397,6.206,6.305,6.463,6.301,37.9
2125,6.397,6.248,6.372,6.343,6.418,6.202,37.98
2250,6.505,6.179,6.228,6.284,6.369,6.386,37.951
2375,6.362,6.289,6.477,6.121,6.058,6.348,37.655
2500,6.309,6.302,6.163,6.429,6.235,6.388,37.826
2625,6.348,6.317,6.14,6.338,6.201,6.331,37.675
2750,6.119,6.394,6.262,6.594,6.218,6.415,38.002
2875,6.291,6.278,6.009,6.415,6.489,6.314,37.796
3000,6.163,6.345,6.274,6.213,6.368,6.349,37.712
3125,6.351,6.308,6.341,6.253,6.227,6.278,37.758
3250,6.371,6.274,6.299,6.213,6.31,6.288,37.755
3375,6.261,6.026,6.407,6.208,6.381,6.442,37.725
3500,6.213,6.147,6.19,6.302,6.423,6.347,37.622
3625,6.239,6.124,6.266,6.218,6.31,6.418,37.575
3750,6.37,6.1,6.274,6.41,6.343,6.4,37.897
3875,6.404,6.09,6.482,6.22,6.238,6.194,37.628
4000,6.183,6.1,6.347,6.308,6.273,6.317,37.528
4125,6.12,5.985,6.438,6.076,6.555,6.22,37.394
4250,6.067,6.072,6.412,6.282,6.325,6.36,37.518
4375,6.128,6.286,6.28,6.299,6.388,6.38,37.761
4500,6.144,5.973,6.411,6.315,6.241,6.385,37.469
