time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,4.219,4.361,4.25,4.226,4.252,4.17,25.478
125,4.237,4.329,4.232,4.27,4.161,4.301,25.53
250,4.21,4.312,4.294,4.189,4.225,4.237,25.467
375,4.224,4.38,4.344,4.318,4.401,4.296,25.963
500,4.206,4.354,4.268,4.143,4.42,4.344,25.735
625,4.211,4.059,4.312,4.374,4.351,4.425,25.732
750,4.126,4.339,4.228,4.303,4.204,4.34,25.54
875,4.097,4.292,4.206,4.232,4.233,4.215,25.275
1000,4.187,4.288,4.136,4.332,4.245,4.164,25.352
1125,4.241,4.235,4.209,4.299,4.387,4.166,25.537
1250,4.229,4.366,4.218,4.195,4.251,4.331,25.59
1375,4.251,4.275,4.192,4.326,4.263,4.191,25.498
1500,4.097,4.301,4.336,4.274,4.254,4.199,25.461
1625,4.096,4.398,4.251,4.175,4.197,4.173,25.29
1750,4.237,4.25,4.276,4.185,4.239,4.408,25.595
1875,4.195,4.262,4.261,4.162,4.292,4.258,25.43
2000,4.196,4.234,4.317,4.272,4.283,4.252,25.554
2125,4.18,4.393,4.167,4.311,4.298,4.384,25.733
2250,4.07,4.333,4.353,4.319,4.255,4.29,25.62
2375,4.085,4.06,4.253,4.236,4.129,4.356,25.119
2500,4.18,4.299,4.216,4.218,4.239,4.371,25.523
2625,4.225,4.364,4.29,4.158,4.235,4.232,25.504
2750,4.18,4.225,4.205,4.327,4.315,4.312,25.564
2875,4.289,4.303,4.299,4.185,4.213,4.299,25.588
3000,4.282,4.231,4.096,4.142,4.326,4.26,25.337
3125,4.171,4.363,4.188,4.245,4.241,4.194,25.402
3250,4.209,4.22,4.257,4.203,4.202,4.276,25.367
3375,4.197,4.387,4.234,4.194,4.291,4.223,25.526
3500,4.201,4.368,4.176,4.184,4.229,4.353,25.511
3625,4.297,4.305,4.495,4.115,4.151,4.319,25.682
3750,4.191,4.285,4.277,4.236,4.284,4.205,25.478
3875,4.248,4.327,4.115,4.301,4.326,4.28,25.597
4000,4.126,4.272,4.336,4.113,4.21,4.334,25.391
4125,4.217,4.096,4.197,4.321,4.045,4.25,25.126
4250,4.143,4.129,4.221,4.17,4.346,4.122,25.131
4375,4.131,4.162,4.318,4.285,4.177,4.247,25.32
4500,4.153,4.192,4.353,4.401,4.282,4.357,25.738
4625,4.208,4.204,4.262,4.216,4.272,4.302,25.464
4750,4.16,4.182,4.135,4.283,4.246,4.165,25.171
4875,4.187,4.285,4.248,4.185,4.356,4.108,25.369
5000,4.218,4.236,4.169,4.339,4.154,4.287,25.403
5125,4.176,4.244,4.256,4.189,4.404,4.34,25.609
5250,4.17,4.371,4.29,4.244,4.29,4.382,25.747
5375,4.224,4.252,4.196,4.281,4.41,4.18,25.543
5500,4.16,4.334,4.24,4.101,4.243,4.251,25.329
5625,4.161,4.315,4.099,4.259,4.398,4.232,25.464
5750,4.197,4.209,4.182,4.362,4.241,4.381,25.572
5875,4.151,4.243,4.329,4.227,4.341,4.187,25.478
6000,4.124,4.272,4.279,4.194,4.367,4.173,25.409
6125,4.1,4.233,4.213,4.432,4.176,4.149,25.303
6250,4.146,4.376,4.337,4.234,4.252,4.389,25.734
6375,4.283,4.12,4.235,4.28,4.47,4.247,25.635
6500,4.189,4.224,4.307,4.353,4.324,4.379,25.776
6625,4.139,4.313,4.29,4.113,4.422,4.312,25.589
6750,4.127,4.184,4.115,4.407,4.286,4.383,25.502
6875,4.231,4.164,4.183,4.188,4.248,4.253,25.267
7000,4.194,4.277,4.197,4.224,4.278,4.336,25.506
7125,4.151,4.286,4.096,4.324,4.304,4.258,25.419
7250,3.996,4.172,4.291,4.116,4.197,4.159,24.931
7375,4.247,4.141,4.348,4.081,4.244,4.284,25.345
7500,4.093,4.237,4.26,4.281,4.364,4.195,25.43
7625,4.153,4.142,4.283,4.341,4.299,4.343,25.561
7750,4.121,4.231,4.26,4.187,4.332,4.272,25.403
7875,4.153,4.143,4.294,4.201,4.327,4.205,25.323
8000,4.185,4.246,4.21,4.252,4.239,4.351,25.483
8125,4.233,4.245,4.122,4.247,4.193,4.334,25.374
8250,4.048,4.208,4.283,4.254,4.151,4.422,25.366
8375,4.239,4.33,4.163,4.292,4.313,4.229,25.566
8500,4.241,4.236,4.153,4.22,4.339,4.301,25.49
8625,4.246,4.259,4.239,4.306,4.142,4.212,25.404
8750,4.282,3.812,4.358,4.35,4.21,4.253,25.265
8875,4.159,4.364,4.326,4.19,4.246,4.549,25.834
9000,4.001,4.205,4.1,4.402,4.357,4.291,25.356
9125,4.266,4.168,4.283,4.242,4.307,4.362,25.628
9250,4.143,4.323,4.198,4.23,4.342,4.317,25.553
9375,4.161,4.274,4.17,4.238,4.216,4.349,25.408
9500,4.29,4.312,4.308,4.111,4.306,4.345,25.672
9625,4.006,4.216,4.226,4.222,4.21,4.262,25.142
9750,4.123,4.129,4.164,4.379,4.473,4.375,25.643
9875,4.055,4.227,4.2,4.223,4.301,4.226,25.232
10000,4.097,4.158,4.178,4.31,4.237,4.311,25.291
10125,4.097,4.132,4.181,4.242,4.236,4.164,25.052
10250,4.256,4.24,4.28,4.232,4.338,4.351,25.697
10375,4.294,4.187,4.233,4.3,4.467,4.294,25.775
10500,4.126,4.169,4.205,4.224,4.382,4.342,25.448
10625,3.98,4.225,4.171,4.066,4.237,4.292,24.971
10750,4.076,4.222,4.173,4.176,4.159,4.441,25.247
10875,4.183,4.164,4.281,4.261,4.149,4.402,25.44
11000,4.001,4.109,4.281,4.308,4.206,4.473,25.378
11125,4.215,4.132,4.236,4.299,4.208,4.3,25.39
11250,4.11,4.117,4.335,4.24,4.204,4.415,25.421
11375,3.999,4.237,4.15,4.314,4.248,4.33,25.278
11500,4.137,4.19,4.34,4.306,4.211,4.177,25.361
11625,4.231,4.123,4.274,4.333,4.341,4.408,25.71
11750,4.103,3.934,4.209,4.193,4.339,4.218,24.996
11875,4.013,4.268,4.353,4.269,4.298,4.339,25.54
