time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,7.656,7.456,7.437,7.341,7.342,7.448,44.68
125,7.403,7.372,7.374,7.52,7.453,7.503,44.625
250,7.67,7.515,7.356,7.266,7.369,7.43,44.606
375,7.535,7.461,7.785,7.46,7.515,7.421,45.177
500,7.632,7.333,7.533,7.311,7.577,7.443,44.829
625,7.642,7.561,7.465,7.397,7.504,7.523,45.092
750,7.552,7.454,7.531,7.309,7.425,7.094,44.365
875,7.33,7.399,7.55,7.21,7.38,7.463,44.332
1000,7.423,7.287,7.314,7.536,7.534,7.492,44.586
1125,7.631,7.444,7.298,7.532,7.642,7.627,45.174
1250,7.544,7.485,7.357,7.25,7.439,7.659,44.734
1375,7.466,7.421,7.576,7.413,7.558,7.439,44.873
1500,7.455,7.317,7.551,7.541,7.352,7.469,44.685
1625,7.46,7.336,7.678,7.522,7.558,7.365,44.919
1750,7.406,7.486,7.485,7.435,7.541,7.481,44.834
1875,7.156,7.4,7.349,7.404,7.394,7.301,44.004
2000,7.589,7.356,7.349,7.444,7.477,7.65,44.865
2125,7.69,7.534,7.263,7.405,7.371,7.234,44.497
2250,7.594,7.389,7.457,7.435,7.52,7.458,44.853
2375,7.354,7.199,7.438,7.44,7.387,7.319,44.137
2500,7.726,7.408,7.449,7.422,7.361,7.371,44.737
2625,7.477,7.362,7.411,7.412,7.538,7.284,44.484
2750,7.629,7.438,7.267,7.599,7.57,7.42,44.923
2875,7.324,7.27,7.267,7.417,7.513,7.812,44.603
3000,7.37,7.403,7.447,7.618,7.4,7.548,44.786
3125,7.562,7.353,7.3,7.348,7.313,7.809,44.685
3250,7.347,7.165,7.567,7.503,7.366,7.583,44.531
3375,7.392,7.477,7.473,7.206,7.845,7.257,44.65
3500,7.626,7.336,7.377,7.284,7.578,7.557,44.758
3625,7.587,7.154,7.451,7.46,7.302,7.351,44.305
3750,7.456,7.506,7.45,7.455,7.227,7.603,44.697
3875,7.385,7.227,7.339,7.541,7.505,7.421,44.418
4000,7.322,7.517,7.548,7.614,7.308,7.477,44.786
4125,7.535,7.275,7.36,7.246,7.556,7.561,44.533
4250,7.302,7.575,7.36,7.543,7.267,7.634,44.681
4375,7.483,7.484,7.485,7.486,7.467,7.309,44.714
