time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.37,6.44,6.27,6.212,6.557,6.139,37.988
125,6.479,6.21,6.353,6.149,6.571,6.084,37.846
250,6.372,6.245,6.405,6.132,6.426,6.2,37.78
375,6.225,6.262,6.329,6.196,6.588,5.939,37.539
500,6.286,6.159,6.523,6.246,6.553,6.258,38.025
625,6.305,6.375,6.268,6.305,6.561,5.976,37.79
750,6.44,6.368,6.351,6.173,6.449,6.14,37.921
875,6.283,6.275,6.356,6.071,6.327,6.108,37.42
1000,6.355,6.19,6.245,6.204,6.593,6.077,37.664
1125,6.318,6.14,6.329,6.164,6.454,6.06,37.465
1250,6.236,6.466,6.394,6.094,6.512,6.208,37.91
1375,6.371,6.283,6.335,6.063,6.327,6.102,37.481
1500,6.284,6.244,6.187,6.279,6.678,6.157,37.829
1625,6.126,6.248,6.439,6.3,6.541,6.124,37.778
1750,6.089,6.161,6.416,6.371,6.548,6.2,37.785
1875,6.279,6.267,6.49,6.218,6.692,6.091,38.037
2000,6.271,6.289,6.215,6.117,6.422,6.153,37.467
2125,6.166,5.985,6.258,6.189,6.366,5.966,36.93
2250,6.242,6.202,6.524,6.127,6.336,6.048,37.479
2375,6.258,6.28,6.436,6.144,6.431,6.037,37.586
2500,6.259,6.321,6.353,6.143,6.366,6.074,37.516
2625,6.278,6.099,6.463,6.216,6.344,5.975,37.375
2750,6.16,6.254,6.452,6.349,6.486,6.042,37.743
2875,6.24,6.35,6.328,6.169,6.412,6.167,37.666
3000,6.392,6.257,6.238,6.388,6.38,5.92,37.575
3125,6.289,6.094,6.317,6.372,6.711,6.029,37.812
3250,6.357,5.857,6.409,5.99,6.518,6.127,37.258
3375,6.404,6.193,6.275,5.879,6.435,6.291,37.477
3500,6.082,6.133,6.261,6.186,6.487,6.07,37.219
3625,6.332,6.153,6.251,6.106,6.565,6.02,37.427
3750,6.318,6.136,6.527,6.184,6.549,6.197,37.911
3875,6.361,6.041,6.314,6.169,6.472,5.915,37.272
4000,6.201,6.025,6.501,6.16,6.572,6.217,37.676
4125,6.271,6.35,6.288,6.221,6.418,6.205,37.753
4250,6.184,6.275,6.389,6.038,6.385,6.007,37.278
4375,6.114,6.319,6.482,6.44,6.503,6.14,37.998
4500,6.16,6.189,6.291,6.038,6.777,6.0,37.455
4625,6.288,6.344,6.208,6.31,6.559,6.223,37.932
4750,6.154,6.079,6.236,6.129,6.713,6.035,37.346
4875,6.202,6.158,6.379,6.242,6.603,6.13,37.714
5000,6.345,6.274,6.521,6.253,6.674,6.355,38.422
5125,6.289,6.158,6.372,6.465,6.676,6.043,38.003
5250,5.951,6.184,6.184,6.115,6.754,5.88,37.068
5375,6.225,6.417,6.351,6.224,6.644,6.093,37.954
5500,6.283,6.084,6.323,6.006,6.523,6.286,37.505
5625,6.355,6.097,6.247,6.2,6.623,6.086,37.608
5750,6.173,6.179,6.496,6.118,6.437,6.328,37.731
5875,6.152,6.26,6.401,6.166,6.443,6.242,37.664
6000,6.217,5.986,6.261,5.953,6.624,6.346,37.387
6125,6.215,6.279,6.379,6.06,6.582,6.128,37.643
6250,6.288,6.149,6.224,6.195,6.412,6.057,37.325
6375,6.193,6.161,6.428,6.088,6.635,6.239,37.744
6500,6.142,6.138,6.466,6.157,6.713,6.384,38.0
6625,6.084,6.049,6.28,6.264,6.683,6.123,37.483
6750,6.315,6.094,6.433,6.215,6.584,6.228,37.869
6875,6.04,6.248,6.238,6.141,6.47,6.204,37.341
7000,6.113,6.26,6.364,6.274,6.47,6.078,37.559
7125,6.153,6.171,6.428,6.104,6.533,6.102,37.491
7250,6.249,6.026,6.47,6.152,6.609,6.196,37.702
7375,6.168,6.149,6.509,6.184,6.596,6.026,37.632
7500,6.243,6.205,6.396,6.155,6.507,5.952,37.458
7625,6.11,6.178,6.375,6.193,6.406,6.159,37.421
7750,6.066,6.087,6.385,6.244,6.597,6.099,37.478
7875,6.084,6.137,6.36,6.325,6.48,6.188,37.574
8000,6.138,6.347,6.352,6.333,6.501,6.297,37.968
8125,6.118,6.317,6.142,6.227,6.663,6.242,37.709
8250,6.074,6.04,6.353,6.188,6.481,6.087,37.223
8375,5.966,6.064,6.392,6.311,6.411,6.273,37.417
8500,6.234,6.018,6.167,6.196,6.579,5.932,37.126
8625,6.191,6.071,6.29,6.191,6.548,6.239,37.53
8750,6.116,6.127,6.414,6.217,6.655,6.198,37.727
8875,6.139,6.251,6.299,6.042,6.83,6.323,37.884
9000,6.173,6.148,6.556,6.193,6.671,5.996,37.737
9125,6.084,6.09,6.346,6.189,6.604,6.288,37.601
9250,6.109,5.982,6.317,6.123,6.546,6.069,37.146
9375,6.131,5.816,6.319,6.132,6.562,6.1,37.06
9500,6.096,6.06,6.26,5.956,6.749,6.216,37.337
9625,6.024,6.001,6.225,6.214,6.836,6.15,37.45
9750,6.104,6.142,6.325,6.197,6.704,6.33,37.802
9875,6.19,6.05,6.438,6.209,6.563,6.141,37.591
10000,6.177,5.93,6.246,6.007,6.657,6.286,37.303
10125,6.168,6.164,6.169,6.197,6.864,6.002,37.564
10250,6.108,5.939,6.37,6.14,6.753,6.108,37.418
10375,6.102,6.063,6.248,6.095,6.568,6.38,37.456
10500,6.042,6.051,6.209,6.129,6.714,6.377,37.522
10625,6.042,6.218,6.36,6.189,6.576,6.39,37.775
10750,6.236,6.145,6.38,6.231,6.722,6.266,37.98
10875,6.116,5.968,6.409,5.955,6.714,6.172,37.334
11000,5.945,6.265,6.3,6.186,6.687,6.206,37.589
11125,5.987,6.336,6.094,6.195,6.483,6.332,37.427
11250,5.952,5.911,6.306,6.203,6.891,6.403,37.666
11375,6.063,5.972,6.394,6.307,6.728,6.301,37.765
11500,6.251,5.891,6.263,6.117,6.533,6.305,37.36
11625,6.07,5.919,6.266,5.988,6.555,6.377,37.175
11750,6.012,6.061,6.292,6.129,6.776,6.159,37.429
11875,5.953,6.042,6.146,6.124,6.585,6.137,36.987
12000,6.17,6.088,6.357,6.246,6.651,6.279,37.791
12125,6.041,6.009,6.328,6.143,6.806,6.208,37.535
12250,6.007,5.906,6.22,6.396,6.596,6.242,37.367
12375,6.035,5.96,6.338,6.229,6.573,6.461,37.596
12500,5.995,5.84,6.376,6.281,6.777,6.395,37.664
12625,5.947,5.952,6.298,6.239,6.774,6.212,37.422
12750,6.177,5.946,6.269,6.213,6.599,6.141,37.345
12875,6.217,6.056,6.293,6.091,6.828,6.094,37.579
13000,5.925,6.013,6.204,6.208,6.577,6.254,37.181
13125,6.079,6.019,6.283,6.034,6.77,6.279,37.464
13250,5.824,5.946,6.22,6.201,6.525,6.129,36.845
13375,5.979,5.948,6.346,6.14,6.57,6.115,37.098
13500,6.107,6.089,6.223,6.417,6.509,6.397,37.742
13625,5.878,5.838,6.52,6.182,6.547,6.433,37.398
13750,5.971,6.038,6.276,6.236,6.673,6.294,37.488
13875,6.067,6.161,6.239,6.163,6.668,6.308,37.606
14000,6.004,5.94,6.322,6.092,6.61,6.336,37.304
14125,6.086,5.939,6.341,6.26,6.716,6.188,37.53
14250,5.933,6.086,6.113,5.992,6.855,6.358,37.337
14375,6.02,6.1,6.24,6.117,6.465,6.078,37.02
14500,6.0,5.799,6.222,6.13,6.641,6.438,37.23
