time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.141,6.22,6.514,6.168,6.573,5.792,37.408
125,6.224,6.218,6.468,6.206,6.791,6.147,38.054
250,6.152,6.149,6.53,6.208,6.483,5.814,37.336
375,6.302,6.168,6.511,6.024,6.501,5.973,37.479
500,6.259,6.285,6.398,5.991,6.641,5.967,37.541
625,6.274,6.239,6.209,6.224,6.653,5.989,37.588
750,6.229,6.262,6.44,6.296,6.631,6.072,37.93
875,6.471,6.333,6.479,6.192,6.695,5.921,38.091
1000,6.402,6.342,6.506,6.016,6.657,5.977,37.9
1125,6.315,6.273,6.298,6.173,6.663,5.801,37.523
1250,6.242,6.181,6.365,6.123,6.648,5.827,37.386
1375,6.173,6.209,6.489,6.112,6.544,5.928,37.455
1500,6.282,6.245,6.436,6.072,6.553,5.921,37.509
1625,6.444,6.142,6.382,5.937,6.571,5.842,37.318
1750,6.35,6.219,6.322,6.118,6.591,5.869,37.469
1875,6.433,6.324,6.237,6.249,6.606,6.076,37.925
2000,6.1,6.204,6.586,6.213,6.545,5.96,37.608
2125,6.137,6.268,6.529,6.098,6.674,6.012,37.718
2250,6.274,6.598,6.331,6.051,6.66,6.012,37.926
2375,6.169,6.26,6.417,6.219,6.614,5.83,37.509
2500,6.373,6.264,6.473,6.309,6.592,6.033,38.044
2625,6.208,6.188,6.309,6.339,6.656,6.027,37.727
2750,6.132,6.25,6.485,6.402,6.739,5.836,37.844
2875,6.571,6.177,6.305,6.172,6.597,6.086,37.908
3000,6.406,6.199,6.301,6.223,6.575,5.808,37.512
3125,6.181,6.051,6.396,6.028,6.648,6.055,37.359
3250,6.181,6.083,6.217,6.109,6.674,5.831,37.095
3375,6.076,6.315,6.517,6.176,6.553,5.917,37.554
3500,6.491,6.394,6.33,6.122,6.732,6.063,38.132
3625,6.24,6.366,6.636,6.068,6.525,5.779,37.614
3750,6.134,6.286,6.387,6.205,6.73,6.031,37.773
3875,6.25,6.137,6.373,6.092,6.826,6.002,37.68
4000,6.078,6.221,6.401,6.129,6.693,5.91,37.432
4125,6.131,6.194,6.422,6.303,6.712,5.877,37.639
4250,6.212,6.399,6.277,6.275,6.555,5.877,37.595
4375,6.456,6.246,6.603,6.219,6.689,6.103,38.316
4500,6.36,6.29,6.441,6.127,6.72,5.889,37.827
4625,6.334,6.173,6.382,6.097,6.67,5.898,37.554
4750,6.204,6.377,6.362,6.432,6.822,5.822,38.019
4875,6.104,6.311,6.352,6.202,6.742,6.102,37.813
5000,6.379,6.226,6.468,6.253,6.815,5.951,38.092
5125,6.117,6.271,6.358,6.164,6.591,5.912,37.413
5250,6.004,6.291,6.406,6.275,6.858,6.078,37.912
5375,6.073,6.25,6.304,6.104,6.803,5.885,37.419
5500,6.18,6.34,6.535,6.142,6.876,5.991,38.064
5625,5.475,6.278,6.342,6.211,6.753,5.96,37.019
5750,6.268,6.216,6.275,6.105,6.534,5.891,37.289
5875,6.165,6.254,6.334,6.322,6.432,5.903,37.41
6000,6.217,6.216,6.485,6.105,6.799,6.056,37.878
6125,6.302,6.236,6.526,6.154,6.866,6.096,38.18
6250,6.2,6.246,6.43,6.031,6.75,6.005,37.662
6375,6.238,6.236,6.25,6.183,6.925,6.027,37.859
6500,6.063,6.209,6.471,6.384,6.761,5.923,37.811
6625,6.117,6.252,6.364,6.172,6.713,5.906,37.524
6750,6.124,6.114,6.57,6.159,6.702,5.942,37.611
6875,6.236,6.131,6.367,6.284,6.771,5.905,37.694
7000,6.061,6.228,6.393,6.187,6.833,6.233,37.935
7125,6.246,6.077,6.483,6.223,6.612,6.188,37.829
7250,6.174,6.165,6.382,6.109,6.621,6.601,38.052
7375,6.136,6.044,6.32,6.154,6.699,5.949,37.302
7500,6.273,6.267,6.417,6.204,6.752,5.978,37.891
7625,6.121,6.099,6.217,6.182,6.684,5.934,37.237
