time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,5.273,5.19,5.227,5.218,5.205,5.476,31.589
125,5.072,5.143,5.284,5.072,5.434,5.166,31.171
250,5.231,5.352,5.356,5.091,5.198,5.214,31.442
375,5.269,5.181,5.291,5.213,5.17,5.359,31.483
500,5.13,5.145,5.23,5.205,5.243,5.29,31.243
625,5.34,5.223,5.106,5.135,5.322,5.142,31.268
750,5.256,5.105,5.33,5.273,5.289,5.326,31.579
875,5.383,5.39,5.247,5.236,5.264,5.194,31.714
1000,5.191,5.194,5.181,5.22,5.202,5.163,31.151
1125,5.128,5.102,5.174,5.376,5.26,5.305,31.345
1250,5.187,5.15,5.3,5.29,5.249,5.197,31.373
1375,5.189,5.308,5.298,5.222,5.229,5.173,31.419
1500,5.29,5.124,5.251,5.159,5.261,5.27,31.355
1625,5.448,5.16,5.18,5.138,5.276,5.189,31.391
1750,5.094,5.141,5.225,5.193,5.155,5.287,31.095
1875,5.201,5.152,5.291,5.123,5.444,5.132,31.343
2000,5.138,5.261,5.299,5.266,5.178,5.317,31.459
2125,5.407,5.377,5.209,5.251,5.257,5.198,31.699
2250,5.132,5.269,5.248,5.184,5.157,5.206,31.196
2375,5.223,5.086,5.208,5.142,5.186,5.31,31.155
2500,5.289,5.176,5.329,5.305,5.228,5.243,31.57
2625,5.225,5.236,5.113,5.071,5.255,5.127,31.027
2750,5.125,5.316,5.168,5.227,5.484,5.404,31.724
2875,5.113,5.312,5.27,5.298,5.18,5.238,31.411
3000,5.231,5.206,5.185,5.412,5.392,5.329,31.755
3125,5.354,5.137,5.259,5.257,5.245,5.266,31.518
3250,5.406,4.998,5.211,5.231,5.208,5.17,31.224
3375,5.111,5.278,5.051,5.195,5.268,5.229,31.132
3500,5.302,5.402,5.161,5.126,5.186,5.147,31.324
3625,5.057,5.174,5.485,5.248,5.191,5.364,31.519
3750,5.079,5.218,5.275,5.368,5.228,5.154,31.322
3875,5.247,5.233,5.316,5.263,5.192,5.312,31.563
4000,5.37,5.189,5.28,5.126,5.327,5.295,31.587
4125,5.352,5.114,5.284,5.171,5.303,5.388,31.612
4250,5.128,5.234,5.269,5.193,5.328,5.199,31.351
4375,5.157,5.155,5.143,5.309,5.394,5.281,31.439
4500,5.163,5.261,5.219,5.191,5.295,5.239,31.368
4625,5.127,5.164,5.157,5.238,5.191,5.27,31.147
4750,5.18,5.12,5.117,5.333,5.252,5.235,31.237
4875,5.237,4.992,5.178,5.163,5.362,5.308,31.24
5000,5.251,5.205,5.186,5.169,5.298,5.088,31.197
5125,5.087,5.183,5.262,5.272,5.326,5.319,31.449
5250,5.109,5.303,5.35,5.203,5.382,5.212,31.559
5375,5.125,5.103,5.162,5.242,5.323,5.225,31.18
5500,5.118,5.282,5.164,5.177,5.326,5.17,31.237
5625,5.264,5.126,5.13,5.09,5.308,5.445,31.363
5750,5.142,5.261,5.123,5.272,5.259,5.289,31.346
5875,5.285,5.208,5.128,5.258,5.272,5.246,31.397
6000,5.319,5.18,5.256,5.26,5.212,5.174,31.401
6125,5.195,5.132,5.159,5.182,5.199,5.213,31.08
6250,5.169,5.13,5.18,5.378,5.247,5.409,31.513
6375,5.071,5.054,5.167,5.097,5.345,5.202,30.936
6500,5.175,5.052,5.307,5.269,5.356,5.307,31.466
