time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.271,6.135,6.213,6.289,6.194,6.386,37.488
125,6.364,6.228,6.072,6.291,6.279,6.335,37.569
250,6.427,5.991,6.265,6.389,6.02,6.498,37.59
375,6.601,6.076,6.251,6.369,5.934,6.444,37.675
500,6.534,6.137,6.236,6.368,6.306,6.39,37.971
625,6.289,6.044,6.455,6.461,6.202,6.521,37.972
750,6.344,6.304,6.212,6.312,6.049,6.351,37.572
875,6.293,6.344,6.333,6.238,6.196,6.459,37.863
1000,6.497,6.3,6.246,6.214,6.183,6.479,37.919
1125,6.304,6.26,6.251,6.486,6.249,6.238,37.788
1250,6.439,6.094,6.16,6.342,6.069,6.476,37.58
1375,6.399,6.297,6.354,6.464,6.247,6.432,38.193
1500,6.252,6.204,6.195,6.542,6.218,6.347,37.758
1625,6.411,6.189,6.197,6.292,6.17,6.438,37.697
1750,6.25,6.004,6.262,6.287,5.998,6.476,37.277
1875,6.124,6.24,6.301,6.454,6.161,6.619,37.899
2000,6.259,6.191,6.181,6.238,6.511,6.38,37.76
2125,6.435,6.25,6.31,6.118,6.433,6.569,38.115
2250,6.339,5.98,6.154,6.092,6.216,6.545,37.326
2375,6.246,6.025,6.2,6.342,6.163,6.452,37.428
2500,6.411,6.189,6.219,6.317,5.892,6.621,37.649
2625,6.171,6.095,6.264,6.371,6.066,6.514,37.481
2750,6.396,6.147,6.428,6.228,6.096,6.31,37.605
2875,6.238,6.16,6.241,6.388,6.07,6.491,37.588
3000,6.446,6.014,6.338,6.368,6.081,6.561,37.808
3125,6.196,5.798,5.905,6.454,6.163,6.611,37.127
3250,6.411,6.152,6.151,6.3,6.055,6.564,37.633
3375,6.415,5.907,6.096,6.385,6.356,6.372,37.531
3500,6.282,6.03,6.202,6.407,6.189,6.649,37.759
3625,6.294,6.225,6.198,6.327,6.072,6.522,37.638
3750,6.299,6.024,6.464,6.28,6.199,6.362,37.628
3875,6.302,6.188,6.283,6.178,6.244,6.668,37.863
4000,6.315,6.267,6.423,6.265,6.063,6.798,38.131
4125,6.166,6.178,6.233,6.33,6.265,6.515,37.687
4250,6.239,5.985,6.221,6.452,6.145,6.499,37.541
4375,6.283,6.172,6.093,6.502,6.146,6.472,37.668
4500,6.285,6.067,6.369,6.196,6.191,6.554,37.662
4625,6.231,6.023,6.296,6.436,6.202,6.458,37.646
4750,6.269,6.066,6.343,6.162,6.412,6.688,37.94
4875,6.135,6.07,5.94,6.285,6.443,6.634,37.507
5000,6.321,5.929,6.293,6.356,6.058,6.596,37.553
5125,6.191,6.242,6.112,6.336,6.486,6.53,37.897
5250,6.0,6.117,6.244,6.307,6.18,6.515,37.363
5375,6.097,6.054,6.285,6.346,6.333,6.721,37.836
5500,6.424,5.853,6.148,6.337,6.359,6.589,37.71
5625,6.313,6.108,6.142,6.293,6.257,6.578,37.691
5750,6.12,6.023,6.287,6.383,6.243,6.616,37.672
5875,6.271,5.92,6.235,6.376,6.288,6.537,37.627
6000,6.245,6.055,6.35,6.307,6.276,6.531,37.764
6125,6.33,6.103,6.161,6.397,6.148,6.366,37.505
6250,6.373,6.034,6.348,6.38,6.372,6.515,38.022
6375,6.026,5.858,6.272,6.263,6.407,6.558,37.384
6500,6.366,5.915,6.07,6.298,6.265,6.731,37.645
6625,6.053,5.831,6.202,6.318,6.263,6.485,37.152
6750,6.278,6.245,6.305,6.262,6.388,6.665,38.143
6875,6.232,6.029,6.241,6.391,6.198,6.427,37.518
7000,6.305,5.8,6.212,6.375,6.409,6.558,37.659
7125,6.139,6.026,6.265,6.368,6.326,6.753,37.877
7250,6.188,6.101,6.442,6.257,6.331,6.381,37.7
7375,6.037,6.057,6.29,6.15,6.363,6.416,37.313
7500,6.284,5.909,6.236,6.267,6.234,6.477,37.407
7625,6.172,5.999,6.123,6.226,6.206,6.585,37.311
7750,6.13,5.921,6.294,6.217,6.177,6.503,37.242
7875,6.092,6.086,6.085,6.217,6.102,6.628,37.21
8000,6.217,5.928,6.446,6.251,6.373,6.742,37.957
8125,6.191,5.893,6.266,6.368,6.378,6.541,37.637
8250,6.188,5.925,6.215,6.189,6.278,6.884,37.679
8375,6.127,6.106,6.25,6.27,6.253,6.549,37.555
8500,6.021,5.792,6.179,6.367,6.439,6.566,37.364
8625,6.232,5.977,6.268,6.322,6.299,6.693,37.791
8750,6.109,5.765,6.273,6.315,6.468,6.723,37.653
8875,5.961,5.591,6.139,6.449,6.205,6.65,36.995
9000,6.05,5.965,6.131,6.376,6.317,6.444,37.283
9125,6.21,5.99,6.176,6.361,6.161,6.496,37.394
9250,6.092,5.888,6.178,6.272,6.364,6.77,37.564
9375,6.223,5.984,5.971,6.308,6.432,6.643,37.561
9500,5.963,5.696,6.196,6.274,6.306,6.496,36.931
9625,6.016,5.575,6.08,6.359,6.237,6.709,36.976
9750,5.962,5.608,6.288,6.443,6.36,6.689,37.35
9875,5.974,5.924,6.221,6.371,6.384,6.698,37.572
10000,6.21,5.837,6.117,6.192,6.609,6.741,37.706
10125,5.916,5.778,6.163,6.303,6.393,6.481,37.034
10250,5.989,5.914,6.05,6.412,6.474,6.681,37.52
10375,5.83,5.832,6.284,6.289,6.526,6.549,37.31
10500,6.176,5.872,6.271,6.151,6.339,6.679,37.488
10625,6.053,5.705,6.174,6.339,6.434,6.459,37.164
10750,5.969,5.779,6.025,6.214,6.391,6.719,37.097
10875,5.942,5.922,6.098,6.303,6.351,6.997,37.613
11000,6.123,5.957,6.147,6.406,6.362,6.763,37.758
11125,5.885,5.783,6.261,6.286,6.526,6.487,37.228
11250,5.728,5.766,6.246,6.141,6.468,6.622,36.971
11375,5.907,5.756,6.19,6.184,6.503,6.719,37.259
11500,5.945,5.75,6.321,6.214,6.462,6.734,37.426
11625,5.929,5.623,6.205,6.204,6.394,6.681,37.036
11750,5.954,5.775,6.262,6.548,6.393,6.881,37.813
11875,6.035,5.68,6.115,6.341,6.506,6.766,37.443
12000,6.089,5.786,6.197,6.139,6.463,7.004,37.678
12125,5.998,5.75,6.006,6.263,6.833,6.782,37.632
12250,6.054,5.869,6.101,6.467,6.332,6.796,37.619
12375,5.92,5.801,6.113,6.168,6.474,6.646,37.122
12500,5.954,5.599,5.99,6.156,6.484,6.589,36.772
12625,6.017,5.604,6.35,6.333,6.434,6.955,37.693
12750,5.747,5.895,6.36,6.389,6.749,6.585,37.725
12875,5.745,5.692,6.111,6.293,6.419,6.724,36.984
13000,6.013,5.731,6.027,6.414,6.489,6.855,37.529
13125,6.111,5.705,6.409,6.321,6.488,6.917,37.951
13250,5.843,5.878,6.261,6.288,6.461,6.864,37.595
13375,6.056,5.792,6.131,6.063,6.7,6.593,37.335
13500,5.795,5.881,6.178,6.311,6.48,6.799,37.444
13625,5.915,5.586,5.999,6.174,6.636,6.751,37.061
13750,5.84,5.528,6.209,6.314,6.576,6.65,37.117
13875,6.086,5.589,6.062,6.18,6.561,6.825,37.303
14000,5.886,5.702,6.318,6.286,6.502,6.926,37.62
14125,5.887,5.589,6.232,6.546,6.592,6.669,37.515
14250,5.818,5.921,5.96,6.289,6.699,6.962,37.649
14375,5.693,5.721,5.975,6.273,6.596,6.703,36.961
14500,5.825,5.745,6.006,6.276,6.646,6.752,37.25
14625,5.672,5.537,6.039,6.178,6.708,6.729,36.863
14750,5.866,5.641,6.245,6.161,6.816,6.83,37.559
14875,5.894,5.672,6.199,6.393,6.81,6.82,37.788
15000,5.864,5.694,6.244,6.275,6.595,6.942,37.614
15125,5.77,5.675,6.069,6.258,6.705,6.807,37.284
15250,5.598,5.687,6.158,6.102,6.507,6.945,36.997
15375,5.821,5.52,6.01,6.456,6.678,6.872,37.357
15500,5.787,5.562,6.21,6.293,6.6,6.941,37.393
15625,5.821,5.604,6.055,6.34,6.529,6.917,37.266
15750,5.835,5.597,6.169,6.055,6.718,6.881,37.255
15875,5.84,5.488,6.022,6.159,6.658,6.794,36.961
16000,5.499,5.663,6.109,6.064,6.545,6.779,36.659
16125,5.544,5.651,5.892,6.186,6.633,6.757,36.663
16250,5.942,5.631,6.2,6.394,6.62,6.758,37.545
16375,5.66,5.517,6.233,6.215,6.618,6.867,37.11
16500,5.778,5.674,6.213,6.159,6.548,6.94,37.312
16625,5.744,5.553,6.081,6.278,6.527,6.866,37.049
16750,5.763,5.556,6.267,6.234,6.628,6.877,37.325
16875,5.567,5.645,6.12,6.385,6.673,7.028,37.418
17000,5.751,5.591,5.964,6.235,6.692,6.986,37.219
17125,5.567,5.632,6.094,6.148,6.827,6.849,37.117
17250,5.823,5.524,6.067,6.292,6.636,7.033,37.375
17375,5.64,5.485,6.146,6.224,6.606,6.859,36.96
17500,5.609,5.601,6.007,6.257,6.746,7.075,37.295
17625,5.535,5.529,6.407,6.322,6.628,6.989,37.41
17750,5.687,5.475,5.993,6.286,6.57,6.856,36.867
17875,5.647,5.35,6.039,6.174,6.746,6.872,36.828
18000,5.898,5.571,6.345,6.209,6.7,7.029,37.752
18125,5.727,5.439,6.051,6.31,6.717,6.763,37.007
18250,5.797,5.544,6.06,6.066,6.566,7.0,37.033
18375,5.602,5.701,5.953,6.286,6.729,7.04,37.311
18500,5.711,5.564,6.194,6.283,6.642,6.858,37.252
18625,5.769,5.362,6.077,6.32,6.756,6.971,37.255
18750,5.639,5.517,6.12,6.179,6.666,7.084,37.205
18875,5.343,5.548,6.209,6.207,6.812,7.07,37.189
19000,5.609,5.429,6.015,6.254,6.766,6.872,36.945
19125,5.515,4.983,6.282,6.328,6.673,6.951,36.732
19250,5.78,5.337,6.167,6.09,6.788,7.075,37.237
19375,5.715,5.56,6.37,6.269,6.785,6.851,37.55
19500,5.586,5.321,6.158,6.165,6.649,7.122,37.001
19625,5.593,5.412,6.149,6.232,6.401,7.036,36.823
19750,5.673,5.399,6.088,6.217,6.684,7.149,37.21
19875,5.562,5.254,6.013,6.083,6.694,7.007,36.613
20000,5.487,5.281,6.09,6.346,6.864,6.983,37.051
20125,5.648,5.349,6.113,6.162,6.729,7.011,37.012
20250,5.476,5.262,6.356,6.225,6.716,7.226,37.261
20375,5.348,5.302,6.148,6.355,6.774,7.013,36.94
20500,5.696,5.26,6.177,6.178,6.702,7.042,37.055
20625,5.612,5.204,6.033,6.394,6.662,6.916,36.821
20750,5.454,5.385,6.198,6.249,6.693,6.916,36.895
20875,5.578,5.38,6.278,6.193,6.638,6.953,37.02
21000,5.594,5.466,5.929,6.249,6.897,7.221,37.356
21125,5.561,5.228,6.18,6.28,6.718,6.995,36.962
21250,5.513,5.298,6.048,6.22,6.885,7.001,36.965
21375,5.379,5.295,5.957,5.987,6.737,7.013,36.368
21500,5.473,5.313,6.043,6.135,6.867,7.177,37.008
21625,5.455,5.429,6.076,6.294,6.651,7.188,37.093
21750,5.455,5.2,6.255,6.301,6.786,6.987,36.984
21875,5.486,5.186,5.988,6.371,6.84,6.972,36.843
22000,5.496,5.451,6.348,6.108,6.902,6.934,37.239
22125,5.25,5.396,6.279,6.393,6.724,7.203,37.245
22250,5.513,5.332,6.2,6.31,6.764,7.107,37.226
22375,5.514,5.238,6.235,6.113,6.656,7.111,36.867
22500,5.625,5.4,6.192,6.113,6.969,7.182,37.481
22625,5.505,5.215,6.385,6.266,6.765,7.055,37.191
22750,5.453,5.046,5.999,6.032,6.768,7.21,36.508
22875,5.368,5.155,6.068,6.195,6.836,7.141,36.763
23000,5.249,5.486,6.29,6.212,7.007,7.156,37.4
23125,5.494,5.253,6.091,6.316,6.931,7.213,37.298
23250,5.46,4.985,5.968,6.197,6.885,7.226,36.721
23375,5.334,5.214,6.332,6.27,6.881,7.126,37.157
23500,5.197,5.225,6.172,6.219,6.927,7.157,36.897
23625,5.283,5.155,6.172,6.237,6.678,7.356,36.881
23750,5.408,5.331,6.118,6.041,6.811,7.175,36.884
23875,5.267,5.227,6.317,6.256,6.773,7.152,36.992
24000,5.532,5.251,5.995,6.277,6.84,7.052,36.947
