time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.363,6.264,6.259,6.149,6.341,6.327,37.703
125,6.544,6.264,6.305,6.329,6.076,6.386,37.904
250,6.519,6.25,6.161,6.328,6.104,6.264,37.626
375,6.474,6.22,6.159,6.317,6.108,6.236,37.514
500,6.392,6.272,6.183,6.073,6.232,6.452,37.604
625,6.413,6.187,6.127,6.383,6.301,6.08,37.491
750,6.316,6.13,6.369,6.372,6.406,6.27,37.863
875,6.423,6.342,6.13,6.437,6.207,6.256,37.795
1000,6.315,6.2,6.403,6.234,6.591,6.185,37.928
1125,6.507,6.249,6.172,6.523,6.215,6.382,38.048
1250,6.347,6.365,6.292,6.535,6.41,6.337,38.286
1375,6.315,6.215,6.296,6.409,6.308,6.271,37.814
1500,6.233,6.248,6.26,6.319,6.349,6.431,37.84
1625,6.429,6.265,6.198,6.209,6.487,6.229,37.817
1750,6.293,6.144,6.28,6.237,6.158,6.652,37.764
1875,6.234,6.189,6.365,6.329,6.285,6.234,37.636
2000,6.427,6.276,6.024,6.381,6.215,6.356,37.679
2125,6.506,6.293,6.429,6.327,6.284,6.454,38.293
2250,6.473,6.108,6.386,6.227,6.362,6.317,37.873
2375,6.225,6.055,6.463,6.34,6.237,6.333,37.653
2500,6.524,6.03,6.117,6.23,6.411,6.425,37.737
2625,6.509,5.903,6.47,6.4,6.274,6.26,37.816
2750,6.302,6.173,6.247,6.312,6.214,6.106,37.354
2875,6.484,6.004,6.417,6.236,6.389,6.219,37.749
3000,6.515,6.277,6.406,6.147,6.421,6.412,38.178
3125,6.142,6.019,6.269,6.317,6.299,6.416,37.462
3250,6.294,6.052,6.309,6.475,6.351,6.415,37.896
3375,6.256,6.146,6.296,6.233,6.217,6.283,37.431
3500,6.263,6.141,6.337,6.263,6.374,6.357,37.735
3625,6.365,5.95,6.159,6.269,6.408,6.334,37.485
3750,6.37,6.069,6.248,6.359,6.346,6.385,37.777
3875,6.342,6.108,6.484,6.225,6.245,6.359,37.763
4000,6.391,6.151,6.307,6.315,6.168,6.367,37.699
4125,6.249,6.058,6.223,6.304,6.239,6.312,37.385
4250,6.409,6.147,6.408,6.221,6.361,6.336,37.882
4375,6.23,6.144,6.351,6.071,6.265,6.135,37.196
4500,6.283,6.061,6.286,6.316,6.38,6.271,37.597
4625,6.5,6.091,6.361,6.385,6.501,6.33,38.168
4750,6.377,6.046,6.341,6.151,6.394,6.322,37.631
4875,6.282,6.05,6.26,6.359,6.402,6.328,37.681
5000,6.305,5.955,6.148,6.162,6.313,6.408,37.291
5125,6.156,6.027,6.446,6.155,6.253,6.263,37.3
5250,6.325,6.135,6.213,6.213,6.468,6.334,37.688
5375,6.394,6.144,6.362,6.328,6.144,6.24,37.612
5500,6.297,5.948,6.204,6.341,6.351,6.434,37.575
5625,6.14,6.16,6.347,6.245,6.502,6.71,38.104
5750,6.126,5.944,6.258,6.256,6.469,6.388,37.441
5875,6.389,5.983,6.325,6.251,6.396,6.426,37.77
6000,6.288,6.113,6.296,6.335,6.423,6.367,37.822
6125,6.301,6.056,6.462,6.326,6.352,6.2,37.697
6250,6.26,5.973,6.382,6.226,6.272,6.283,37.396
6375,6.215,6.022,6.237,6.219,6.359,6.428,37.48
6500,6.179,5.932,6.12,6.332,6.25,6.358,37.171
6625,6.301,6.031,6.179,6.334,6.522,6.378,37.745
6750,6.294,6.08,6.333,6.247,6.443,6.607,38.004
6875,6.065,6.013,6.462,6.016,6.612,6.36,37.528
7000,6.133,6.031,6.424,6.186,6.303,6.459,37.536
7125,6.321,6.052,6.373,6.214,6.434,6.479,37.873
7250,6.312,6.186,5.999,6.195,6.287,6.376,37.355
7375,6.275,5.965,6.303,6.312,6.48,6.604,37.939
7500,6.161,6.096,6.301,6.383,6.341,6.524,37.806
7625,6.379,6.079,6.293,6.354,6.38,6.546,38.031
7750,6.143,5.859,6.2,6.38,6.365,6.382,37.329
7875,6.294,6.05,6.408,6.214,6.528,6.491,37.985
8000,6.307,5.995,6.21,6.366,6.523,6.577,37.978
8125,6.146,6.045,6.288,6.33,6.371,6.506,37.686
8250,6.204,5.966,6.237,6.43,6.474,6.451,37.762
8375,6.177,5.953,6.327,6.284,6.252,6.248,37.241
8500,6.31,5.905,6.153,6.063,6.594,6.347,37.372
8625,6.384,5.739,6.186,6.265,6.426,6.446,37.446
8750,6.02,5.838,6.317,6.122,6.472,6.56,37.329
8875,6.188,5.854,6.173,6.371,6.552,6.567,37.705
9000,6.055,5.993,6.279,5.976,6.588,6.502,37.393
9125,6.206,6.108,6.194,6.127,6.526,6.394,37.555
9250,6.23,5.878,6.241,6.442,6.326,6.416,37.533
9375,6.211,6.07,6.265,6.261,6.507,6.518,37.832
9500,6.247,5.979,6.187,6.42,6.311,6.319,37.463
9625,5.97,5.939,6.238,6.243,6.521,6.447,37.358
9750,6.107,6.058,6.149,6.039,6.299,6.61,37.262
9875,6.095,5.98,6.217,6.306,6.479,6.351,37.428
10000,6.031,5.847,6.219,6.292,6.501,6.523,37.413
10125,6.036,6.104,6.308,6.32,6.597,6.199,37.564
10250,6.093,5.758,6.294,6.324,6.44,6.424,37.333
10375,6.084,5.786,6.195,6.269,6.328,6.56,37.222
10500,6.234,5.953,6.287,6.072,6.349,6.395,37.29
10625,6.23,5.937,6.335,6.313,6.419,6.424,37.658
10750,6.086,5.842,6.218,6.292,6.56,6.444,37.442
10875,6.186,5.979,6.334,6.355,6.907,6.496,38.257
11000,6.113,6.027,6.15,6.27,6.584,6.599,37.743
11125,6.284,5.894,6.391,6.305,6.455,6.468,37.797
11250,6.076,5.678,6.296,6.219,6.317,6.568,37.154
11375,6.042,5.905,6.348,6.251,6.5,6.318,37.364
11500,5.951,5.914,6.358,6.309,6.553,6.559,37.644
