time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.157,6.286,6.185,6.439,6.265,6.551,37.883
125,6.277,6.439,6.123,6.181,6.059,6.6,37.679
250,6.199,6.593,6.342,6.357,5.955,6.536,37.982
375,6.219,6.498,6.055,6.256,6.286,6.372,37.686
500,6.193,6.506,6.35,6.46,6.111,6.437,38.057
625,6.372,6.391,6.296,6.316,6.046,6.658,38.079
750,6.193,6.357,6.315,6.314,5.933,6.582,37.694
875,6.132,6.342,6.172,6.352,6.099,6.505,37.602
1000,6.225,6.418,6.101,6.325,6.12,6.584,37.773
1125,6.257,6.298,6.293,6.533,6.034,6.566,37.981
1250,6.234,6.359,6.181,6.271,6.088,6.508,37.641
1375,6.001,6.425,6.316,6.263,6.123,6.502,37.63
1500,6.074,6.281,6.192,6.419,6.166,6.397,37.529
1625,6.133,6.316,6.115,6.383,6.169,6.467,37.583
1750,6.195,6.431,6.127,6.414,6.061,6.494,37.722
1875,6.208,6.346,6.305,6.367,6.15,6.378,37.754
2000,6.029,6.293,6.23,6.236,6.186,6.638,37.612
2125,6.238,6.338,6.115,6.291,6.102,6.452,37.536
2250,6.28,6.421,6.056,6.482,6.085,6.36,37.684
2375,6.265,6.417,5.995,6.232,6.32,6.44,37.669
2500,6.041,6.432,6.175,6.437,6.11,6.546,37.741
2625,6.233,6.29,6.152,6.38,6.018,6.423,37.496
2750,6.245,6.198,6.119,6.453,6.315,6.471,37.801
2875,6.229,6.339,6.113,6.139,6.23,6.565,37.615
3000,6.113,6.357,6.245,6.331,6.186,6.464,37.696
3125,6.065,6.379,6.174,6.323,6.256,6.482,37.679
3250,6.274,6.466,6.136,6.373,6.193,6.612,38.054
3375,6.173,6.348,6.192,6.181,6.083,6.499,37.476
3500,6.122,6.351,6.291,6.342,5.981,6.514,37.601
3625,6.217,6.29,6.055,6.331,6.112,6.59,37.595
3750,6.137,6.107,6.207,6.305,6.295,6.489,37.54
3875,6.18,6.135,6.088,6.305,6.077,6.521,37.306
4000,6.058,6.286,6.066,6.382,6.108,6.693,37.593
4125,5.956,6.243,6.29,6.318,6.05,6.552,37.409
4250,6.23,6.14,6.364,6.325,6.006,6.431,37.496
4375,6.136,6.421,6.33,6.045,6.044,6.535,37.511
4500,6.157,6.397,6.181,6.264,6.193,6.606,37.798
4625,6.181,6.2,6.225,6.385,6.371,6.418,37.78
4750,6.056,6.233,6.323,6.29,6.173,6.603,37.678
4875,6.203,6.159,6.167,6.371,6.22,6.557,37.677
