time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.458,6.266,6.081,6.397,5.915,6.914,38.031
125,6.566,6.073,6.148,6.516,5.779,6.893,37.975
250,6.462,6.178,6.211,6.492,5.787,6.72,37.85
375,6.406,6.146,5.9,6.547,5.782,6.769,37.55
500,6.443,5.866,6.059,6.552,5.71,6.874,37.504
625,6.257,6.012,6.332,6.444,5.817,6.83,37.692
750,6.393,6.111,6.248,6.436,5.717,6.807,37.712
875,6.387,6.417,6.189,6.437,5.689,6.797,37.916
1000,6.543,6.243,6.211,6.436,5.683,6.742,37.858
1125,6.515,6.181,6.114,6.508,5.915,6.768,38.001
1250,6.475,5.989,6.091,6.382,5.954,6.879,37.77
1375,6.435,6.03,6.194,6.426,5.771,6.907,37.763
1500,6.335,6.293,6.22,6.525,5.791,6.734,37.898
1625,6.426,6.024,6.177,6.405,6.056,7.081,38.169
1750,6.459,5.969,6.306,6.396,5.834,6.805,37.769
1875,6.468,6.207,6.179,6.492,5.843,6.952,38.141
2000,6.537,6.069,6.084,6.475,5.846,6.649,37.66
2125,6.501,6.125,6.112,6.324,5.715,6.798,37.575
2250,6.366,6.177,6.027,6.562,5.778,6.754,37.664
2375,6.305,6.265,6.177,6.672,5.556,6.8,37.775
2500,6.576,6.034,6.037,6.329,5.529,6.993,37.498
2625,6.314,6.112,6.142,6.458,5.735,6.648,37.409
2750,6.376,6.167,6.191,6.462,5.922,6.791,37.909
2875,6.263,6.197,6.092,6.254,5.686,7.011,37.503
3000,6.233,5.965,6.033,6.442,5.82,6.914,37.407
3125,6.411,6.187,5.961,6.466,5.94,6.843,37.808
3250,6.253,6.047,5.981,6.514,5.757,6.876,37.428
3375,6.369,6.084,6.169,6.406,5.778,6.781,37.587
3500,6.402,5.987,6.042,6.239,5.92,6.842,37.432
3625,6.438,6.057,6.191,6.315,5.795,6.865,37.661
3750,6.406,6.259,6.205,6.367,5.9,6.747,37.884
3875,6.381,6.154,6.121,6.626,5.926,6.758,37.966
4000,6.299,6.061,6.065,6.302,5.867,6.991,37.585
