time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.282,6.297,6.406,6.122,6.761,5.839,37.707
125,6.426,6.314,6.243,6.107,6.778,5.729,37.597
250,6.342,6.044,6.469,6.045,6.85,5.713,37.463
375,6.52,6.115,6.444,6.109,7.012,5.861,38.061
500,6.4,6.247,6.371,6.222,6.821,5.573,37.634
625,6.368,6.295,6.369,6.222,6.953,5.738,37.945
750,6.135,6.128,6.64,6.178,6.883,5.789,37.753
875,6.61,6.401,6.477,6.173,6.862,5.891,38.414
1000,6.332,6.161,6.584,6.097,6.721,5.755,37.65
1125,6.624,6.382,6.49,6.035,6.791,5.644,37.966
1250,6.547,6.104,6.364,5.982,6.668,5.858,37.523
1375,6.025,6.256,6.703,6.16,6.972,5.827,37.943
1500,6.302,6.451,6.492,6.041,7.036,5.854,38.176
1625,6.323,6.176,6.394,6.124,6.771,5.74,37.528
1750,6.292,6.196,6.527,6.095,6.767,5.874,37.751
1875,6.443,6.155,6.481,6.112,6.924,5.799,37.914
2000,6.394,6.089,6.49,6.234,6.748,5.677,37.632
2125,6.43,6.126,6.404,6.101,6.797,5.889,37.747
2250,6.428,6.346,6.701,6.123,7.0,5.685,38.283
2375,6.408,6.216,6.457,6.061,6.973,5.569,37.684
2500,6.533,6.118,6.306,6.097,6.802,5.793,37.649
2625,6.368,6.217,6.574,6.187,6.81,5.799,37.955
2750,6.346,6.322,6.513,5.838,6.905,5.9,37.824
2875,6.544,6.148,6.626,6.057,6.877,5.893,38.145
3000,6.235,6.187,6.472,6.156,6.884,5.745,37.679
3125,6.408,6.066,6.316,6.061,6.654,5.958,37.463
3250,6.432,6.276,6.659,6.225,6.794,5.835,38.221
3375,6.285,6.134,7.091,5.913,6.867,5.709,37.999
3500,6.349,6.146,6.621,6.144,6.86,5.755,37.875
3625,6.296,6.229,6.296,6.095,6.808,5.756,37.48
3750,6.325,6.306,6.344,6.19,7.34,5.692,38.197
3875,6.256,5.987,6.593,6.249,6.745,5.76,37.59
4000,6.345,6.114,6.588,5.924,6.719,5.765,37.455
4125,6.231,6.191,6.363,6.076,6.884,5.694,37.439
4250,6.322,6.18,6.539,6.104,6.901,5.823,37.869
4375,6.283,6.12,6.599,6.191,7.053,5.797,38.043
4500,6.472,6.156,6.384,6.071,6.906,5.744,37.733
4625,6.128,6.112,6.422,6.215,7.065,5.846,37.788
4750,6.183,6.208,6.356,6.055,7.006,5.89,37.698
4875,6.381,6.053,6.479,6.097,6.754,5.8,37.564
5000,6.289,6.907,6.522,6.166,6.995,5.975,38.854
5125,6.379,6.172,6.373,6.041,6.998,5.742,37.705
5250,6.132,6.053,6.42,6.252,6.881,5.871,37.609
5375,6.258,6.178,6.336,6.088,6.752,5.792,37.404
5500,6.258,6.058,6.43,6.141,6.941,5.825,37.653
5625,6.396,6.035,6.398,6.122,6.905,5.874,37.73
5750,6.263,6.333,6.567,6.114,6.875,5.577,37.729
5875,6.109,6.004,6.429,5.904,6.78,5.941,37.167
6000,6.14,6.205,6.44,6.173,6.796,5.813,37.567
6125,6.308,6.02,6.274,6.196,6.919,5.957,37.674
6250,6.366,5.948,6.685,6.061,6.881,5.789,37.73
6375,6.26,6.134,6.351,6.158,6.911,5.886,37.7
6500,6.161,6.198,6.268,6.004,7.106,5.797,37.534
6625,6.218,6.115,6.508,6.112,6.931,5.936,37.82
6750,6.134,6.102,6.476,6.118,7.0,5.792,37.622
6875,6.249,6.279,6.611,6.007,6.886,5.829,37.861
7000,6.241,6.173,6.277,6.231,6.966,5.735,37.623
7125,6.103,6.124,6.536,6.054,6.726,5.779,37.322
7250,6.147,6.1,6.44,6.094,6.932,5.71,37.423
7375,6.28,6.09,6.48,5.932,7.112,5.728,37.622
7500,6.06,6.176,6.673,5.981,6.733,5.968,37.591
7625,6.156,6.16,6.42,5.994,7.025,5.799,37.554
7750,6.241,6.208,6.724,6.143,6.885,5.81,38.011
7875,6.284,6.002,6.425,6.119,7.037,5.779,37.646
8000,6.242,6.172,6.664,6.212,6.91,5.775,37.975
8125,6.239,6.094,6.318,6.008,7.109,5.834,37.602
8250,6.318,6.137,6.623,6.202,7.022,5.864,38.166
8375,6.168,6.11,6.389,5.922,7.099,5.931,37.619
