time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
12625,5.963,5.895,6.43,6.287,6.142,6.647,37.364
12750,5.886,6.005,6.159,6.279,6.275,6.61,37.214
12875,5.934,6.093,6.385,6.488,6.228,6.852,37.98
13000,6.011,6.145,6.285,6.232,6.131,6.68,37.484
13125,6.007,6.107,6.094,6.382,6.253,6.789,37.632
13250,6.154,6.065,6.019,6.289,6.374,6.872,37.773
13375,5.83,5.975,6.221,6.487,6.306,6.706,37.525
13500,5.988,5.937,5.849,6.415,6.092,6.82,37.101
13625,6.12,6.052,6.141,5.964,6.19,6.692,37.159
13750,5.867,5.925,6.156,6.451,6.241,6.58,37.22
13875,5.977,6.241,6.242,6.285,6.282,6.636,37.663
14000,5.805,6.137,6.005,6.352,6.209,6.467,36.975
14125,5.928,6.094,6.121,6.244,6.185,6.59,37.162
14250,5.814,5.98,6.337,6.038,6.442,6.563,37.174
14375,5.862,6.182,6.013,6.277,6.24,6.7,37.274
14500,6.108,5.906,6.334,6.39,6.26,6.701,37.699
14625,5.807,5.937,6.293,6.315,6.258,6.698,37.308
14750,5.855,6.075,6.153,6.227,6.266,6.641,37.217
14875,5.87,5.989,5.984,6.374,6.379,6.724,37.32
15000,5.898,5.8,6.079,6.37,6.381,6.466,36.994
15125,5.909,6.052,6.187,6.391,6.391,6.748,37.678
15250,6.008,5.908,6.109,6.292,6.331,6.743,37.391
15375,5.712,5.753,6.199,6.357,6.511,6.754,37.286
15500,5.759,6.023,6.26,6.269,6.275,6.489,37.075
15625,5.789,6.128,6.33,6.229,6.451,6.82,37.747
15750,5.951,6.019,6.22,6.258,6.313,6.779,37.54
15875,5.847,5.862,6.109,6.283,6.276,6.758,37.135
16000,5.809,6.116,6.06,6.185,6.139,6.54,36.849
16125,5.95,5.997,6.252,6.339,6.269,6.699,37.506
16250,5.893,6.003,6.205,6.263,6.261,6.71,37.335
16375,5.782,6.052,6.254,6.367,6.116,6.672,37.243
16500,5.842,6.369,5.97,6.289,6.232,6.646,37.348
16625,5.686,5.836,6.175,6.225,6.282,6.562,36.766
16750,5.835,5.921,6.167,6.396,6.145,6.778,37.242
16875,5.825,6.212,6.058,6.209,6.28,6.709,37.293
17000,5.691,6.098,6.031,6.585,6.103,6.438,36.946
17125,5.983,5.942,6.208,6.525,6.473,6.538,37.669
17250,5.926,6.102,6.117,5.949,6.167,6.659,36.92
17375,5.835,6.035,6.171,6.154,6.512,6.741,37.448
17500,5.705,6.046,6.102,6.293,6.191,6.715,37.052
17625,5.871,6.004,6.117,6.079,6.178,6.65,36.899
17750,5.946,5.771,6.05,6.246,6.256,6.497,36.766
17875,6.001,5.851,6.113,6.335,6.209,6.73,37.239
18000,5.846,6.035,6.394,6.479,6.225,6.61,37.589
18125,5.667,6.023,5.908,6.184,6.316,6.978,37.076
18250,5.87,6.066,6.188,6.193,6.373,6.864,37.554
18375,5.709,5.936,6.223,6.375,6.356,6.729,37.328
18500,5.888,6.054,6.083,6.283,6.398,6.639,37.345
18625,5.838,5.923,6.157,6.25,6.423,6.698,37.289
18750,5.871,6.095,6.084,6.29,6.355,6.752,37.447
18875,5.549,5.916,6.031,6.231,6.3,6.76,36.787
19000,5.827,5.835,6.169,6.325,6.1,6.934,37.19
19125,5.544,5.867,5.968,6.209,6.286,7.017,36.891
19250,6.094,5.942,6.146,6.254,6.219,6.793,37.448
19375,5.526,5.654,6.008,6.194,6.431,6.663,36.476
19500,5.909,5.91,6.178,6.322,6.302,6.571,37.192
19625,5.867,5.862,6.255,6.289,6.355,6.428,37.056
19750,5.808,6.0,6.237,6.243,6.252,6.858,37.398
19875,5.851,6.01,6.136,6.063,6.32,6.715,37.095
20000,5.725,5.804,6.197,6.35,6.343,6.907,37.326
20125,5.709,5.892,6.149,6.358,6.371,6.51,36.989
20250,5.857,5.709,6.173,6.398,6.44,6.781,37.358
20375,5.84,5.925,6.104,6.265,6.297,6.689,37.12
20500,5.66,5.792,6.147,6.379,6.374,6.862,37.214
20625,5.793,5.899,6.084,6.354,6.288,6.717,37.135
20750,5.893,5.828,6.132,6.428,6.305,6.713,37.299
20875,5.693,5.881,6.116,6.282,6.462,6.89,37.324
21000,5.889,5.895,6.048,6.172,6.342,6.894,37.24
21125,5.676,5.906,6.208,6.453,6.286,6.904,37.433
21250,5.885,5.773,6.166,6.287,6.315,6.802,37.228
