time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.315,6.178,6.109,6.615,5.711,6.916,37.844
125,6.422,6.295,6.07,6.606,5.698,7.066,38.157
250,6.311,6.353,6.03,6.437,5.582,6.982,37.695
375,6.137,6.243,6.069,6.389,5.694,6.93,37.462
500,6.205,6.218,6.032,6.406,5.648,6.983,37.492
625,6.296,6.295,6.031,6.645,5.681,7.029,37.977
750,6.19,6.299,6.048,6.527,5.633,7.125,37.822
875,6.262,6.261,6.09,6.389,5.592,6.864,37.458
1000,6.171,6.26,6.161,6.378,5.575,7.15,37.695
1125,6.251,6.348,6.197,6.484,5.714,6.983,37.977
1250,6.315,6.066,6.232,6.333,5.778,6.885,37.609
1375,6.172,6.209,6.156,6.474,5.706,6.982,37.699
1500,6.068,6.371,6.103,6.529,5.737,6.796,37.604
1625,6.232,6.427,6.146,6.544,5.705,6.815,37.869
1750,6.365,6.224,6.125,6.837,5.62,7.096,38.267
1875,6.321,6.468,6.034,6.436,5.897,6.941,38.097
2000,6.285,6.323,5.886,6.434,5.628,6.972,37.528
2125,6.331,6.087,6.014,6.398,5.744,6.972,37.546
2250,6.132,6.149,5.978,6.56,5.676,7.137,37.632
2375,6.316,6.272,6.04,6.701,5.694,6.976,37.999
2500,6.356,6.298,6.146,6.571,5.739,7.04,38.15
2625,6.315,6.307,5.955,6.449,5.64,6.905,37.571
2750,6.284,6.046,6.094,6.649,5.782,6.918,37.773
2875,6.091,6.028,6.155,6.495,5.738,6.924,37.431
3000,6.258,6.199,5.954,6.451,5.683,6.8,37.345
3125,6.373,6.259,6.021,6.507,5.75,6.922,37.832
3250,6.376,6.229,5.901,6.397,5.702,7.057,37.662
3375,6.116,6.259,6.189,6.612,5.821,6.894,37.891
3500,6.367,6.154,6.183,6.482,5.67,6.89,37.746
3625,6.177,6.254,5.923,6.51,5.711,7.01,37.585
3750,6.289,6.342,6.078,6.403,5.582,7.047,37.741
3875,6.147,6.106,5.807,6.585,5.809,6.977,37.431
4000,6.308,6.136,6.165,6.466,5.835,6.831,37.741
4125,6.167,6.189,6.021,6.567,5.785,7.061,37.79
4250,6.338,6.128,6.087,6.492,5.865,6.916,37.826
4375,6.078,6.346,6.056,6.706,5.686,6.933,37.805
4500,6.034,6.267,6.108,6.57,5.622,6.7,37.301
4625,6.246,6.385,6.114,6.499,5.767,6.951,37.962
4750,6.057,6.053,6.038,6.399,5.812,6.91,37.269
4875,6.275,6.149,6.093,6.392,5.498,6.76,37.167
5000,6.312,6.286,6.055,6.569,5.771,6.857,37.85
5125,6.321,6.126,6.076,6.467,5.759,7.015,37.764
5250,6.143,6.334,6.041,6.636,5.791,6.811,37.756
5375,6.242,6.187,6.188,6.499,5.689,6.874,37.679
5500,6.219,6.106,5.963,6.703,6.007,6.928,37.926
5625,6.128,6.13,6.014,6.331,5.663,7.195,37.461
5750,6.169,6.224,6.224,6.279,5.804,7.141,37.841
5875,6.159,6.079,6.158,6.567,5.842,7.025,37.83
6000,6.081,6.142,6.348,6.641,5.774,7.234,38.22
6125,6.056,6.152,5.927,6.614,5.788,6.85,37.387
6250,6.087,6.242,5.898,6.705,5.813,6.963,37.708
6375,6.271,6.073,6.055,6.639,5.858,7.032,37.928
6500,6.311,5.986,6.059,6.511,5.859,7.095,37.821
6625,6.198,6.048,6.2,6.51,5.824,7.071,37.851
6750,6.119,5.996,5.992,6.561,5.793,6.969,37.43
6875,6.215,6.212,6.133,6.469,5.811,6.928,37.768
7000,6.091,6.127,6.19,6.454,5.742,6.98,37.584
7125,6.114,6.126,6.033,6.529,5.974,7.027,37.803
7250,6.162,6.191,6.152,6.188,5.567,6.938,37.198
7375,5.934,6.001,6.185,6.442,5.478,7.055,37.095
7500,6.206,5.995,6.031,6.622,5.591,6.881,37.326
7625,6.252,6.127,5.787,6.53,5.719,7.1,37.515
7750,6.085,6.076,6.162,6.411,5.89,6.951,37.575
7875,6.125,6.19,6.067,6.477,5.81,6.928,37.597
8000,5.934,6.071,6.063,6.477,5.737,6.969,37.251
8125,6.134,6.065,6.221,6.523,5.75,6.983,37.676
8250,6.01,6.229,6.096,6.544,5.746,7.079,37.704
8375,6.152,6.002,6.001,6.334,5.774,7.201,37.464
8500,6.053,6.151,6.067,6.497,5.871,7.123,37.762
8625,6.102,6.049,6.069,6.392,5.901,7.038,37.551
8750,5.973,6.043,5.862,6.522,5.841,6.994,37.235
8875,5.988,6.183,5.889,6.275,6.018,7.053,37.406
9000,6.039,5.987,6.121,6.598,5.763,7.102,37.61
9125,6.138,5.875,6.106,6.602,5.646,7.057,37.424
9250,6.246,5.987,5.987,6.487,5.888,6.946,37.541
9375,6.189,6.116,5.99,6.547,5.77,7.196,37.808
9500,6.236,5.953,6.047,6.402,5.727,6.984,37.349
9625,6.231,6.245,5.998,6.458,5.887,6.999,37.818
9750,6.173,6.051,6.099,6.552,5.739,6.852,37.466
9875,5.865,6.073,5.966,6.441,6.055,7.171,37.571
10000,6.192,6.296,5.883,6.296,5.821,7.132,37.62
10125,5.952,6.074,6.0,6.383,5.718,7.21,37.337
10250,6.135,5.999,6.025,6.406,5.884,7.116,37.565
10375,5.92,6.078,6.051,6.575,5.76,7.014,37.398
10500,6.203,6.141,6.069,6.49,5.813,7.026,37.742
10625,5.892,5.971,5.972,6.574,5.904,7.14,37.453
10750,5.995,5.906,6.019,6.422,5.842,6.991,37.175
10875,5.934,5.897,6.147,6.448,5.862,7.115,37.403
11000,5.917,6.078,5.9,6.501,5.801,6.96,37.157
11125,6.013,6.054,5.991,6.371,5.989,7.409,37.827
11250,6.073,6.197,6.089,6.273,5.753,7.155,37.54
11375,5.709,6.078,6.09,6.351,5.876,6.958,37.062
11500,6.09,5.944,6.148,6.488,5.706,7.113,37.489
11625,6.119,6.029,6.168,6.592,5.8,7.048,37.756
11750,6.294,5.956,6.05,6.408,5.72,7.118,37.546
11875,6.016,6.153,5.993,6.454,5.802,6.956,37.374
12000,5.989,6.011,6.019,6.429,5.68,7.323,37.451
12125,5.878,5.95,6.178,6.407,5.557,7.144,37.114
12250,6.121,5.819,5.945,6.452,5.84,6.94,37.117
12375,5.993,6.056,5.88,6.674,5.931,7.225,37.759
12500,5.898,6.011,5.912,6.354,5.761,7.223,37.159
12625,5.873,6.006,6.098,6.594,5.859,7.096,37.526
12750,5.931,5.892,5.895,6.465,5.657,7.185,37.025
12875,5.987,6.001,5.973,6.53,5.752,6.956,37.199
13000,6.03,5.801,5.806,6.53,5.771,7.368,37.306
13125,6.062,5.802,6.212,6.323,5.974,7.041,37.414
13250,5.955,5.925,6.138,6.573,5.833,7.16,37.584
13375,5.89,5.883,6.013,6.557,5.926,7.241,37.51
13500,5.941,5.956,5.976,6.402,5.957,7.224,37.456
13625,5.949,5.929,6.014,6.369,5.892,7.188,37.341
13750,5.963,6.0,6.05,6.553,5.849,7.265,37.68
13875,5.781,5.81,6.074,6.434,5.86,7.167,37.126
14000,5.843,6.056,5.84,6.616,5.876,6.969,37.2
14125,6.042,6.088,6.04,6.243,5.817,7.321,37.551
14250,5.96,5.915,6.109,6.38,5.85,7.136,37.35
14375,5.793,5.901,6.072,6.191,5.953,6.978,36.888
14500,6.022,5.995,6.037,6.438,5.974,7.13,37.596
14625,5.952,5.868,5.91,6.425,5.904,7.26,37.319
14750,5.83,5.96,6.057,6.355,5.855,7.093,37.15
14875,5.956,5.917,6.082,6.641,6.19,7.029,37.815
15000,6.278,5.832,5.891,6.385,5.796,7.179,37.361
15125,5.837,5.871,6.0,6.516,5.973,7.14,37.337
