time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.461,6.096,6.382,6.229,6.354,6.258,37.78
125,6.355,6.474,6.439,6.33,6.321,6.434,38.353
250,6.408,6.155,6.281,6.264,6.243,6.392,37.743
375,6.221,6.064,6.331,6.296,6.377,6.353,37.642
500,6.28,6.396,6.396,6.264,6.332,6.258,37.926
625,6.375,6.198,6.184,6.295,6.286,6.317,37.655
750,6.314,6.227,6.281,6.315,6.388,6.447,37.972
875,6.354,6.054,6.39,6.31,6.275,6.445,37.828
1000,6.361,6.125,6.397,6.339,6.285,6.329,37.836
1125,6.175,6.188,6.293,6.346,6.198,6.333,37.533
1250,6.396,6.087,6.22,6.249,6.398,6.186,37.536
1375,6.42,6.287,6.408,6.198,6.264,6.224,37.801
1500,6.429,6.19,6.23,6.378,6.394,6.309,37.93
1625,6.325,6.209,6.339,6.279,6.123,6.4,37.675
1750,6.304,6.094,6.079,6.254,6.546,6.194,37.471
1875,6.324,6.126,6.323,6.362,6.163,6.095,37.393
2000,6.342,6.159,6.353,6.454,6.325,6.429,38.062
2125,6.373,6.093,6.28,6.209,6.387,6.338,37.68
2250,6.29,6.113,6.227,6.173,6.291,6.365,37.459
2375,6.351,6.165,6.231,5.911,6.434,6.345,37.437
2500,6.247,6.167,6.156,6.309,6.328,6.291,37.498
2625,6.39,5.936,6.416,6.101,6.263,6.186,37.292
2750,6.214,6.019,6.228,6.28,6.352,6.363,37.456
2875,6.283,6.204,6.229,6.281,6.343,6.422,37.762
3000,6.392,6.202,6.169,6.192,6.298,6.603,37.856
3125,6.268,6.134,6.26,6.429,6.314,6.176,37.581
3250,6.472,6.294,6.169,6.502,6.511,6.211,38.159
3375,6.301,6.242,6.291,6.318,6.437,6.325,37.914
3500,6.366,5.899,6.318,6.272,6.328,6.407,37.59
3625,6.36,6.117,6.367,6.299,6.452,6.172,37.767
3750,6.362,6.264,6.307,6.418,6.322,6.576,38.249
3875,6.375,6.324,6.257,6.308,6.43,6.38,38.074
4000,6.367,6.109,6.233,6.351,6.393,6.26,37.713
4125,6.451,6.232,6.297,6.392,6.309,6.206,37.887
4250,6.163,6.071,6.165,6.245,6.472,6.345,37.461
4375,6.418,6.123,6.31,6.507,6.36,6.393,38.111
4500,6.293,6.264,6.113,6.314,6.433,6.235,37.652
4625,6.439,6.183,6.322,6.251,6.373,6.266,37.834
4750,6.255,6.084,6.331,6.103,6.284,6.326,37.383
4875,6.31,6.064,6.336,6.358,6.354,6.329,37.751
5000,6.146,6.153,6.299,6.399,6.383,6.44,37.82
5125,6.435,5.994,6.181,6.258,6.485,6.444,37.797
5250,6.431,6.028,6.131,6.458,6.271,6.256,37.575
5375,6.239,6.201,6.172,6.175,6.453,6.422,37.662
5500,6.223,6.025,6.308,6.262,6.336,6.125,37.279
5625,6.397,6.007,6.223,6.357,6.429,6.416,37.829
5750,6.185,6.124,6.197,6.397,6.468,6.391,37.762
5875,6.234,6.169,6.104,6.242,6.43,6.52,37.699
6000,6.151,5.935,6.338,6.222,6.599,6.378,37.623
6125,6.287,6.169,6.373,6.323,6.328,6.358,37.838
6250,6.548,6.293,6.429,6.428,6.428,6.236,38.362
6375,6.223,6.107,6.083,6.469,6.074,6.43,37.386
6500,6.228,5.931,6.216,6.382,6.399,6.22,37.376
6625,6.212,6.081,6.267,6.264,6.491,6.372,37.687
6750,6.389,6.112,6.3,6.152,6.54,6.418,37.911
6875,6.206,6.102,6.388,6.299,6.427,6.405,37.827
7000,6.243,6.013,6.38,6.407,6.456,6.427,37.926
7125,6.097,5.98,6.122,6.151,6.406,6.563,37.319
7250,6.219,6.12,6.402,6.149,6.236,6.198,37.324
7375,6.162,6.092,6.391,6.161,6.43,6.515,37.751
7500,6.142,6.017,6.301,6.375,6.59,6.387,37.812
7625,6.089,6.005,6.114,6.165,6.325,6.275,36.973
7750,6.287,5.974,6.396,5.982,6.381,6.221,37.241
7875,5.959,6.044,6.276,6.295,6.29,6.472,37.336
8000,6.251,6.035,6.209,6.24,6.446,6.336,37.517
8125,6.063,5.994,6.223,6.053,6.375,6.364,37.072
8250,6.105,5.992,6.276,6.386,6.439,6.383,37.581
8375,6.168,5.877,6.27,6.241,6.529,6.306,37.391
8500,6.321,6.111,6.272,6.185,6.442,6.653,37.984
8625,5.973,6.019,6.303,6.361,6.29,6.496,37.442
8750,6.338,5.995,6.248,6.282,6.609,6.35,37.822
8875,6.368,6.125,6.192,6.393,6.6,6.348,38.026
9000,5.959,5.779,6.482,6.422,6.351,6.406,37.399
