time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.515,6.271,6.666,6.283,6.381,6.06,38.176
125,6.543,6.246,6.39,6.238,6.451,6.139,38.007
250,6.431,6.271,6.221,6.152,6.502,5.993,37.57
375,6.45,6.147,6.398,6.214,6.482,6.151,37.842
500,6.272,6.284,6.252,6.284,6.402,6.197,37.691
625,6.355,6.232,6.316,6.155,6.366,6.29,37.714
750,6.484,6.783,6.041,6.067,6.354,6.04,37.769
875,6.461,6.22,6.211,6.143,6.456,6.081,37.572
1000,6.607,6.008,6.524,6.207,6.421,6.023,37.79
1125,6.294,6.122,6.213,6.104,6.509,6.179,37.421
1250,6.295,6.181,6.417,6.163,6.52,5.681,37.257
1375,6.468,5.828,6.298,6.201,6.435,6.19,37.42
1500,6.382,6.204,6.271,6.282,6.505,6.135,37.779
1625,6.33,6.306,6.364,6.137,6.513,5.988,37.638
1750,6.29,6.067,6.373,6.192,6.414,6.332,37.668
1875,6.479,6.188,5.533,6.201,6.638,6.236,37.275
2000,6.418,5.992,6.476,6.232,6.469,6.161,37.748
2125,6.495,6.238,6.353,6.077,6.468,6.127,37.758
2250,6.426,6.347,6.363,6.123,6.459,6.088,37.806
2375,6.338,6.088,6.315,6.378,6.446,6.038,37.603
2500,6.259,6.04,6.226,6.1,6.324,6.201,37.15
2625,6.314,6.265,6.255,6.288,6.569,6.244,37.935
2750,6.13,5.995,6.464,6.29,6.658,6.335,37.872
2875,6.116,5.959,6.447,6.234,6.613,6.156,37.525
3000,6.432,6.171,6.328,6.183,6.448,5.93,37.492
3125,6.399,6.046,6.386,6.189,6.596,6.074,37.69
3250,6.454,6.061,6.479,6.077,6.505,5.911,37.487
3375,6.244,6.018,6.322,6.321,6.401,6.234,37.54
3500,6.396,6.249,6.32,6.295,6.704,6.225,38.189
3625,6.405,6.205,6.262,5.977,6.448,6.18,37.477
3750,6.347,6.041,6.513,6.325,6.651,6.113,37.99
3875,6.387,6.209,6.24,6.108,6.594,6.105,37.643
