time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.273,6.451,6.263,6.524,6.107,6.514,38.132
125,6.381,6.261,6.185,6.207,6.151,6.736,37.921
250,6.351,6.207,6.387,6.277,6.065,6.659,37.946
375,6.254,5.945,6.248,6.019,6.101,6.576,37.143
500,6.184,6.315,6.263,6.28,6.009,6.508,37.559
625,6.317,6.01,6.126,6.526,5.971,6.521,37.471
750,6.52,6.208,6.212,6.374,6.04,6.544,37.898
875,6.319,6.055,5.996,6.373,6.282,6.598,37.623
1000,6.409,6.077,6.432,6.348,6.076,6.688,38.03
1125,6.481,6.252,6.177,6.524,6.084,6.648,38.166
1250,6.272,6.124,6.218,6.272,6.103,6.583,37.572
1375,6.379,5.912,6.188,6.293,6.064,6.51,37.346
1500,6.299,6.222,6.156,6.28,6.205,6.695,37.857
1625,6.456,6.173,6.03,6.43,6.053,6.456,37.598
1750,6.299,6.316,6.178,6.363,6.004,6.54,37.7
1875,6.42,6.066,6.295,6.501,6.176,6.385,37.843
2000,6.146,6.167,6.118,6.411,6.176,6.293,37.311
2125,6.297,6.185,6.217,6.378,6.104,6.609,37.79
2250,6.431,6.074,6.018,6.403,6.044,6.385,37.355
2375,6.438,6.29,6.053,6.485,6.061,6.542,37.869
2500,6.355,6.1,6.386,6.38,5.915,6.527,37.663
2625,6.186,6.286,6.267,6.317,6.177,6.582,37.815
2750,6.501,6.097,5.998,6.213,6.176,6.501,37.486
2875,6.235,6.198,6.216,6.416,5.985,6.83,37.88
3000,6.464,6.174,6.161,6.347,5.94,6.599,37.685
3125,6.107,6.328,6.382,6.276,6.108,6.329,37.53
3250,6.376,6.12,6.275,6.345,6.192,6.622,37.93
3375,6.394,6.106,6.293,6.435,6.408,6.445,38.081
3500,6.232,6.28,6.13,6.481,6.137,6.656,37.916
3625,6.216,5.907,6.306,6.404,6.162,6.524,37.519
3750,6.455,6.004,6.091,6.196,6.224,6.618,37.588
3875,6.484,6.151,6.293,6.348,6.032,6.494,37.802
4000,6.228,6.356,6.196,6.317,6.005,6.369,37.471
4125,6.249,6.239,6.007,6.228,6.221,6.446,37.39
4250,6.212,6.109,6.219,6.22,5.98,6.604,37.344
4375,6.187,6.193,6.055,6.284,6.297,6.645,37.661
4500,6.306,6.195,6.255,6.311,6.152,6.507,37.726
4625,6.284,6.219,6.179,6.433,6.214,6.435,37.764
4750,6.359,6.022,6.101,6.372,6.197,6.486,37.537
4875,6.345,6.159,6.243,6.243,6.13,6.501,37.621
5000,6.441,6.059,5.961,6.335,6.136,6.454,37.386
5125,6.233,6.259,6.291,6.314,6.231,6.558,37.886
5250,6.358,6.023,6.179,6.139,6.226,6.57,37.495
5375,6.26,6.337,6.051,6.294,6.175,6.565,37.682
5500,6.373,6.162,6.19,6.287,6.108,6.319,37.439
5625,6.411,6.192,6.399,6.361,6.042,6.549,37.954
5750,6.305,6.041,5.93,6.257,6.312,6.5,37.345
5875,6.324,6.008,6.19,6.39,6.024,6.436,37.372
6000,6.255,6.135,6.208,6.452,6.073,6.571,37.694
6125,6.277,6.034,6.017,6.377,5.882,6.563,37.15
6250,6.267,6.338,5.981,6.196,6.152,6.526,37.46
