time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.253,6.244,6.397,6.107,6.704,5.958,37.663
125,6.708,6.18,6.49,6.168,6.585,5.92,38.051
250,6.37,6.267,6.461,6.311,6.72,6.092,38.221
375,6.468,6.253,6.434,6.149,6.612,5.88,37.796
500,6.5,6.272,6.415,6.01,6.52,6.093,37.81
625,6.45,6.106,6.387,6.348,7.13,5.913,38.334
750,6.418,6.246,6.483,6.188,6.543,5.651,37.529
875,5.714,6.232,6.427,6.296,6.766,5.976,37.411
1000,6.418,6.139,6.314,6.036,6.492,5.967,37.366
1125,6.364,6.146,6.441,6.308,6.521,5.897,37.677
1250,6.263,6.037,6.318,6.183,6.643,5.903,37.347
1375,6.315,6.13,6.506,6.035,6.676,5.889,37.551
1500,6.426,6.201,6.183,6.073,6.57,6.021,37.474
1625,6.216,6.148,6.36,6.271,6.431,5.87,37.296
1750,6.463,6.197,6.237,6.093,6.7,5.902,37.592
1875,6.301,6.199,6.274,6.114,6.533,5.988,37.409
2000,6.366,6.168,6.455,6.28,6.456,6.031,37.756
2125,6.257,6.197,6.428,6.199,6.605,5.91,37.596
2250,6.439,6.216,6.293,6.311,6.722,6.053,38.034
2375,6.298,6.165,6.5,6.046,6.62,6.11,37.739
2500,6.444,6.224,6.212,6.211,6.54,5.979,37.61
2625,6.365,6.411,6.408,5.991,6.757,5.91,37.842
2750,6.206,6.207,6.318,6.099,6.68,5.955,37.465
2875,6.224,6.046,6.385,6.355,6.584,6.021,37.615
3000,6.527,6.299,6.369,6.05,6.581,5.99,37.816
3125,6.413,6.146,6.433,6.277,6.575,6.052,37.896
3250,6.412,6.099,6.262,6.277,6.674,5.9,37.624
3375,6.393,6.319,6.427,6.283,6.624,5.794,37.84
3500,6.26,6.108,6.305,5.982,6.587,5.961,37.203
3625,6.402,6.114,6.202,6.126,6.769,6.108,37.721
3750,6.359,6.206,6.353,6.142,6.683,5.836,37.579
3875,6.215,6.184,6.254,6.238,6.849,6.1,37.84
4000,6.424,6.041,6.369,6.279,6.694,5.967,37.774
