time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.406,6.483,6.479,6.143,6.7,5.704,37.915
125,6.29,6.41,6.449,5.966,6.813,5.762,37.69
250,6.146,6.215,6.621,6.133,7.159,5.947,38.221
375,6.101,6.286,6.642,6.115,6.91,5.539,37.593
500,6.296,6.304,6.42,6.022,6.875,5.808,37.725
625,6.28,6.237,6.421,6.001,6.978,5.62,37.537
750,6.312,6.45,6.51,6.122,6.995,5.809,38.198
875,6.387,6.278,6.372,6.237,7.004,5.801,38.079
1000,6.357,6.375,6.379,6.072,6.746,5.664,37.593
1125,6.158,6.276,6.448,6.073,6.916,5.663,37.534
1250,6.253,6.272,6.377,6.046,6.908,5.629,37.485
1375,6.21,6.173,6.494,6.199,6.647,5.872,37.595
1500,6.279,6.34,6.65,6.003,6.965,5.584,37.821
1625,6.309,6.023,6.463,6.085,7.066,5.797,37.743
1750,6.297,6.375,6.501,6.14,6.854,5.754,37.921
1875,6.169,6.353,6.239,6.035,6.833,5.597,37.226
2000,6.04,6.303,6.424,6.164,6.845,5.897,37.673
2125,6.233,6.21,6.349,5.963,6.861,5.928,37.544
2250,6.28,6.527,6.499,6.033,6.889,5.826,38.054
2375,6.351,6.224,6.498,6.04,7.077,5.825,38.015
2500,6.135,6.4,6.73,6.029,6.878,5.515,37.687
2625,6.268,6.181,6.562,6.129,6.82,5.721,37.681
2750,6.258,6.453,6.492,6.123,6.961,5.736,38.023
2875,6.144,6.354,6.427,6.05,6.784,5.7,37.459
3000,6.116,6.226,6.404,6.109,6.866,5.642,37.363
3125,6.32,6.273,6.231,6.096,6.827,5.682,37.429
3250,6.329,6.15,6.318,6.131,6.632,5.858,37.418
3375,6.24,6.136,6.55,5.911,6.832,5.707,37.376
3500,6.08,6.259,6.333,6.127,6.776,5.558,37.133
3625,6.173,6.245,6.321,6.085,6.699,5.743,37.266
3750,6.15,6.196,6.445,6.019,6.769,5.749,37.328
3875,6.162,6.321,6.67,6.151,6.815,5.829,37.948
4000,6.164,6.203,6.486,6.394,6.866,5.646,37.759
4125,6.051,6.171,6.553,6.012,7.044,5.662,37.493
4250,6.236,6.247,6.557,6.137,6.836,5.725,37.738
4375,6.096,6.107,6.61,5.811,6.945,6.103,37.672
4500,6.114,6.173,6.393,6.312,6.794,5.793,37.579
4625,6.317,6.253,6.558,5.994,6.898,5.802,37.822
4750,6.248,6.093,6.537,6.154,6.86,5.753,37.645
4875,6.062,6.24,6.466,6.649,6.993,5.889,38.299
5000,5.913,6.039,6.43,6.153,7.058,5.729,37.322
5125,5.911,6.303,6.522,5.984,7.084,5.861,37.665
5250,6.099,6.191,6.557,5.951,6.946,5.688,37.432
5375,6.196,6.209,6.689,6.006,7.03,5.636,37.766
5500,6.027,6.187,6.421,5.959,6.969,5.651,37.214
5625,6.074,6.083,6.396,6.074,6.928,5.867,37.422
5750,6.087,6.31,6.603,6.105,6.91,5.789,37.804
5875,6.112,6.192,6.362,6.016,6.815,5.601,37.098
6000,5.986,6.53,6.46,5.889,7.0,5.815,37.68
6125,6.309,5.901,6.326,5.927,7.07,5.711,37.244
6250,6.126,6.194,6.607,5.977,6.788,5.713,37.405
6375,6.139,6.386,6.347,6.193,6.799,5.839,37.703
6500,6.196,6.206,6.657,6.045,6.987,5.861,37.952
6625,6.203,6.159,6.449,6.014,7.283,5.718,37.826
6750,6.151,6.179,6.548,5.964,6.936,5.826,37.604
6875,6.149,6.16,6.511,6.035,7.037,5.746,37.638
7000,6.254,6.191,6.488,5.96,6.978,5.812,37.683
7125,6.182,6.242,6.347,6.108,6.916,5.826,37.621
7250,6.197,6.176,6.481,6.037,6.849,5.712,37.452
7375,6.008,6.183,6.396,6.215,6.942,5.902,37.646
7500,6.013,6.214,6.461,6.101,6.888,5.684,37.361
7625,5.836,6.379,6.518,6.128,6.979,6.008,37.848
7750,5.922,6.265,6.278,5.95,7.039,5.741,37.195
7875,6.147,6.034,6.519,6.123,7.243,5.871,37.937
8000,6.11,6.156,6.373,6.062,6.884,5.844,37.429
8125,6.22,6.319,6.662,6.0,6.988,5.761,37.95
8250,5.925,6.179,6.608,5.969,7.006,5.77,37.457
8375,5.784,6.14,6.622,6.282,7.052,5.804,37.684
8500,5.914,6.183,6.433,6.048,6.971,5.879,37.428
8625,6.176,6.155,6.365,6.038,6.975,5.791,37.5
8750,6.161,5.998,6.494,6.288,7.107,5.675,37.723
