time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.247,6.258,6.025,6.483,5.722,7.025,37.76
125,6.392,5.98,6.215,6.509,5.715,7.009,37.82
250,6.398,6.162,6.183,6.445,5.754,6.893,37.835
375,6.305,6.195,6.077,6.496,5.597,6.759,37.429
500,6.371,6.162,6.101,6.5,5.648,7.048,37.83
625,6.332,6.451,6.084,6.442,5.734,6.886,37.929
750,6.323,6.187,6.261,6.649,5.57,6.929,37.919
875,6.343,6.184,6.129,6.624,5.813,7.075,38.168
1000,6.457,6.134,6.073,6.38,5.615,6.931,37.59
1125,6.335,6.273,6.123,6.326,5.526,6.94,37.523
1250,6.406,6.3,6.199,6.643,5.567,7.055,38.17
1375,6.338,6.086,5.926,6.362,5.679,6.949,37.34
1500,6.341,6.256,5.823,6.501,5.884,6.788,37.593
1625,6.324,6.23,6.126,6.316,5.599,6.877,37.472
1750,6.378,6.001,6.077,6.461,5.586,6.974,37.477
1875,6.228,6.201,6.047,6.47,5.648,7.087,37.681
2000,6.509,6.102,5.995,6.608,5.557,6.882,37.653
2125,6.428,6.296,6.109,6.586,5.771,7.237,38.427
2250,6.224,6.22,5.934,6.535,5.544,6.964,37.421
2375,6.367,6.189,6.244,6.46,5.477,6.823,37.56
2500,6.405,6.238,6.059,6.404,5.623,6.743,37.472
2625,6.277,6.154,6.267,6.568,5.53,6.915,37.711
2750,6.507,6.081,5.974,6.522,5.632,7.037,37.753
2875,6.146,6.284,6.184,6.375,5.604,6.948,37.541
3000,6.316,6.13,6.123,6.612,5.904,6.824,37.909
3125,6.199,6.059,5.963,6.753,5.644,7.312,37.93
3250,6.391,6.02,6.0,6.55,5.6,6.847,37.408
3375,6.415,5.989,6.148,6.55,5.713,7.189,38.004
3500,6.373,6.163,5.963,6.377,5.818,6.946,37.64
3625,6.11,5.928,5.927,6.524,5.734,7.003,37.226
3750,6.353,6.357,6.048,6.686,5.729,6.964,38.137
3875,6.486,6.183,6.042,6.583,5.749,6.939,37.982
4000,6.341,6.216,6.149,6.458,5.837,7.073,38.074
4125,6.134,6.112,6.143,6.662,5.659,7.066,37.776
4250,6.196,6.167,6.009,6.564,5.717,6.886,37.539
4375,6.202,6.082,5.985,6.453,5.916,7.124,37.762
4500,6.244,6.16,5.992,6.405,5.745,7.028,37.574
4625,6.263,6.141,5.943,6.71,5.894,6.844,37.795
4750,6.233,6.048,5.832,6.53,5.685,6.965,37.293
4875,6.142,6.136,6.003,6.426,5.652,7.013,37.372
5000,6.283,6.257,6.066,6.433,5.817,7.011,37.867
