time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.348,6.191,6.325,6.426,6.466,6.056,37.812
125,6.267,6.226,6.37,6.378,6.427,6.118,37.786
250,6.465,6.17,6.466,6.202,6.531,6.187,38.021
375,6.228,6.34,6.306,6.39,6.439,6.144,37.847
500,6.654,6.191,6.233,6.268,6.168,6.233,37.747
625,6.382,6.023,6.359,6.112,6.339,6.222,37.437
750,6.424,6.205,6.432,6.443,6.332,6.18,38.016
875,6.327,6.155,6.202,6.118,6.34,6.171,37.313
1000,6.527,6.383,6.194,6.339,6.469,6.266,38.178
1125,6.656,6.122,6.256,6.117,6.431,6.097,37.679
1250,6.519,6.044,6.344,6.1,6.387,6.297,37.691
1375,6.231,6.21,6.448,6.216,6.45,6.22,37.775
1500,6.327,6.237,6.599,6.45,6.269,6.093,37.975
1625,6.595,5.997,6.331,6.153,6.489,6.335,37.9
1750,6.475,6.215,6.456,6.046,6.558,6.199,37.949
1875,6.557,6.094,6.367,6.391,6.516,6.18,38.105
2000,6.338,6.322,6.146,6.187,6.639,6.081,37.713
2125,6.477,6.27,6.194,6.317,6.364,6.336,37.958
2250,6.46,6.211,6.343,6.234,6.296,6.228,37.772
2375,6.248,6.131,6.521,6.095,6.621,6.132,37.748
2500,6.195,6.234,6.462,6.229,6.465,6.112,37.697
2625,6.282,6.201,6.331,6.376,6.286,6.193,37.669
2750,6.295,6.191,6.288,6.339,6.302,6.207,37.622
2875,6.257,6.199,6.325,6.191,6.372,6.183,37.527
3000,6.151,5.957,6.478,6.241,6.54,6.178,37.545
3125,6.481,6.157,6.153,6.307,6.502,6.08,37.68
3250,6.218,5.932,6.359,6.111,6.491,6.246,37.357
3375,6.332,6.278,6.311,6.261,6.366,6.217,37.765
3500,6.384,6.218,6.351,6.191,6.377,6.32,37.841
3625,6.228,6.338,6.537,6.31,6.423,6.183,38.019
3750,6.098,6.209,6.328,6.48,6.494,6.372,37.981
3875,6.23,5.973,6.302,6.193,6.591,6.472,37.761
4000,6.324,6.094,6.386,6.402,6.526,6.251,37.983
4125,6.329,6.107,6.308,6.282,6.498,6.317,37.841
4250,6.228,6.213,6.437,6.135,6.403,6.257,37.673
4375,6.23,5.961,6.553,6.178,6.443,6.269,37.634
4500,6.406,6.156,6.351,6.277,6.301,6.374,37.865
4625,6.366,5.899,6.157,6.425,6.29,6.301,37.438
4750,6.296,6.105,6.253,6.151,6.523,6.281,37.609
4875,6.335,6.171,6.521,6.251,6.409,6.17,37.857
5000,6.116,6.081,6.414,6.16,6.55,6.287,37.608
5125,6.216,6.154,6.457,6.233,6.579,6.114,37.753
5250,6.324,6.049,6.569,6.276,6.362,6.34,37.92
5375,6.396,6.101,6.323,6.281,6.452,6.026,37.579
5500,6.34,6.162,6.378,6.322,6.557,6.115,37.874
5625,6.226,6.11,6.368,6.381,6.507,6.167,37.759
5750,6.184,6.167,6.302,6.355,6.536,6.328,37.872
5875,6.47,6.173,6.297,6.257,6.359,6.369,37.925
6000,6.448,5.973,6.08,6.372,6.639,6.17,37.682
6125,6.338,6.132,6.327,6.222,6.479,6.335,37.833
6250,6.259,6.217,6.145,6.198,6.341,6.127,37.287
6375,6.289,6.144,6.12,6.277,6.683,6.261,37.774
6500,6.268,6.021,6.315,6.349,6.693,6.332,37.978
6625,6.149,6.123,6.342,6.237,6.483,6.307,37.641
6750,6.231,5.953,6.505,6.168,6.538,6.184,37.579
6875,5.961,6.048,6.312,6.169,6.418,6.214,37.122
7000,6.239,6.016,6.108,6.254,6.37,6.308,37.295
7125,6.262,6.226,6.318,6.343,6.486,6.223,37.858
7250,6.278,6.209,6.383,6.291,6.62,6.228,38.009
7375,6.425,6.202,6.106,6.288,6.585,6.234,37.84
7500,6.039,6.171,6.403,6.156,6.491,6.237,37.497
7625,6.172,5.857,6.238,6.119,6.451,6.272,37.109
