time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.279,6.416,6.494,5.849,6.909,5.667,37.614
125,6.278,6.303,6.535,6.188,6.758,5.663,37.725
250,6.328,6.209,6.374,6.063,6.705,5.535,37.214
375,6.414,6.249,6.335,5.974,6.965,5.729,37.666
500,6.335,6.335,6.466,6.101,6.824,5.854,37.915
625,6.185,6.238,6.497,6.063,6.873,5.685,37.541
750,6.195,6.241,6.567,6.056,7.056,5.82,37.935
875,6.222,6.23,6.593,6.074,6.908,5.793,37.82
1000,6.303,6.363,6.524,6.076,6.834,5.589,37.689
1125,6.33,6.251,6.535,5.905,6.853,5.635,37.509
1250,6.485,6.271,6.588,6.214,6.204,5.706,37.468
1375,6.104,6.187,6.536,6.142,6.827,5.745,37.541
1500,6.342,6.232,6.586,6.214,6.804,5.828,38.006
1625,6.319,6.531,6.565,5.986,6.829,5.801,38.031
1750,6.495,6.391,6.494,6.006,6.907,5.735,38.028
1875,6.267,6.397,6.567,6.163,6.939,5.84,38.173
2000,6.257,6.216,6.499,6.268,6.846,5.812,37.898
2125,6.238,6.295,6.392,5.958,6.866,5.94,37.689
2250,6.247,6.447,6.423,6.222,7.128,5.671,38.138
2375,6.174,6.261,6.695,6.191,6.842,5.859,38.022
2500,6.287,6.26,6.433,6.135,6.696,5.586,37.397
2625,6.409,6.399,6.385,5.897,6.957,5.835,37.882
2750,6.429,6.196,6.346,5.992,6.93,5.552,37.445
2875,6.343,6.316,6.313,5.888,6.897,5.554,37.311
3000,6.583,6.288,6.351,5.972,6.743,5.764,37.701
3125,6.34,6.347,6.512,6.262,7.021,5.724,38.206
3250,6.231,6.387,6.659,5.916,6.837,5.592,37.622
3375,6.158,6.327,6.343,6.208,6.732,5.77,37.538
3500,6.177,6.036,6.484,6.309,6.958,5.634,37.598
3625,6.117,6.147,6.338,6.026,7.016,5.824,37.468
3750,6.236,6.116,6.514,5.953,6.712,6.002,37.533
3875,6.094,6.299,6.495,6.045,6.844,5.8,37.577
4000,6.286,6.196,6.367,5.988,7.084,5.698,37.619
4125,6.333,6.276,6.276,6.155,6.926,5.872,37.838
4250,6.285,6.241,6.315,6.015,6.951,5.757,37.564
4375,6.266,6.322,6.493,5.932,6.996,5.698,37.707
4500,6.289,6.132,6.762,6.029,6.905,5.855,37.972
4625,6.167,6.237,6.547,6.162,6.762,5.549,37.424
4750,6.369,6.238,6.612,6.104,6.969,5.692,37.984
4875,6.282,6.186,6.459,6.127,6.972,5.714,37.74
5000,6.251,6.196,6.331,5.821,6.909,5.767,37.275
5125,6.024,6.221,6.434,5.944,6.904,5.597,37.124
5250,6.142,6.115,6.383,6.229,7.05,5.834,37.753
5375,6.079,6.233,6.493,6.088,6.979,5.895,37.767
5500,6.098,5.939,6.415,6.055,6.879,5.639,37.025
5625,6.0,6.279,6.61,6.051,7.023,5.733,37.696
5750,6.091,6.119,6.439,6.255,6.862,5.959,37.725
5875,6.166,6.011,6.485,5.994,6.997,5.776,37.429
6000,6.225,6.273,6.63,6.113,6.832,5.9,37.973
6125,6.143,6.138,6.434,6.123,7.06,5.778,37.676
6250,6.09,6.261,6.445,6.245,6.777,5.799,37.617
6375,6.219,5.919,6.658,6.121,7.191,5.904,38.012
6500,6.228,6.062,6.377,5.982,6.957,5.773,37.379
6625,6.266,6.088,6.624,6.033,6.874,5.779,37.664
6750,6.092,6.235,6.311,6.035,7.064,5.656,37.393
6875,6.129,6.207,6.616,6.024,7.072,5.891,37.939
7000,5.976,6.159,6.397,5.901,6.747,5.799,36.979
7125,6.173,6.175,6.505,6.09,7.013,5.706,37.662
7250,6.09,6.313,6.471,6.211,7.049,5.96,38.094
7375,6.114,6.036,6.586,6.174,7.089,5.797,37.796
7500,6.046,6.186,6.347,5.968,7.099,5.865,37.511
7625,6.246,6.196,6.618,6.146,6.846,5.889,37.941
7750,5.952,6.263,6.581,6.224,7.071,5.917,38.008
7875,6.141,6.03,6.544,6.059,6.97,5.878,37.622
8000,6.048,6.142,6.316,6.271,7.149,5.669,37.595
8125,6.147,6.072,6.412,6.151,7.107,5.699,37.588
8250,6.216,6.189,6.437,6.04,6.898,5.614,37.394
8375,6.085,5.954,6.374,5.956,7.037,5.785,37.191
8500,6.076,6.053,6.546,6.166,7.18,5.841,37.862
8625,6.177,6.075,6.365,6.19,7.13,5.701,37.638
8750,6.106,6.133,6.441,5.925,6.933,5.958,37.496
8875,5.974,6.147,6.597,6.088,6.777,5.819,37.402
9000,6.018,6.111,6.513,6.112,7.104,5.867,37.725
9125,6.057,6.147,6.46,5.972,6.946,5.737,37.319
9250,6.027,6.128,6.166,6.068,6.959,5.726,37.074
9375,5.9,6.132,6.379,6.146,6.874,5.861,37.292
9500,6.143,5.945,6.595,6.004,7.116,5.788,37.591
9625,6.281,6.089,6.783,6.034,7.183,5.723,38.093
9750,6.0,6.008,6.642,6.01,6.999,5.792,37.451
9875,6.081,5.925,6.462,6.014,7.042,6.116,37.64
10000,6.113,5.92,6.462,6.15,6.992,6.012,37.649
10125,6.251,5.957,6.361,6.023,6.973,5.842,37.407
10250,6.056,5.911,6.638,6.198,6.863,5.721,37.387
10375,6.019,6.181,6.287,5.829,6.872,5.739,36.927
10500,6.045,6.008,6.357,5.89,7.022,5.811,37.133
10625,6.127,6.028,6.496,5.995,7.002,6.076,37.724
10750,5.925,5.965,6.565,6.004,7.167,6.041,37.667
10875,6.109,6.013,6.561,6.097,6.946,5.978,37.704
11000,5.874,6.008,6.368,6.031,7.106,5.706,37.093
11125,6.049,5.851,6.365,6.099,7.32,5.901,37.585
11250,6.129,5.938,6.469,5.917,7.045,5.597,37.095
11375,6.103,6.028,6.487,6.082,7.07,5.757,37.527
11500,5.979,5.857,6.596,6.019,7.094,5.964,37.509
11625,5.841,5.923,6.401,6.161,7.161,6.042,37.529
11750,6.107,6.262,6.553,5.91,7.062,5.762,37.656
11875,5.899,5.928,6.273,6.259,6.954,5.759,37.072
12000,5.848,5.96,6.352,6.074,7.313,5.974,37.521
12125,6.164,6.012,6.37,5.973,7.03,5.863,37.412
12250,5.986,6.092,6.532,6.113,7.046,5.907,37.676
12375,5.901,5.688,6.433,6.184,7.043,5.779,37.028
12500,6.059,6.025,6.388,5.912,7.118,5.71,37.212
12625,6.025,6.045,6.482,5.948,7.137,5.798,37.435
12750,6.146,5.965,6.287,6.212,6.928,5.678,37.216
12875,6.082,5.948,6.419,5.964,7.17,5.92,37.503
13000,5.915,5.995,6.303,6.195,7.139,5.865,37.412
13125,6.077,5.995,6.329,5.856,7.172,5.924,37.353
13250,6.145,6.006,6.625,6.172,7.047,5.916,37.911
13375,6.127,6.017,6.554,6.039,7.133,5.924,37.794
13500,5.915,6.12,6.485,5.983,7.142,5.947,37.592
13625,6.026,5.95,6.294,6.047,6.949,6.091,37.357
13750,5.931,6.025,6.556,6.066,7.096,6.078,37.752
13875,5.843,6.007,6.487,6.231,6.994,5.926,37.488
14000,5.883,6.079,6.384,6.013,7.065,5.758,37.182
14125,5.95,5.88,6.587,6.054,6.938,5.882,37.291
14250,5.909,5.823,6.301,5.886,7.036,6.127,37.082
14375,5.856,5.845,6.269,6.182,6.961,6.038,37.151
14500,6.117,5.927,6.515,5.892,7.158,5.932,37.541
14625,5.781,5.931,6.347,6.033,7.246,5.944,37.282
14750,5.857,5.792,6.675,5.871,7.384,5.93,37.509
14875,5.882,5.777,6.36,6.069,7.184,5.931,37.203
15000,5.8,5.909,6.321,6.241,7.176,5.882,37.329
15125,6.004,5.829,6.752,6.106,7.24,5.992,37.923
15250,5.823,5.766,6.364,5.961,7.102,5.949,36.965
15375,5.972,5.923,6.376,6.033,7.117,5.847,37.268
15500,5.747,6.023,6.437,6.032,7.064,6.051,37.354
15625,6.031,6.038,6.733,6.035,7.074,6.011,37.922
15750,5.857,5.783,6.327,6.032,7.09,6.054,37.143
15875,5.811,5.988,6.366,6.007,6.997,5.798,36.967
16000,6.008,5.726,6.344,5.978,7.186,6.099,37.341
16125,5.754,5.819,6.393,6.028,7.102,5.997,37.093
16250,5.849,5.965,6.591,6.026,7.312,5.976,37.719
16375,6.032,5.932,6.479,6.062,7.262,5.809,37.576
16500,5.938,5.66,6.518,5.965,7.082,6.149,37.312
16625,5.988,5.894,6.431,6.163,7.317,6.08,37.873
16750,5.795,5.973,6.488,5.738,7.082,6.067,37.143
16875,6.086,5.827,6.528,6.098,7.195,6.042,37.776
17000,6.018,5.814,6.511,6.12,7.179,6.171,37.813
17125,5.775,5.83,6.414,6.055,7.177,5.978,37.229
17250,5.796,5.798,6.402,6.136,7.29,5.97,37.392
17375,5.901,5.814,6.443,6.015,7.084,6.011,37.268
17500,5.72,5.672,6.591,5.898,7.272,6.004,37.157
17625,5.816,5.848,6.397,6.095,7.028,5.958,37.142
17750,5.701,5.744,6.282,6.06,7.13,6.08,36.997
17875,5.826,5.99,6.362,6.267,7.177,5.833,37.455
18000,6.082,5.756,6.475,5.749,7.231,6.048,37.341
18125,5.899,6.313,6.157,6.086,7.158,6.085,37.698
18250,5.759,5.709,6.133,6.074,7.286,6.005,36.966
18375,5.749,5.759,6.368,5.985,7.212,5.965,37.038
18500,5.697,6.006,6.331,6.011,7.118,6.094,37.257
18625,6.006,5.79,6.44,6.106,7.338,6.048,37.728
18750,5.641,5.875,6.589,5.888,7.3,5.956,37.249
18875,5.737,5.88,6.4,6.093,7.176,6.157,37.443
19000,5.825,5.569,6.427,5.917,7.309,6.067,37.114
19125,5.857,5.759,6.097,6.095,7.145,6.0,36.953
19250,5.642,5.928,6.421,6.111,7.42,5.901,37.423
19375,5.697,5.769,6.578,6.17,7.328,5.944,37.486
19500,5.595,5.886,6.204,6.0,7.213,5.957,36.855
19625,5.623,5.846,6.479,5.996,7.26,5.907,37.111
19750,5.829,5.857,6.253,5.898,7.136,5.924,36.897
19875,5.764,5.732,6.416,5.876,7.225,6.053,37.066
20000,5.969,5.794,6.276,6.121,7.319,5.814,37.293
20125,5.683,5.788,6.586,5.94,7.107,6.299,37.403
20250,5.56,5.813,6.395,6.133,7.177,5.877,36.955
20375,5.84,5.951,6.53,6.022,7.372,5.896,37.611
20500,5.827,5.716,6.425,6.064,7.127,6.257,37.416
20625,5.752,5.653,6.289,5.913,7.195,5.948,36.75
20750,5.821,5.52,6.489,5.988,7.393,6.003,37.214
20875,5.774,5.925,6.24,5.865,7.296,5.858,36.958
21000,5.582,5.597,6.247,6.057,7.201,5.931,36.615
21125,5.747,5.688,6.493,6.097,7.262,6.044,37.331
21250,5.7,5.824,6.325,5.911,7.28,5.893,36.933
21375,5.701,5.558,6.286,5.978,7.34,6.117,36.98
21500,5.715,5.817,6.374,5.808,7.348,6.214,37.276
21625,5.595,5.62,6.354,5.895,7.318,6.112,36.894
21750,5.686,5.606,6.306,5.955,7.259,6.188,37.0
21875,5.797,5.799,6.258,6.024,7.352,6.225,37.455
22000,5.798,5.796,6.51,6.003,7.39,6.071,37.568
22125,5.521,5.851,6.217,5.976,7.3,6.126,36.991
22250,5.743,5.578,6.426,6.252,7.467,5.966,37.432
22375,5.712,5.696,6.581,6.003,7.359,6.05,37.401
22500,5.651,5.673,6.124,5.897,7.17,5.946,36.461
22625,5.71,5.646,6.367,6.007,7.316,6.179,37.225
