time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.285,6.488,6.402,6.05,6.618,6.256,38.099
125,6.054,6.384,6.38,6.098,6.636,5.854,37.406
250,6.334,6.378,6.254,6.084,6.696,5.989,37.735
375,6.03,6.416,6.264,6.099,6.546,5.952,37.307
500,6.214,6.266,6.334,5.993,6.771,6.084,37.662
625,6.154,6.457,6.34,6.329,6.718,5.924,37.922
750,6.206,6.426,6.35,6.262,6.598,6.0,37.842
875,6.371,6.275,6.368,6.457,6.9,6.034,38.405
1000,6.15,6.23,6.187,6.493,6.535,5.891,37.486
1125,6.214,6.2,6.521,6.376,6.638,5.95,37.899
1250,6.075,6.34,6.392,6.241,6.754,6.002,37.804
1375,6.146,6.348,6.488,6.067,6.692,6.1,37.841
1500,6.241,6.404,6.347,6.065,6.484,6.035,37.576
1625,6.031,6.454,6.499,6.278,6.828,5.923,38.013
1750,6.36,6.4,6.357,6.143,6.64,6.101,38.001
1875,6.284,6.504,6.532,6.109,6.66,6.006,38.095
2000,6.135,6.542,6.25,5.973,6.644,6.031,37.575
2125,6.163,6.189,6.52,6.107,6.773,5.935,37.687
2250,6.107,6.297,6.323,6.163,6.655,6.016,37.561
2375,6.119,6.319,6.457,6.333,6.878,6.132,38.238
2500,6.107,6.329,6.338,6.019,6.808,6.01,37.611
2625,6.277,6.269,6.367,6.042,6.655,5.946,37.556
2750,6.255,6.331,6.386,6.228,6.54,5.978,37.718
2875,6.207,6.442,6.309,6.124,6.54,6.04,37.662
3000,6.122,6.499,6.325,6.204,6.622,6.001,37.773
3125,6.079,6.378,6.323,6.074,6.445,5.976,37.275
3250,6.194,6.31,6.306,6.275,6.49,6.667,38.242
3375,6.269,6.244,6.383,6.181,6.831,6.05,37.958
3500,6.255,6.407,6.497,6.252,6.706,5.929,38.046
3625,6.113,6.506,6.346,6.198,6.655,6.263,38.081
3750,5.849,6.283,6.456,6.138,6.74,6.176,37.642
3875,6.17,6.281,6.433,6.075,6.735,6.059,37.753
4000,5.958,6.279,6.294,6.074,6.84,5.835,37.28
4125,6.028,6.307,6.476,6.043,6.564,5.98,37.398
4250,6.084,6.372,6.447,6.163,6.525,5.871,37.462
4375,6.021,6.261,6.546,6.237,6.901,6.08,38.046
4500,5.966,6.33,6.42,6.092,6.605,5.897,37.31
4625,6.307,6.451,6.202,6.172,6.898,6.003,38.033
4750,6.017,6.392,6.371,6.327,6.637,6.012,37.756
4875,6.169,6.272,6.447,6.179,6.535,5.901,37.503
5000,6.201,6.316,6.086,6.122,6.658,6.132,37.515
5125,5.988,6.533,6.505,6.352,6.832,6.213,38.423
5250,6.379,6.354,6.339,6.376,6.598,6.101,38.147
5375,6.093,6.404,6.322,5.984,6.642,6.111,37.556
5500,6.149,6.46,6.479,6.088,6.548,5.973,37.697
5625,6.152,6.304,6.406,6.062,6.645,5.892,37.461
5750,5.909,6.389,6.212,6.219,6.695,6.012,37.436
5875,6.169,6.327,6.545,6.054,6.655,5.951,37.701
6000,5.961,6.228,6.394,6.09,6.687,5.981,37.341
6125,6.168,6.356,6.433,6.02,6.848,5.862,37.687
6250,6.152,6.314,6.527,6.129,6.652,5.925,37.699
6375,6.132,6.187,6.4,6.13,6.676,6.136,37.661
6500,6.052,6.243,6.355,6.153,6.553,6.123,37.479
6625,6.15,6.185,6.333,6.068,6.596,5.985,37.317
6750,6.094,6.345,6.492,5.97,6.716,6.095,37.712
6875,6.074,6.449,6.374,6.069,6.636,6.115,37.717
7000,6.077,6.156,6.427,6.222,6.667,6.029,37.578
7125,5.968,6.211,6.311,6.004,6.7,5.851,37.045
7250,6.086,6.315,6.407,6.002,6.673,6.146,37.629
7375,5.875,6.254,6.38,6.159,6.505,5.96,37.133
7500,6.084,6.209,6.383,6.194,6.734,5.916,37.52
7625,6.093,6.316,6.379,6.221,6.611,5.965,37.585
7750,6.071,6.151,6.428,6.113,6.849,6.025,37.637
7875,5.93,6.314,6.46,6.246,6.666,6.007,37.623
8000,6.008,6.209,6.569,6.096,6.721,5.937,37.54
8125,5.912,6.241,6.369,6.197,6.793,6.091,37.603
8250,6.096,6.311,6.325,6.128,6.767,6.0,37.627
8375,6.066,6.208,6.264,6.039,6.906,6.072,37.555
8500,6.008,6.509,6.445,6.199,6.791,6.108,38.06
8625,6.214,6.109,6.504,6.095,6.733,6.004,37.659
8750,6.019,6.115,6.014,6.03,6.582,6.039,36.799
8875,6.111,6.101,6.263,6.102,6.725,6.037,37.339
9000,6.119,6.036,6.371,6.152,6.645,6.178,37.501
9125,6.043,6.27,6.211,6.101,6.745,6.135,37.505
9250,6.073,6.21,6.422,6.145,6.741,6.146,37.737
9375,6.168,6.347,6.523,6.288,6.876,5.803,38.005
9500,6.203,6.193,6.483,6.289,6.603,6.104,37.875
9625,5.991,6.223,6.25,6.052,6.743,6.178,37.437
9750,5.878,6.164,6.367,6.108,6.771,6.041,37.329
9875,6.114,6.215,6.449,6.205,6.786,5.957,37.726
10000,5.872,6.267,6.361,5.988,6.559,6.37,37.417
10125,5.933,6.178,6.368,6.05,6.621,6.114,37.264
10250,6.051,6.224,6.31,6.132,6.725,6.156,37.598
10375,5.977,6.331,6.296,6.242,6.726,6.144,37.716
10500,6.133,6.056,6.456,5.939,6.816,6.054,37.454
10625,6.212,6.374,6.283,6.09,6.872,5.963,37.794
10750,6.01,6.302,6.483,6.154,6.852,6.074,37.875
10875,6.046,6.259,6.564,6.094,6.59,6.118,37.671
11000,5.934,6.2,6.243,6.161,6.674,6.006,37.218
11125,6.074,6.098,6.304,5.864,6.796,5.929,37.065
11250,6.051,6.062,6.443,6.144,6.844,6.131,37.675
11375,5.955,6.173,6.23,6.115,6.553,6.085,37.111
11500,5.998,6.135,6.488,6.082,6.818,6.053,37.574
11625,5.721,6.201,6.346,6.257,6.657,6.177,37.359
11750,5.948,6.258,6.354,6.052,6.893,6.094,37.599
11875,5.912,6.191,6.372,6.15,6.626,6.085,37.336
12000,6.021,6.089,6.41,6.098,6.823,6.103,37.544
12125,6.219,6.07,6.769,6.112,6.741,6.239,38.15
12250,6.044,6.03,6.264,6.25,6.815,6.274,37.677
12375,5.91,6.178,6.469,5.866,6.68,5.999,37.102
12500,6.049,6.232,6.262,6.076,6.76,5.96,37.339
12625,6.097,5.927,6.431,6.002,6.829,6.204,37.49
12750,5.979,6.176,6.401,6.063,6.771,6.075,37.465
12875,6.0,6.159,6.312,6.005,6.9,6.23,37.606
13000,5.926,6.135,6.441,6.07,6.847,6.183,37.602
13125,5.914,6.07,6.364,6.038,6.722,5.881,36.989
13250,5.876,6.173,6.248,5.896,6.877,6.092,37.162
13375,5.878,6.373,6.454,6.27,6.507,6.015,37.497
13500,5.921,5.972,6.402,5.94,6.946,6.325,37.506
13625,5.923,6.231,6.531,6.085,6.594,6.119,37.483
13750,5.883,6.036,6.271,6.003,6.869,6.187,37.249
13875,6.016,6.136,6.356,6.097,6.729,5.996,37.33
14000,5.914,6.033,6.296,6.172,6.676,6.187,37.278
14125,5.895,6.267,6.342,6.105,6.814,6.21,37.633
14250,6.022,6.054,6.404,6.327,6.703,6.168,37.678
14375,5.758,6.06,6.426,6.12,6.906,6.128,37.398
14500,5.989,6.181,6.283,6.222,6.636,5.991,37.302
14625,5.845,6.064,6.414,5.953,6.613,6.031,36.92
14750,5.964,6.009,6.257,6.247,6.904,6.156,37.537
14875,5.854,6.094,6.33,5.968,6.941,6.279,37.466
15000,5.994,6.322,6.393,6.29,6.786,6.211,37.996
15125,5.935,6.115,6.317,6.192,6.752,6.148,37.459
15250,5.74,6.204,6.324,6.179,6.868,5.895,37.21
15375,5.73,6.077,6.345,5.947,6.87,6.192,37.161
15500,5.797,6.278,6.448,6.171,6.871,6.009,37.574
15625,5.911,6.164,6.408,6.22,6.702,6.264,37.669
15750,5.921,6.156,6.362,6.043,6.75,6.218,37.45
15875,5.864,6.182,6.208,6.364,6.805,6.207,37.63
16000,5.913,6.019,6.483,6.184,6.841,6.205,37.645
16125,5.893,6.125,6.376,6.045,6.664,5.998,37.101
16250,5.982,6.091,6.334,6.065,6.804,6.264,37.54
16375,5.928,5.549,6.235,6.253,6.767,6.139,36.871
16500,5.715,6.081,6.323,6.364,6.772,6.353,37.608
16625,5.804,6.029,6.201,6.035,6.881,6.129,37.079
16750,5.712,5.884,6.277,5.932,6.948,6.212,36.965
16875,5.791,6.211,6.399,5.997,6.868,6.19,37.456
17000,5.744,5.936,6.447,6.019,6.833,6.012,36.991
17125,5.857,5.9,6.398,6.138,6.879,6.123,37.295
17250,5.957,6.122,6.45,6.085,6.795,6.163,37.572
17375,5.941,5.898,6.295,6.042,6.703,6.366,37.245
17500,5.863,5.863,6.313,6.107,6.664,6.068,36.878
17625,5.625,5.992,6.191,6.068,6.887,6.082,36.845
17750,5.836,6.143,6.368,6.066,6.775,6.176,37.364
17875,5.891,6.02,6.312,6.089,6.803,6.367,37.482
18000,5.88,5.857,6.203,5.989,6.613,6.157,36.699
18125,5.814,6.025,6.313,6.157,6.896,6.411,37.616
18250,5.658,5.986,6.173,5.979,6.802,6.316,36.914
18375,5.682,6.031,6.359,6.262,6.8,6.146,37.28
18500,5.911,5.978,6.427,6.083,6.744,6.388,37.531
18625,5.742,6.046,6.419,6.122,7.156,6.326,37.811
18750,5.885,6.012,6.264,6.126,6.837,6.271,37.395
18875,5.906,6.228,6.367,6.031,6.826,6.229,37.587
19000,5.865,6.296,6.259,6.205,6.9,6.169,37.694
19125,5.765,6.102,6.297,6.1,6.813,6.284,37.361
19250,5.913,5.838,6.323,6.087,6.793,6.016,36.97
19375,5.841,5.919,6.468,6.096,6.882,6.454,37.66
19500,5.908,6.059,6.251,6.029,6.877,6.292,37.416
19625,5.908,6.102,6.171,6.153,7.048,6.365,37.747
19750,5.866,5.952,6.436,6.156,6.776,6.217,37.403
19875,5.862,6.32,6.339,6.021,6.949,6.258,37.749
20000,5.777,5.976,6.398,5.976,6.974,6.207,37.308
20125,5.794,5.867,6.405,5.917,6.819,6.039,36.841
20250,5.856,5.96,6.23,5.99,7.043,6.281,37.36
20375,5.778,5.914,6.33,6.101,6.726,6.174,37.023
20500,5.647,5.867,6.214,6.503,7.077,6.075,37.383
20625,5.566,6.102,6.505,6.15,7.001,6.292,37.616
20750,5.969,5.992,6.254,6.046,6.932,6.133,37.326
20875,5.811,5.851,6.274,6.154,6.733,6.222,37.045
21000,5.964,5.943,6.36,6.215,6.822,6.241,37.545
21125,6.685,5.991,6.289,6.162,6.969,6.108,38.204
21250,5.801,5.868,6.172,6.042,7.094,6.226,37.203
21375,5.742,5.793,6.319,6.051,7.035,6.253,37.193
21500,5.7,5.826,6.378,6.045,6.888,6.268,37.105
21625,5.689,6.085,6.398,6.126,6.776,6.333,37.407
21750,5.546,5.741,6.313,6.111,6.844,6.271,36.826
21875,5.551,5.971,6.377,5.881,6.936,6.224,36.94
22000,5.735,5.65,6.275,6.056,6.86,6.069,36.645
22125,5.801,5.811,6.098,6.14,7.025,6.281,37.156
22250,5.717,5.696,6.281,6.098,7.138,6.419,37.349
22375,5.841,6.043,6.46,6.237,6.968,6.248,37.797
22500,5.725,5.999,6.405,6.232,6.851,6.264,37.476
22625,5.764,5.939,6.301,6.262,6.987,6.368,37.621
22750,5.809,5.963,6.298,6.17,6.949,6.32,37.509
22875,5.791,5.822,6.382,6.027,7.07,6.212,37.304
23000,5.73,6.001,6.358,6.221,6.952,6.48,37.742
23125,5.82,5.863,6.038,6.012,6.877,6.129,36.739
23250,5.765,6.052,6.16,6.217,6.923,6.303,37.42
23375,5.748,5.921,6.465,6.173,7.045,6.483,37.835
23500,5.627,5.843,6.284,6.057,6.864,6.04,36.715
23625,5.554,6.044,6.302,6.147,6.879,6.354,37.28
23750,5.777,5.749,6.478,5.806,7.002,6.179,36.991
23875,5.837,5.594,6.442,6.134,7.155,6.226,37.388
24000,5.781,5.929,6.249,6.226,7.056,6.324,37.565
24125,5.628,5.876,6.383,5.952,6.984,6.233,37.056
24250,5.663,5.912,6.39,6.009,6.892,6.086,36.952
24375,5.707,5.998,6.414,6.217,7.01,6.053,37.399
24500,5.766,6.001,6.181,6.028,6.973,6.361,37.31
24625,5.885,5.812,6.369,5.961,6.95,6.07,37.047
24750,5.603,5.881,6.466,5.988,7.051,6.216,37.205
24875,5.683,5.927,6.141,6.167,7.022,6.509,37.449
25000,5.657,5.865,6.253,6.068,6.844,6.419,37.106
25125,5.688,5.907,6.337,5.987,6.939,6.048,36.906
25250,5.524,5.924,6.398,6.232,6.948,6.129,37.155
25375,5.528,6.011,6.193,5.978,7.05,6.361,37.121
25500,5.694,5.853,6.342,6.061,7.007,6.345,37.302
25625,5.403,5.836,6.455,6.123,6.941,6.517,37.275
25750,5.716,5.8,6.245,6.348,6.969,6.251,37.329
25875,5.722,5.942,6.437,5.988,7.146,6.273,37.508
