metric,linear_slope,linear_intercept,linear_r2,linear_rmse,hinge_a,hinge_b_below,hinge_c_extra_above,hinge_phi_c,hinge_r2,hinge_rmse
mean_total_N,47.58438104204163,-2.0451640269036515,0.9759777123047574,1.279054353124281,-0.7515686618494981,45.13623848330082,9.023358265195617,0.734999981412601,0.9796138677460151,1.1782819826950517
fluctuation_std_N,0.3480445866296121,-0.019542097862510106,0.9475998528432308,0.014022517412558524,-0.00698132693432568,0.3224281834878274,0.044199803750563614,0.6120000246867322,0.9487570682871062,0.013866814917166934
frame_to_frame_rms_N,0.4839694502653691,-0.02242447142166371,0.9293175898323442,0.022868037111835382,-0.008399613818051653,0.45531103270972706,0.04976061234088175,0.6119999787550666,0.9301933301013481,0.022725930475148474
