version_num,trial,row,has_obstacle,tau_s,r2
1,1,Front,False,12.23732459254162,0.025741164324472265
1,1,Middle,False,161190.47914467764,0.2388735040776
1,1,Back,False,95569.93138089651,0.6590374630647493
1,2,Front,False,203304.92076882382,0.10224015577086554
1,2,Middle,False,136379.56054972505,0.2484895677239285
1,2,Back,False,45960.957418130616,0.609372357312659
1,3,Front,False,175019.89320565294,0.043720739324505487
1,3,Middle,False,74824.46564677036,0.2068488625481587
1,3,Back,False,90556.86855731584,0.6374372606494552
1,4,Front,False,15.357189351219928,0.07465637329293673
1,4,Middle,False,190.38555326433766,0.1615477790095856
1,4,Back,False,142.38476582124022,0.5827375312892187
1,5,Front,False,33.01125501595715,0.17800267433747607
1,5,Middle,False,0.0061078635235727995,0.0063849890630687245
1,5,Back,False,807.0471899221599,0.5798238015454772
1,6,Front,False,133201.96901863592,0.12118441534197977
1,6,Middle,False,121878.13107735275,0.2857403215008737
1,6,Back,False,114798.71620112847,0.6535673539900562
1,7,Front,False,76411.05407395659,0.014741818334282342
1,7,Middle,False,63236.64914022517,0.24257341369100538
1,7,Back,False,62853.40541227521,0.6399945359001302
1,8,Front,False,0.005351838056994084,0.005068577857516021
1,8,Middle,False,470.5757529542031,0.16450838923040756
1,8,Back,False,322787.635264553,0.5956175123547772
1,9,Front,False,95324.18110430017,0.2797554414042519
1,9,Middle,False,180461.80486125982,0.29604617520978105
1,9,Back,False,243670.30145563226,0.7534698817810288
1,10,Front,False,10.437834905852592,0.04890668999602088
1,10,Middle,False,243084.90133383064,0.30376613826640364
1,10,Back,False,165491.79561154472,0.6569932689317086
2,1,Front,False,69882.93558021869,0.02714979125496597
2,1,Middle,False,209458.33259980418,0.3518294422017534
2,1,Back,False,107514.04531679727,0.6634402905274546
2,2,Front,False,34598.71466366466,0.05588008882054729
2,2,Middle,False,1137.7513515327191,0.16371266089068115
2,2,Back,False,114614.49503803306,0.6210568670939924
2,3,Front,False,11.705093915987094,0.09305797373877067
2,3,Middle,False,69.82078663873246,0.20537025075646276
2,3,Back,False,215820.91440896742,0.542602455811076
2,4,Front,False,-2.904803603220212,0.003385307548258276
2,4,Middle,False,153265.6627604819,0.25569057926561545
2,4,Back,False,352241.1687140219,0.6383546124515086
2,5,Front,False,74365.00900696075,0.011102793713754888
2,5,Middle,False,263521.2305190121,0.19583599414744046
2,5,Back,False,331843.1658619655,0.5842721826575732
2,6,Front,False,22178.78618814212,0.14391253176131946
2,6,Middle,False,54.461871908314954,0.16123761424662864
2,6,Back,False,482955.2841474111,0.5949588165834547
2,7,Front,False,223682.0340129481,0.0017442175398322268
2,7,Middle,False,479212.6149166899,0.30865551652898005
2,7,Back,False,1873.2974694858326,0.6308890251855865
2,8,Front,False,2.0455295272027563,0.016707117129520666
2,8,Middle,False,206.69070921395374,0.3292652137733918
2,8,Back,False,25577.464991429657,0.6149579256541065
2,9,Front,False,8.96164357502838,0.00576321473864827
2,9,Middle,False,150594.7902562607,0.34722229799727233
2,9,Back,False,204517.47821465187,0.6057816322910163
2,10,Front,False,3.895105883174427,0.014045394208631268
2,10,Middle,False,58563.79374477469,0.3050678339487407
2,10,Back,False,96140.83669781269,0.6398686230267782
3,1,Front,False,83.97643121023171,0.007624983394980189
3,1,Middle,False,76.21182819019211,0.21850360869512198
